model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw,gpw,clean,0,16.11300429627203,1.0336551597271446e-58,1
gpt2,gpw,gpw,clean,1,13.937755885754884,1.86750160241171e-44,1
gpt2,gpw,gpw,clean,2,2.7308177640128783,0.0031588697652360246,0
gpt2,gpw,gpw,clean,3,8.332239848681278,3.96635163394362e-17,1
gpt2,gpw,gpw,clean,4,2.365515899065391,0.009002485096441056,0
gpt2,gpw,gpw,clean,5,14.681995620444262,4.2039515179778026e-49,1
gpt2,gpw,gpw,clean,6,14.814953735015804,5.8634992971573015e-50,1
gpt2,gpw,gpw,clean,7,12.763786664266283,1.305944023893921e-37,1
gpt2,gpw,gpw,clean,8,13.525696466886647,5.514705298615051e-42,1
gpt2,gpw,gpw,clean,9,9.274952678100652,8.884895243728755e-21,1
gpt2,gpw,gpw,clean,10,14.15215116810355,9.056526686945275e-46,1
gpt2,gpw,gpw,clean,11,12.10398826220275,5.030104671538921e-34,1
gpt2,gpw,gpw,clean,12,5.139111453291333,1.380203215335089e-07,1
gpt2,gpw,gpw,clean,13,13.63792127545307,1.1912779582567116e-42,1
gpt2,gpw,gpw,clean,14,13.808596036754214,1.1309856356616573e-43,1
gpt2,gpw,gpw,clean,15,15.436696823246919,4.636459795858997e-54,1
gpt2,gpw,gpw,clean,16,5.169935960266423,1.1708711401617657e-07,1
gpt2,gpw,gpw,clean,17,14.348743359867651,5.424257538374503e-47,1
gpt2,gpw,gpw,clean,18,15.011455214157465,3.088866882181733e-51,1
gpt2,gpw,gpw,clean,19,14.765034789458682,1.2309760728632011e-49,1
gpt2,gpw,gpw,clean,20,7.810747188717758,2.842497257773373e-15,1
gpt2,gpw,gpw,clean,21,6.777349566133858,6.120024473309176e-12,1
gpt2,gpw,gpw,clean,22,16.979462153170527,5.827461543950609e-65,1
gpt2,gpw,gpw,clean,23,8.230576325479142,9.315742203270575e-17,1
gpt2,gpw,gpw,clean,24,8.477990940942075,1.145579013105892e-17,1
gpt2,gpw,gpw,clean,25,13.660821645391906,8.700459739380203e-43,1
gpt2,gpw,gpw,clean,26,14.42075713229164,1.9155827626595837e-47,1
gpt2,gpw,gpw,clean,27,12.481055587274573,4.736123837412163e-36,1
gpt2,gpw,gpw,clean,28,15.859423894138384,6.049936082636329e-57,1
gpt2,gpw,gpw,clean,29,9.344551317645223,4.613994683676178e-21,1
gpt2,gpw,gpw,clean,30,12.228056425578277,1.100715147631713e-34,1
gpt2,gpw,gpw,clean,31,15.990627332540587,7.426387572304155e-58,1
gpt2,gpw,gpw,clean,32,6.326312914927145,1.2554419595081897e-10,1
gpt2,gpw,gpw,clean,33,2.981384449652771,0.0014347415609545274,0
gpt2,gpw,gpw,clean,34,10.034952772253336,5.350530084472803e-24,1
gpt2,gpw,gpw,clean,35,5.8624853206914835,2.27994966952089e-09,1
gpt2,gpw,gpw,clean,36,14.484924413725556,7.544427660213421e-48,1
gpt2,gpw,gpw,clean,37,15.97880713270808,8.97745009677245e-58,1
gpt2,gpw,gpw,clean,38,13.938462751471038,1.8490997869229021e-44,1
gpt2,gpw,gpw,clean,39,16.841439287643034,6.062554126431493e-64,1
gpt2,gpw,gpw,clean,40,8.668906770144003,2.181445018016839e-18,1
gpt2,gpw,gpw,clean,41,9.57091258304234,5.29830735045516e-22,1
gpt2,gpw,gpw,clean,42,10.685418860210607,5.9555079712558774e-27,1
gpt2,gpw,gpw,clean,43,14.110784575191166,1.6296575903049738e-45,1
gpt2,gpw,gpw,clean,44,15.551112680394025,7.818271350647157e-55,1
gpt2,gpw,gpw,clean,45,12.310009567617904,4.000685144168473e-35,1
gpt2,gpw,gpw,clean,46,13.15464600735265,8.001561741447275e-40,1
gpt2,gpw,gpw,clean,47,13.571910807123203,2.9384858338760546e-42,1
gpt2,gpw,gpw,clean,48,5.226750122602707,8.625769657304158e-08,1
gpt2,gpw,gpw,clean,49,13.302782398548498,1.11506090118922e-40,1
gpt2,gpw,gpw,clean,50,13.313654848738917,9.640694745790974e-41,1
gpt2,gpw,gpw,clean,51,13.801906253272355,1.2410071446281295e-43,1
gpt2,gpw,gpw,clean,52,3.594679054338206,0.00016239585557429088,0
gpt2,gpw,gpw,clean,53,15.639922324523264,1.946012546210333e-55,1
gpt2,gpw,gpw,clean,54,9.951987431998644,1.2359818728199558e-23,1
gpt2,gpw,gpw,clean,55,14.31930710244067,8.288385200191332e-47,1
gpt2,gpw,gpw,clean,56,15.194179623770902,1.9323579830560864e-52,1
gpt2,gpw,gpw,clean,57,13.908005374686525,2.8318483336133845e-44,1
gpt2,gpw,gpw,clean,58,2.971000576759169,0.0014841561165844551,0
gpt2,gpw,gpw,clean,59,15.293740248928788,4.208691477188059e-53,1
gpt2,gpw,gpw,clean,60,3.3950829097726096,0.0003430391041517514,0
gpt2,gpw,gpw,clean,61,13.764248192636707,2.091060561899105e-43,1
gpt2,gpw,gpw,clean,62,15.107127818029468,7.266898102576094e-52,1
gpt2,gpw,gpw,clean,63,9.685858994981219,1.7314258510628465e-22,1
gpt2,gpw,gpw,clean,64,8.80703768317487,6.424825211593204e-19,1
gpt2,gpw,gpw,clean,65,9.801992018272278,5.519343794828477e-23,1
gpt2,gpw,gpw,clean,66,3.6425918324430633,0.00013495332014924234,0
gpt2,gpw,gpw,clean,67,13.93402566211243,1.9676707198138297e-44,1
gpt2,gpw,gpw,clean,68,14.65951094797125,5.8556716275012664e-49,1
gpt2,gpw,gpw,clean,69,13.751522655359398,2.4934400550898216e-43,1
gpt2,gpw,gpw,clean,70,13.711188660907057,4.3510218801187055e-43,1
gpt2,gpw,gpw,clean,71,14.274273116250283,1.582856873786925e-46,1
gpt2,gpw,gpw,clean,72,17.2281250003063,8.16807041057288e-67,1
gpt2,gpw,gpw,clean,73,16.075162538872373,1.904963960162418e-58,1
gpt2,gpw,gpw,clean,74,9.085401359943557,5.165839029182039e-20,1
gpt2,gpw,gpw,clean,75,0.685784792738395,0.2464244136652896,0
gpt2,gpw,gpw,clean,76,9.33011297054341,5.28790618040533e-21,1
gpt2,gpw,gpw,clean,77,4.221371175757502,1.2141035708591499e-05,1
gpt2,gpw,gpw,clean,78,5.472333958002227,2.2207341861015444e-08,1
gpt2,gpw,gpw,clean,79,4.724154152285587,1.155375469048269e-06,1
