model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw,gpw,copypaste_50,0,5.881786224075227,2.0293116912286475e-09,1
gpt2,gpw,gpw,copypaste_50,1,7.560810127171521,2.0028330543247142e-14,1
gpt2,gpw,gpw,copypaste_50,2,2.6995217655098567,0.0034719606722108816,0
gpt2,gpw,gpw,copypaste_50,3,0.1956401116845222,0.42244593116292267,0
gpt2,gpw,gpw,copypaste_50,4,0.8009795662320838,0.21157173772632043,0
gpt2,gpw,gpw,copypaste_50,5,4.607143713063588,2.0411893178661998e-06,1
gpt2,gpw,gpw,copypaste_50,6,3.547523472211407,0.00019443554973999584,0
gpt2,gpw,gpw,copypaste_50,7,5.68118554219007,6.688213384177103e-09,1
gpt2,gpw,gpw,copypaste_50,8,5.395464144823837,3.4173320332441434e-08,1
gpt2,gpw,gpw,copypaste_50,9,1.8313518630958259,0.03352402062002728,0
gpt2,gpw,gpw,copypaste_50,10,4.943583086806094,3.834981947050375e-07,1
gpt2,gpw,gpw,copypaste_50,11,7.239828706402277,2.2462589045859048e-13,1
gpt2,gpw,gpw,copypaste_50,12,0.6048672966228338,0.2726335871368384,0
gpt2,gpw,gpw,copypaste_50,13,5.223704923506694,8.768908820115668e-08,1
gpt2,gpw,gpw,copypaste_50,14,6.979464068934939,1.4815409922921527e-12,1
gpt2,gpw,gpw,copypaste_50,15,3.306066272487549,0.00047307853191866855,0
gpt2,gpw,gpw,copypaste_50,16,4.709060448073274,1.2443063278784848e-06,1
gpt2,gpw,gpw,copypaste_50,17,1.0608311765194733,0.14438331553246897,0
gpt2,gpw,gpw,copypaste_50,18,7.022984038464976,1.085895155866248e-12,1
gpt2,gpw,gpw,copypaste_50,19,7.853839888331012,2.017446615497743e-15,1
gpt2,gpw,gpw,copypaste_50,20,1.7021646857647441,0.0443622503550833,0
gpt2,gpw,gpw,copypaste_50,21,2.2370442410989093,0.012641724336987037,0
gpt2,gpw,gpw,copypaste_50,22,0.7584881990015824,0.22407938753872497,0
gpt2,gpw,gpw,copypaste_50,23,3.5625707849499104,0.00018362042149349802,0
gpt2,gpw,gpw,copypaste_50,24,4.633480053803117,1.797847092826247e-06,1
gpt2,gpw,gpw,copypaste_50,25,7.09208418266271,6.605355297254776e-13,1
gpt2,gpw,gpw,copypaste_50,26,3.480143495364913,0.0002505726458353168,0
gpt2,gpw,gpw,copypaste_50,27,6.600232424898503,2.0525683906359176e-11,1
gpt2,gpw,gpw,copypaste_50,28,6.711167526331397,9.653664327108676e-12,1
gpt2,gpw,gpw,copypaste_50,29,2.1467005597472686,0.01590856409406113,0
gpt2,gpw,gpw,copypaste_50,30,5.030310040956665,2.4484366749520175e-07,1
gpt2,gpw,gpw,copypaste_50,31,7.233181117124074,2.3590474582789663e-13,1
gpt2,gpw,gpw,copypaste_50,32,2.5797956230011674,0.004942940163935676,0
gpt2,gpw,gpw,copypaste_50,33,0.3833488506220293,0.35073056152088256,0
gpt2,gpw,gpw,copypaste_50,34,4.970253938143221,3.3432634932066094e-07,1
gpt2,gpw,gpw,copypaste_50,35,-0.5862543001775222,0.7211476817194886,0
gpt2,gpw,gpw,copypaste_50,36,7.69803238229482,6.9088679643611696e-15,1
gpt2,gpw,gpw,copypaste_50,37,8.725180827816313,1.328778141563911e-18,1
gpt2,gpw,gpw,copypaste_50,38,6.997782922354991,1.3002228815409387e-12,1
gpt2,gpw,gpw,copypaste_50,39,8.065260628048874,3.653989638893691e-16,1
gpt2,gpw,gpw,copypaste_50,40,5.814689232015924,3.0373316297438308e-09,1
gpt2,gpw,gpw,copypaste_50,41,4.638832629900685,1.7519132742076514e-06,1
gpt2,gpw,gpw,copypaste_50,42,4.490432769883186,3.553930397194728e-06,1
gpt2,gpw,gpw,copypaste_50,43,7.222619373888341,2.5497802017413416e-13,1
gpt2,gpw,gpw,copypaste_50,44,7.341521063609863,1.0558995504429918e-13,1
