model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,gpw_sp,clean,0,12.984966651050746,7.44515102979463e-39,1
gpt2,gpw_sp,gpw_sp,clean,1,13.428994299585051,2.0446362666679176e-41,1
gpt2,gpw_sp,gpw_sp,clean,2,14.37425760928694,3.753536176682263e-47,1
gpt2,gpw_sp,gpw_sp,clean,3,15.309452551324362,3.3059048744226527e-53,1
gpt2,gpw_sp,gpw_sp,clean,4,14.362040484490949,4.477559275889464e-47,1
gpt2,gpw_sp,gpw_sp,clean,5,12.939072024130006,1.3544082712633227e-38,1
gpt2,gpw_sp,gpw_sp,clean,6,13.056267566140823,2.9263847761572882e-39,1
gpt2,gpw_sp,gpw_sp,clean,7,11.126254600897315,4.67406836990055e-29,1
gpt2,gpw_sp,gpw_sp,clean,8,14.304095920625736,1.0315068330828375e-46,1
gpt2,gpw_sp,gpw_sp,clean,9,2.132210098777864,0.016494789318721777,0
gpt2,gpw_sp,gpw_sp,clean,10,13.205818258302548,4.060619522360747e-40,1
gpt2,gpw_sp,gpw_sp,clean,11,12.15670502311887,2.642378615198764e-34,1
gpt2,gpw_sp,gpw_sp,clean,12,12.648752022707898,5.683299229513025e-37,1
gpt2,gpw_sp,gpw_sp,clean,13,13.586047081111632,2.4227620094183467e-42,1
gpt2,gpw_sp,gpw_sp,clean,14,12.397056054008935,1.355509167867997e-35,1
gpt2,gpw_sp,gpw_sp,clean,15,11.422918845508889,1.6062989730918093e-30,1
gpt2,gpw_sp,gpw_sp,clean,16,14.299869574800384,1.0961000704195138e-46,1
gpt2,gpw_sp,gpw_sp,clean,17,14.438145126611957,1.4887382487568627e-47,1
gpt2,gpw_sp,gpw_sp,clean,18,7.962011959491038,8.463205558247434e-16,1
gpt2,gpw_sp,gpw_sp,clean,19,12.574841581559646,1.4519090094912895e-36,1
gpt2,gpw_sp,gpw_sp,clean,20,13.36000888565919,5.177589288026575e-41,1
gpt2,gpw_sp,gpw_sp,clean,21,14.567574556245207,2.2582171064268214e-48,1
gpt2,gpw_sp,gpw_sp,clean,22,11.206550777707973,1.8933173266377345e-29,1
gpt2,gpw_sp,gpw_sp,clean,23,12.415603756672468,1.0752917707781108e-35,1
gpt2,gpw_sp,gpw_sp,clean,24,13.039865762251464,3.6292365366508894e-39,1
gpt2,gpw_sp,gpw_sp,clean,25,13.688058889162258,5.983171174434146e-43,1
gpt2,gpw_sp,gpw_sp,clean,26,14.587679618130707,1.6822379640167414e-48,1
gpt2,gpw_sp,gpw_sp,clean,27,12.497207793779447,3.8659783679869025e-36,1
gpt2,gpw_sp,gpw_sp,clean,28,12.940888793901127,1.3227553174649514e-38,1
gpt2,gpw_sp,gpw_sp,clean,29,8.007696676556487,5.843836926479991e-16,1
gpt2,gpw_sp,gpw_sp,clean,30,11.517437798383192,5.3884022513914235e-31,1
gpt2,gpw_sp,gpw_sp,clean,31,12.954662082792455,1.1055379420042261e-38,1
gpt2,gpw_sp,gpw_sp,clean,32,13.550870160299427,3.9148222804196787e-42,1
gpt2,gpw_sp,gpw_sp,clean,33,12.633353750587661,6.912874988907245e-37,1
gpt2,gpw_sp,gpw_sp,clean,34,7.121432547373452,5.340550260821121e-13,1
gpt2,gpw_sp,gpw_sp,clean,35,11.825166539246153,1.4466417495874378e-32,1
gpt2,gpw_sp,gpw_sp,clean,36,14.004008939779235,7.3660243344264e-45,1
gpt2,gpw_sp,gpw_sp,clean,37,15.123146747771406,5.698200904129492e-52,1
gpt2,gpw_sp,gpw_sp,clean,38,12.48185999124188,4.6885120185334227e-36,1
gpt2,gpw_sp,gpw_sp,clean,39,13.909668361213381,2.766771324515048e-44,1
gpt2,gpw_sp,gpw_sp,clean,40,12.12547059919027,3.870711078889123e-34,1
gpt2,gpw_sp,gpw_sp,clean,41,10.176201553646028,1.2662741989905156e-24,1
gpt2,gpw_sp,gpw_sp,clean,42,12.844988421167956,4.588282937160588e-38,1
gpt2,gpw_sp,gpw_sp,clean,43,13.68194747590567,6.5079686021569194e-43,1
gpt2,gpw_sp,gpw_sp,clean,44,15.126423133170496,5.421546461801472e-52,1
gpt2,gpw_sp,gpw_sp,clean,45,6.510753008752743,3.738750363978872e-11,1
gpt2,gpw_sp,gpw_sp,clean,46,13.982316986724687,9.993670017972199e-45,1
gpt2,gpw_sp,gpw_sp,clean,47,13.552348094738843,3.836780643816655e-42,1
gpt2,gpw_sp,gpw_sp,clean,48,14.218314606770216,3.526559976680555e-46,1
gpt2,gpw_sp,gpw_sp,clean,49,14.111941501828282,1.603137957022067e-45,1
gpt2,gpw_sp,gpw_sp,clean,50,11.834655066514296,1.2920180789596646e-32,1
gpt2,gpw_sp,gpw_sp,clean,51,12.326758546085928,3.2504809403065595e-35,1
gpt2,gpw_sp,gpw_sp,clean,52,6.93871319893169,1.9784375097434598e-12,1
gpt2,gpw_sp,gpw_sp,clean,53,12.649575326396107,5.6240582561253344e-37,1
gpt2,gpw_sp,gpw_sp,clean,54,12.681935575764525,3.7234939815293564e-37,1
gpt2,gpw_sp,gpw_sp,clean,55,14.396866845799337,2.707146072375005e-47,1
gpt2,gpw_sp,gpw_sp,clean,56,14.248658394734758,2.2848803808236707e-46,1
gpt2,gpw_sp,gpw_sp,clean,57,13.863848447540658,5.244801010573017e-44,1
gpt2,gpw_sp,gpw_sp,clean,58,13.37281035840811,4.359173736252546e-41,1
gpt2,gpw_sp,gpw_sp,clean,59,6.669631668104404,1.2822310888333422e-11,1
gpt2,gpw_sp,gpw_sp,clean,60,9.168761119543046,2.3924312632380048e-20,1
gpt2,gpw_sp,gpw_sp,clean,61,13.398587664994349,3.081234861647017e-41,1
gpt2,gpw_sp,gpw_sp,clean,62,13.00595998483997,5.6584386934779686e-39,1
