model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,gpw_sp,copypaste_50,0,5.362816825975416,4.09670413929084e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,1,5.988076107006095,1.061688528544932e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,2,5.371185998098188,3.911023863511575e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,3,3.5534077900581904,0.00019013724279797123,0
gpt2,gpw_sp,gpw_sp,copypaste_50,4,6.820949783440086,4.522027727902271e-12,1
gpt2,gpw_sp,gpw_sp,copypaste_50,5,5.856652495293719,2.361449600841296e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,6,5.934951640802271,1.4696606172231945e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,7,4.748121228498307,1.0265748211707846e-06,1
gpt2,gpw_sp,gpw_sp,copypaste_50,8,6.97219999990603,1.5601126644168392e-12,1
gpt2,gpw_sp,gpw_sp,copypaste_50,9,2.1977521732989236,0.01398338567621561,0
gpt2,gpw_sp,gpw_sp,copypaste_50,10,7.144169117271962,4.527093700309102e-13,1
gpt2,gpw_sp,gpw_sp,copypaste_50,11,4.911447641061584,4.520321495742321e-07,1
gpt2,gpw_sp,gpw_sp,copypaste_50,12,1.374360283981946,0.08466492979929074,0
gpt2,gpw_sp,gpw_sp,copypaste_50,13,5.849586203859081,2.46398716706364e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,14,4.2430306413484775,1.1026065604459572e-05,1
gpt2,gpw_sp,gpw_sp,copypaste_50,15,4.496494500818316,3.4541482703253658e-06,1
gpt2,gpw_sp,gpw_sp,copypaste_50,16,7.869765582302977,1.776531890680422e-15,1
gpt2,gpw_sp,gpw_sp,copypaste_50,17,7.2806030428814825,1.6616561519921795e-13,1
gpt2,gpw_sp,gpw_sp,copypaste_50,18,1.8866100882988448,0.029606394434662685,0
gpt2,gpw_sp,gpw_sp,copypaste_50,19,2.4431569939583024,0.00727970110950402,0
gpt2,gpw_sp,gpw_sp,copypaste_50,20,5.038457505204369,2.346492923141722e-07,1
gpt2,gpw_sp,gpw_sp,copypaste_50,21,2.7974305905188177,0.0025755416794754214,0
gpt2,gpw_sp,gpw_sp,copypaste_50,22,3.3962850764726857,0.0003415358863653423,0
gpt2,gpw_sp,gpw_sp,copypaste_50,23,1.3897326185207564,0.0823050429662322,0
gpt2,gpw_sp,gpw_sp,copypaste_50,24,5.250943934536958,7.566086860554624e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,25,3.5496905533315735,0.0001928421111683478,0
gpt2,gpw_sp,gpw_sp,copypaste_50,26,5.0501918918500595,2.2068323373601286e-07,1
gpt2,gpw_sp,gpw_sp,copypaste_50,27,5.591896764765913,1.1230117818399208e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,28,3.4771640678547824,0.0002533738123896776,0
gpt2,gpw_sp,gpw_sp,copypaste_50,29,4.676926241570614,1.4560347030463495e-06,1
gpt2,gpw_sp,gpw_sp,copypaste_50,30,5.5847304884386935,1.1703145340027714e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,31,1.775005956901844,0.03794845180482809,0
gpt2,gpw_sp,gpw_sp,copypaste_50,32,6.511193765750796,3.727794782836268e-11,1
gpt2,gpw_sp,gpw_sp,copypaste_50,33,1.9934770938730366,0.02310461467893069,0
gpt2,gpw_sp,gpw_sp,copypaste_50,34,4.212816262328788,1.2610310861213737e-05,1
gpt2,gpw_sp,gpw_sp,copypaste_50,35,1.9754293319279193,0.02410972343259672,0
gpt2,gpw_sp,gpw_sp,copypaste_50,36,5.634074574993067,8.800042676116974e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,37,4.470928267977213,3.894040954379788e-06,1
gpt2,gpw_sp,gpw_sp,copypaste_50,38,6.226224227176971,2.389050521262454e-10,1
gpt2,gpw_sp,gpw_sp,copypaste_50,39,6.94033442174279,1.955864090460112e-12,1
gpt2,gpw_sp,gpw_sp,copypaste_50,40,5.588773360436563,1.1433958778561158e-08,1
gpt2,gpw_sp,gpw_sp,copypaste_50,41,3.0788520987554024,0.0010389990795963652,0
gpt2,gpw_sp,gpw_sp,copypaste_50,42,5.848177345041017,2.4849426656089146e-09,1
gpt2,gpw_sp,gpw_sp,copypaste_50,43,5.651014467907751,7.97518321306985e-09,1
