model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_low,gpw_sp_low,clean,0,13.878538357887694,4.273454105555303e-44,1
gpt2,gpw_sp_low,gpw_sp_low,clean,1,13.569279855260632,3.045879916304544e-42,1
gpt2,gpw_sp_low,gpw_sp_low,clean,2,2.77261658386165,0.002780379830530096,0
gpt2,gpw_sp_low,gpw_sp_low,clean,3,8.9754732617595,1.4106811944784343e-19,1
gpt2,gpw_sp_low,gpw_sp_low,clean,4,11.181218563761082,2.5196617179467094e-29,1
gpt2,gpw_sp_low,gpw_sp_low,clean,5,12.936031517392356,1.409075278525663e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,6,12.79276168800136,8.998158103024863e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,7,10.899030611393016,5.824586512208947e-28,1
gpt2,gpw_sp_low,gpw_sp_low,clean,8,12.845961073249859,4.5309736957656276e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,9,13.785498669904227,1.5580295246359443e-43,1
gpt2,gpw_sp_low,gpw_sp_low,clean,10,13.149250177274535,8.593516931247919e-40,1
gpt2,gpw_sp_low,gpw_sp_low,clean,11,7.96665255598368,8.151509752876758e-16,1
gpt2,gpw_sp_low,gpw_sp_low,clean,12,12.76626547340788,1.2650254389408224e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,13,12.386250523327645,1.551056853208978e-35,1
gpt2,gpw_sp_low,gpw_sp_low,clean,14,11.27316987393767,8.902120533552941e-30,1
gpt2,gpw_sp_low,gpw_sp_low,clean,15,10.342553350677287,2.2616114428641283e-25,1
gpt2,gpw_sp_low,gpw_sp_low,clean,16,10.7248641997059,3.890063621443415e-27,1
gpt2,gpw_sp_low,gpw_sp_low,clean,17,13.405994766647542,2.7885217792559434e-41,1
gpt2,gpw_sp_low,gpw_sp_low,clean,18,12.913504898476944,1.8885467565477443e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,19,10.005198376388163,7.23007932627783e-24,1
gpt2,gpw_sp_low,gpw_sp_low,clean,20,11.413040129680361,1.799628278804968e-30,1
gpt2,gpw_sp_low,gpw_sp_low,clean,21,7.0261136551443535,1.0618274823558079e-12,1
gpt2,gpw_sp_low,gpw_sp_low,clean,22,12.074520333740328,7.200074234548985e-34,1
gpt2,gpw_sp_low,gpw_sp_low,clean,23,12.35317514258885,2.3413075192800714e-35,1
gpt2,gpw_sp_low,gpw_sp_low,clean,24,10.879186122801432,7.2425235149808185e-28,1
gpt2,gpw_sp_low,gpw_sp_low,clean,25,13.52978859565296,5.216160895722106e-42,1
gpt2,gpw_sp_low,gpw_sp_low,clean,26,13.143024804651468,9.330754703219253e-40,1
gpt2,gpw_sp_low,gpw_sp_low,clean,27,11.13086882917471,4.438302354929442e-29,1
gpt2,gpw_sp_low,gpw_sp_low,clean,28,13.588221548936707,2.351856647647995e-42,1
gpt2,gpw_sp_low,gpw_sp_low,clean,29,14.506098256611399,5.542448770595952e-48,1
gpt2,gpw_sp_low,gpw_sp_low,clean,30,11.836660009176931,1.2615088714307206e-32,1
gpt2,gpw_sp_low,gpw_sp_low,clean,31,12.135547327947801,3.422538800148557e-34,1
gpt2,gpw_sp_low,gpw_sp_low,clean,32,12.826244597111543,5.844712988790625e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,33,12.254121431177266,7.98351950568847e-35,1
gpt2,gpw_sp_low,gpw_sp_low,clean,34,10.993260730478687,2.05887738031958e-28,1
gpt2,gpw_sp_low,gpw_sp_low,clean,35,11.060414414874138,9.759678334962846e-29,1
gpt2,gpw_sp_low,gpw_sp_low,clean,36,12.858326382928608,3.861537091349863e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,37,12.713563667828177,2.48580366351519e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,38,12.693976025254477,3.19298511271435e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,39,12.628680612491149,7.3358814529561135e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,40,12.607384743980164,9.613387988521374e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,41,12.746102593335024,1.6386216323104565e-37,1
gpt2,gpw_sp_low,gpw_sp_low,clean,42,11.360980220361915,3.270329617442605e-30,1
gpt2,gpw_sp_low,gpw_sp_low,clean,43,13.739531265665445,2.9427798481901996e-43,1
gpt2,gpw_sp_low,gpw_sp_low,clean,44,12.102878166055692,5.098606534761505e-34,1
gpt2,gpw_sp_low,gpw_sp_low,clean,45,12.52881156172689,2.596753820117741e-36,1
gpt2,gpw_sp_low,gpw_sp_low,clean,46,9.264060891439943,9.840074597608281e-21,1
gpt2,gpw_sp_low,gpw_sp_low,clean,47,11.972617408815102,2.4721914895191836e-33,1
gpt2,gpw_sp_low,gpw_sp_low,clean,48,12.926781674556166,1.5892371601960275e-38,1
gpt2,gpw_sp_low,gpw_sp_low,clean,49,7.832622997798303,2.388976946708456e-15,1
