model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,0,5.534965387814432,1.5564491042277073e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,1,3.3113784673985194,0.00046418777947160404,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,2,0.8293661250596096,0.20344863191044915,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,3,3.366778513566488,0.0003802587147363608,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,4,4.31199200430404,8.089514303798191e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,5,1.7315524842639571,0.04167663625362493,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,6,4.898913596743281,4.818400361567399e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,7,5.087964015207021,1.809640109032906e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,8,2.9490290569934037,0.0015938700156328941,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,9,6.65868061621403,1.3814830193432911e-11,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,10,4.295674658900972,8.708142486707656e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,11,4.917573582084538,4.381176235571052e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,12,4.529919261369879,2.9503115568099112e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,13,6.149161822140559,3.894673828018081e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,14,1.7865985017585917,0.03700120202235152,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,15,3.90986803956676,4.617327777044921e-05,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,16,4.5242280764565,3.0308165172588473e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,17,4.181301037733194,1.449229067053449e-05,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,18,5.2854977271926105,6.268171469519364e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,19,2.9838553854856253,0.0014232063413823978,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,20,2.399999906149425,0.008197538026335906,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,21,0.9057496098050967,0.18253419887495975,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,22,3.149205740496094,0.0008185744575496264,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,23,5.592280893482499,1.1205293564121128e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,24,4.396347848467164,5.504373237254204e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,25,5.800113710745017,3.3134982947165113e-09,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,26,6.094565640041081,5.486749956045895e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,27,6.058932270977482,6.851403535323822e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,28,7.445540112627508,4.827429445864344e-14,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,29,5.542512918650568,1.490806993925363e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,30,3.438374405069032,0.00029260896977665083,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,31,5.131362580197872,1.4382609770976786e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,32,1.4865389630502528,0.06856830941676634,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,33,5.806618373084817,3.1873604381155977e-09,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,34,4.781854815997107,8.684255291652057e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,35,4.862803821543964,5.786726960698345e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,36,6.472954517940084,4.805244426200885e-11,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,37,3.2148889306259916,0.0006524750168795167,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,38,2.5410185244715517,0.005526503159817073,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,39,5.641220360277194,8.442454841190939e-09,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,40,4.567243844167344,2.4708950777580587e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,41,6.2456428624235905,2.1103027902571633e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,42,2.0464161491122175,0.02035772227556636,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,43,7.995656360027165,6.444269773512454e-16,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,44,6.638302708940921,1.586578476302392e-11,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,45,0.903189742466877,0.18321260046936483,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,46,4.068579442881336,2.3650317052552688e-05,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,47,5.536303710620788,1.544608476036655e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,48,6.317683483603536,1.3275655580662044e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,49,0.8085633647930007,0.20938317230566583,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,50,4.565884621483116,2.486961509130746e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,51,6.8474943534097195,3.757732883300724e-12,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,52,2.4304233292906243,0.00754059824381196,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,53,6.174035166263806,3.328436212730076e-10,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,54,4.133181086688562,1.7888830686972725e-05,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,55,3.0865687937298856,0.001012405437837583,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,56,4.062923855744307,2.4230920747676477e-05,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,57,5.486535529294813,2.0494650593514818e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,58,5.710251135120861,5.6404792355164506e-09,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,59,0.7531982432519264,0.22566539743094383,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,60,4.060631481835249,2.4470083531742024e-05,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,61,5.103479175410428,1.667326113831996e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,62,4.877742512966305,5.365343779060713e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,63,2.933079244480499,0.001678091087178921,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,64,4.59978795294075,2.1146060894240433e-06,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,65,5.979081007956718,1.1219997593738756e-09,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,66,-0.6597509376854103,0.7452931636792293,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,67,3.98344647881551,3.3961487005065434e-05,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,68,0.6672903586992965,0.2522933417990915,0
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,69,8.253823367771,7.670301545326494e-17,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,70,5.133329651432239,1.4233033905795012e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,71,4.970281438692742,3.342789315263683e-07,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,72,5.505666645282744,1.838869374659117e-08,1
gpt2,gpw_sp_low,gpw_sp_low,copypaste_50,73,3.752669612822265,8.748068834166798e-05,0
