model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_low,gpw_sp_low,swap_20,0,7.172293417004929,3.687582874014146e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,1,7.373021861392808,8.340156068110877e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,2,0.4509010466653926,0.326030434564608,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,3,6.069975826342286,6.396475256399461e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,4,7.865424314649092,1.839242267827735e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,5,6.862656523541319,3.3795806028537646e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,6,8.732310688682318,1.2476083735159656e-18,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,7,5.665941697205148,7.310962046724765e-09,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,8,5.037452642814682,2.3588411575024783e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,9,7.011750409341541,1.1767739548413402e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,10,6.842063851133727,3.903013923167932e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,11,3.4541199894148393,0.0002760458389022776,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,12,6.94950470469226,1.8328544973133824e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,13,6.153907194074365,3.7798466297121105e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,14,6.955023150509516,1.7625207275765778e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,15,3.3738555938035852,0.00037061620646167376,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,16,6.082656414943191,5.910374158518556e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,17,8.007416597035913,5.8571568350527e-16,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,18,9.356856835810854,4.107198893498534e-21,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,19,7.159510239510235,4.0482898804861403e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,20,6.006749304879717,9.463991918094996e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,21,3.8458347691478068,6.007135350094593e-05,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,22,7.060952713777114,8.268243285129014e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,23,5.510882843288037,1.785191605688252e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,24,5.1953709300848425,1.021560242220092e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,25,7.045010648410987,9.272366220650187e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,26,7.848828900671978,2.0997003222135478e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,27,7.544244287078075,2.2745885135117402e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,28,7.334566719004806,1.1121996710856432e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,29,9.29152387715915,7.60474522862889e-21,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,30,6.585874704808606,2.2610753382949234e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,31,7.226965822649933,2.4695216703413677e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,32,7.7487527607428435,4.639975027074209e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,33,7.5026482952867815,3.1270597719127017e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,34,6.703210338360037,1.0194482217232321e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,35,6.559308931642011,2.7028854125770008e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,36,4.702460984116005,1.2852217419170173e-06,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,37,6.518654152057019,3.5470504150074314e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,38,6.133482193589573,4.2988022872861203e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,39,7.927973724231626,1.1137521224945265e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,40,6.824749762330184,4.403935490887737e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,41,8.677478057617064,2.023206268302623e-18,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,42,9.220179725857717,1.4830132546492647e-20,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,43,9.37550662401429,3.442217127680387e-21,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,44,6.223556313166923,2.430051299655278e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,45,6.309917641653818,1.3959199734825352e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,46,5.470840457335226,2.23953188418489e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,47,6.391812365294369,8.19654931275676e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,48,7.555427152200203,2.0874371802017612e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,49,3.7924517971136282,7.458360570877934e-05,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,50,4.054952604620598,2.5072234512874573e-05,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,51,6.92374999565105,2.199209343479209e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,52,6.203692695596536,2.757671713087266e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,53,6.9745735917269025,1.5339995826637368e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,54,7.086138064553732,6.895311696224455e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,55,6.8740998954221455,3.1191241751266133e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,56,5.744744588647106,4.602991865578075e-09,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,57,8.995553909250475,1.1752198116654986e-19,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,58,6.744427667039653,7.68157008169519e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,59,3.761413940855972,8.44777767774705e-05,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,60,6.097593864745234,5.383844714303565e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,61,7.377028408651794,8.093074023551403e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,62,6.8358391072850235,4.076320145892746e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,63,4.330688898602694,7.432178358706653e-06,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,64,5.109840686611776,1.612152902268677e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,65,6.50575025651333,3.8653284209906075e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,66,2.446295733395041,0.007216627871572028,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,67,5.781028481481922,3.7122659186441237e-09,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,68,6.288351378288966,1.6042751632486864e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,69,6.610143062334299,1.9197439785916446e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,70,5.453764983735421,2.4657184451602444e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,71,8.889873457989053,3.05892711922036e-19,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,72,6.62042621229962,1.790823328043644e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,73,7.203911814364419,2.925460731780009e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,74,7.144569001297648,4.513935006428102e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,75,6.713705615459058,9.48714630659227e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,76,6.5998500644813625,2.05786906429711e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,77,6.418760676584377,6.8694096585449e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,78,9.178646391885904,2.182720850355533e-20,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,79,3.420583439281942,0.0003124348191914461,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,80,6.82002106989042,4.551357953085214e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,81,6.747237285669462,7.534336829753014e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,82,7.8409171320947415,2.236337733294212e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,83,5.600555409694623,1.0683304733111598e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,84,8.814380128539161,6.017453286010723e-19,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,85,6.574287773120061,2.4443301172838782e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,86,5.406296876067641,3.21705591240196e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,87,3.043718666488978,0.001168367758599705,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,88,1.1471447882741792,0.12566089287629256,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,89,6.757297293370044,7.029476522584827e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,90,0.610610120079855,0.27072886066826773,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,91,6.319440005901743,1.3125641806157903e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,92,5.044503074859594,2.2735076079877974e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,93,6.615710440764222,1.8488577024141426e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,94,8.04852333348725,4.189946726447939e-16,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,95,8.60481203324935,3.8220962605342634e-18,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,96,6.610608715622451,1.913714568119919e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,97,4.062460834765777,2.427904829397217e-05,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,98,7.715893508354932,6.006879549117405e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,99,9.24350544835557,1.1927553228375493e-20,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,100,6.945607541032188,1.8841751612646875e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,101,2.7084259998437985,0.003380159308910821,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,102,6.0334332757178135,8.025614220117155e-10,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,103,5.192097271332329,1.0396915472862074e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,104,7.308514490056635,1.3505591058381854e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,105,7.50215768010632,3.138789574388611e-14,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,106,3.8752469834164662,5.32583031348509e-05,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,107,6.535546031010604,3.168894259501608e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,108,5.164743206261051,1.2038461831657856e-07,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,109,6.41350099893166,7.110759152878419e-11,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,110,7.721238506573721,5.760237474811099e-15,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,111,5.275082813859661,6.634807562338421e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,112,8.296663808380305,5.353792055561638e-17,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,113,5.578673947864611,1.2117951920943609e-08,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,114,7.050660745983066,8.90350841365198e-13,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,115,8.485038097150671,1.0782403391937023e-17,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,116,2.967549064835785,0.0015009218398218597,0
gpt2,gpw_sp_low,gpw_sp_low,swap_20,117,6.742642554439625,7.776575800484483e-12,1
gpt2,gpw_sp_low,gpw_sp_low,swap_20,118,7.107500486726551,5.908166017598219e-13,1
