model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,0,6.81672407247368,4.656995419834726e-12,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,1,6.109818935572358,4.987211852268127e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,2,2.133902802288982,0.016425369026459274,0
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,3,6.134345567545129,4.2755231764953075e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,4,6.440891222321369,5.93869891095638e-11,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,5,6.275727787656872,1.7400128771779613e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,6,9.799449908640575,5.66002168333732e-23,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,7,4.747167758728825,1.0314242511237987e-06,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,8,6.3490274994534195,1.0834015124676673e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,9,8.42415672476805,1.8167881984711503e-17,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,10,7.555464646668329,2.086835897741544e-14,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,11,3.184425002179767,0.0007252094478591493,0
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,12,7.3415176769872454,1.0559262740542217e-13,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,13,8.493510457185453,1.002437115528053e-17,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,14,5.935498185294379,1.4647728246568067e-09,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,15,5.353322245424719,4.317693128806476e-08,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,16,4.122179351163134,1.876524062386007e-05,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,17,7.285613717384099,1.6010462173367302e-13,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,18,9.48757968551119,1.1823029951187707e-21,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,19,5.22053023389539,8.920578820002439e-08,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,20,6.892244804201348,2.7459378107676373e-12,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,21,3.4433357957468234,0.0002872926992314248,0
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,22,6.269466947852119,1.8114309162147893e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,23,7.0446334419442875,9.297518450521527e-13,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,24,6.330117821403799,1.2248703284550197e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,25,6.479768868433208,4.593161561350204e-11,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,26,7.277214322572825,1.7039181843283352e-13,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,27,6.7733133059551704,6.293298376039642e-12,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,28,6.641893684819584,1.5483915731223854e-11,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,29,10.326232191029197,2.6812896408589547e-25,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,30,7.617765347131066,1.2905247407219448e-14,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,31,7.690950102358397,7.302319400771848e-15,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,32,8.09371531539936,2.8935928487164046e-16,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,33,7.8839386259175415,1.5861006809699599e-15,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,34,8.416813786307198,1.9343093369519762e-17,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,35,7.7950707937244195,3.218618932285311e-15,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,36,6.427399423726777,6.490271162889589e-11,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,37,6.760213534598396,6.889425531422715e-12,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,38,6.43525714813707,6.163223272659472e-11,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,39,6.266129199534161,1.8506663493632063e-10,1
gpt2,gpw_sp_low,gpw_sp_low,synonym_30,40,6.5163080364468415,3.602946152455872e-11,1
