model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_low,gpw_sp_low,typo_10,0,7.998838361743417,6.279923223507895e-16,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,1,8.667568505194042,2.207230220057597e-18,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,2,2.749239661271024,0.002986684655728904,0
gpt2,gpw_sp_low,gpw_sp_low,typo_10,3,6.73868713127383,7.99120628634107e-12,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,4,9.190234824960456,1.9599235272159215e-20,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,5,8.904262807124635,2.6870996208642194e-19,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,6,10.302318137157151,3.4391724996109413e-25,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,7,6.793125033007374,5.486509926038198e-12,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,8,9.310248039003453,6.37670835350873e-21,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,9,10.143594737074526,1.7691705494636656e-24,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,10,8.84651063086075,4.514916631066087e-19,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,11,4.798833476982565,7.979620587291259e-07,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,12,9.295708209280235,7.311470965589331e-21,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,13,9.579317395547244,4.884421033043423e-22,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,14,7.826556434257141,2.5070714379840664e-15,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,15,6.331259999025005,1.2158359230086858e-10,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,16,6.45699873681094,5.3399894390672067e-11,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,17,8.646527030599785,2.6545234089628944e-18,1
gpt2,gpw_sp_low,gpw_sp_low,typo_10,18,10.675446436500597,6.63092501664653e-27,1
