model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,0,2.307869937483757,0.010503185787224836,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,1,4.134847257943124,1.7759539693178074e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,2,5.241720528997874,7.954309744207912e-08,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,3,3.132218278539795,0.0008674541928371771,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,4,3.2878862118804157,0.0005047131464068515,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,5,2.3946873068151713,0.008317272356960639,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,6,1.03954920683139,0.14927469278127675,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,7,0.2784869997931923,0.3903192715790005,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,8,1.8938913362055343,0.02911971735841068,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,9,1.4029849029391472,0.08031067045675183,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,10,3.584788561971637,0.00016867569690324523,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,11,2.4589366149532004,0.006967460905510604,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,12,0.8298226823571452,0.20331952223585864,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,13,2.108146444243302,0.01750916205935997,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,14,2.3704927625759393,0.008882195863054651,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,15,1.5070330474927713,0.0659010932859866,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,16,2.4561746342366786,0.007021244936260766,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,17,1.2292652276645857,0.10948619000577886,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,18,1.302527987421631,0.0963679784812616,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,19,0.8503663462642365,0.19756072025477628,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,20,4.13543117170108,1.771443969939314e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,21,-0.39065580042707443,0.6519741630873748,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,22,2.73319129552459,0.003136194542404824,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,23,2.3734130374438704,0.008812271379428692,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,24,1.9824623242980925,0.02371376005223932,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,25,0.45572482819239335,0.32429393289182873,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,26,1.3994533017905049,0.08083854630032944,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,27,3.513955950750662,0.00022074300848819186,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,28,3.5469630244071175,0.00019484964070864635,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,29,1.66205886183591,0.048250486467383925,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,30,-0.25268346921582024,0.5997435884542628,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,31,1.4230089463556683,0.07736678090623282,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,32,-0.2778267299712904,0.609427314449672,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,33,4.139666529742216,1.7390552049984686e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,34,2.843094540996844,0.002233890775374366,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,35,-1.55311647304393,0.939802344341828,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,36,1.0346640947492214,0.15041290484807573,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,37,3.0918222006878886,0.0009946598134837371,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,38,1.406003640888519,0.07986152181589395,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,39,0.7169995945073209,0.23668717343052798,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,40,3.384288814685901,0.0003568144681817311,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,41,2.334627738077002,0.009781438105644155,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,42,4.233136521479676,1.152272556783888e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,43,1.7961731418837505,0.03623349241058291,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,44,-1.6333334746139918,0.948800559931719,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,45,4.479710556181299,3.7372163134174527e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,46,1.3778609378117082,0.08412311363970937,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,47,3.281461983346935,0.0005163522236709262,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,48,0.7232721631477791,0.23475634571741033,0
gpt2,gpw_sp_sr,gpw_sp_sr,copypaste_50,49,-0.34896762014671806,0.6364431906732364,0
