model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,0,3.835297134465941,6.270629255247586e-05,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,1,2.8710454362259705,0.0020455835775154796,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,2,2.925288623895448,0.0017206843962096943,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,3,3.1260049181835354,0.0008859929414179068,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,4,5.6260033232611075,9.221639693000011e-09,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,5,4.687779094256028,1.3809295310229002e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,6,4.158144304590955,1.6042166543020423e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,7,3.279532531036904,0.000519896107732497,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,8,2.087257020698302,0.018432453806110274,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,9,1.669158713730973,0.047542964923844896,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,10,6.329398014597408,1.2305975078790834e-10,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,11,1.971550007297371,0.0243304994953376,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,12,0.9745699798885555,0.16488680537793382,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,13,2.5386747969941044,0.005563660081255369,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,14,5.17450720344478,1.1425664734793307e-07,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,15,3.6018398923194153,0.00015798647745247552,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,16,4.150405790111904,1.6594317647063164e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,17,4.268236929057147,9.851200100478434e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,18,3.413181688615571,0.0003210455951296671,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,19,4.336295342901078,7.245210816086224e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,20,2.6246682027678796,0.004336672050250553,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,21,1.7562402991270905,0.039523693164668035,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,22,4.53629131232107,2.8626042936039266e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,23,1.6173156835680293,0.052905077784348276,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,24,1.5195226685627223,0.06431549326400765,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,25,-0.7219794467718128,0.7648464429719203,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,26,0.14810361327282548,0.44113049895807926,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,27,4.749925985849088,1.0174555627237784e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,28,2.379427423115983,0.008669778588792748,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,29,4.647552867387168,1.679480115621623e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,30,4.849502102864165,6.188587876784539e-07,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,31,0.10455032608854384,0.4583663163134597,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,32,2.828794983527514,0.0023361809874464963,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,33,3.537240754455056,0.0002021654557446109,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,34,3.034913737872119,0.0012030224635414541,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,35,-0.19377029082048558,0.576822124711718,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,36,0.8342938482408974,0.20205770878771329,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,37,1.5073250281168769,0.06586368266717459,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,38,3.6528562593782525,0.0001296697098584063,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,39,3.382336593790839,0.0003593601120779901,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,40,3.2186003702945123,0.0006440893922200162,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,41,1.9167740911833009,0.027633318910317377,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,42,3.0967780372639444,0.0009781815047186,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,43,2.4325797446040998,0.007495844947552788,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,44,3.9314952370112715,4.22095845454087e-05,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,45,5.0956006912010015,1.7381859330154612e-07,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,46,2.02675271897386,0.021343854007978325,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,47,1.3092338436774582,0.0952275756985112,0
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,48,4.309069104457487,8.197157032358575e-06,1
gpt2,gpw_sp_sr,gpw_sp_sr,swap_20,49,1.4088137375285368,0.07944512598123243,0
