model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,0,1.9166617905720325,0.027640456227354775,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,1,2.089948407625501,0.018311217236349854,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,2,1.0501874227647967,0.1468159754689327,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,3,4.943868132824002,3.829375926608657e-07,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,4,5.345655935014723,4.504509943139969e-08,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,5,0.3723687706112535,0.3548091511243986,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,6,1.0321839139313398,0.15099298462748045,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,7,3.038064957546933,0.001190513118806019,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,8,0.9431186942923803,0.1728100973427929,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,9,-0.6792397933187858,0.7515070313076303,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,10,6.254761283844411,1.9906220155965666e-10,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,11,0.9681323986747229,0.1664891255469022,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,12,1.3660223131789386,0.085965980004992,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,13,1.1297036021770483,0.1293005694367616,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,14,5.282016024732075,6.388500971742931e-08,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,15,0.3630187991466481,0.3582954206069876,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,16,1.664958238979118,0.04796054387332363,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,17,3.1835304192109,0.0007274541265604689,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,18,2.6726394175301,0.003762854765848738,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,19,4.886109726679705,5.142394712804377e-07,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,20,2.668599275607464,0.003808413251066889,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,21,0.6147041883606558,0.26937504665839007,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,22,3.8306880053775347,6.389272607372568e-05,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,23,-0.5512833950656596,0.7092802902412172,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,24,2.250117360184763,0.012220748175414973,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,25,0.8783671333826252,0.18987225723408702,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,26,0.6605460161357636,0.2544517494299008,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,27,3.8494820961051612,5.918391739255267e-05,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,28,2.008605231646144,0.02228950802901748,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,29,0.45418106693131205,0.3248492544837178,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,30,0.05909145995784659,0.47643963036168896,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,31,4.242354953321807,1.1059324672515646e-05,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,32,0.07649356660938095,0.46951321604148855,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,33,1.136355233816306,0.1279039615720599,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,34,-0.08642822701236551,0.5344369955161619,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,35,0.2689049800374631,0.3940014022838564,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,36,0.30705975335477537,0.379398945481672,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,37,2.7234964896636984,0.003229745103152236,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,38,1.6587852385095083,0.04857953796306166,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,39,2.1842198371050214,0.014473048970625239,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,40,-0.16880379822514335,0.5670245146749716,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,41,1.6424761398652656,0.050245683495975066,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,42,1.9509113411952785,0.025533796648464908,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,43,2.5562504063419267,0.005290347355745263,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,44,2.366350740235556,0.008982208185327223,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,45,8.140239097108115,1.972490312859126e-16,1
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,46,0.34629759487168055,0.3645595379721794,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,47,3.0207267007853313,0.0012608442866763798,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,48,2.056982695155953,0.019843945237147033,0
gpt2,gpw_sp_sr,gpw_sp_sr,typo_10,49,1.775427882445132,0.03791363177511864,0
