model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,gpw_sp,swap_20,0,6.610130971629667,1.9199007797889114e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,1,7.614567007139259,1.3228844908226611e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,2,6.108190474235688,5.038352660365823e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,3,7.5557696652838064,2.081950771086929e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,4,8.555286563992578,5.8788141348071066e-18,1
gpt2,gpw_sp,gpw_sp,swap_20,5,8.538404528309599,6.804388289338617e-18,1
gpt2,gpw_sp,gpw_sp,swap_20,6,8.086368055027489,3.073512106631271e-16,1
gpt2,gpw_sp,gpw_sp,swap_20,7,5.561645606290438,1.3362128473094009e-08,1
gpt2,gpw_sp,gpw_sp,swap_20,8,8.612162500085553,3.5847559480055e-18,1
gpt2,gpw_sp,gpw_sp,swap_20,9,2.4849118694162513,0.006479175535519978,0
gpt2,gpw_sp,gpw_sp,swap_20,10,7.330227916931379,1.1488082327525583e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,11,4.63107146071295,1.818891407171343e-06,1
gpt2,gpw_sp,gpw_sp,swap_20,12,6.1603648957101,3.628875614931333e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,13,8.425579761056058,1.794841772138119e-17,1
gpt2,gpw_sp,gpw_sp,swap_20,14,5.843110012432747,2.561757851307348e-09,1
gpt2,gpw_sp,gpw_sp,swap_20,15,6.903956408245758,2.5286912445194273e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,16,8.952761205654845,1.7334964551956422e-19,1
gpt2,gpw_sp,gpw_sp,swap_20,17,6.920524981215266,2.249864783868316e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,18,6.027386189427616,8.331625529629965e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,19,6.869002318405229,3.2326227917169716e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,20,6.309793837140862,1.3970370569363122e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,21,7.090117910753944,6.699889141011532e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,22,5.811223785927309,3.1008896624671172e-09,1
gpt2,gpw_sp,gpw_sp,swap_20,23,6.933693525106539,2.0499618961285485e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,24,7.656859595441551,9.52673708333719e-15,1
gpt2,gpw_sp,gpw_sp,swap_20,25,7.563602405341469,1.9602844511657763e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,26,8.80868569306788,6.331083657083803e-19,1
gpt2,gpw_sp,gpw_sp,swap_20,27,7.5380019321938425,2.3861339595415488e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,28,6.1199595091010455,4.679956928444237e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,29,4.125307350286636,1.8511999401902194e-05,1
gpt2,gpw_sp,gpw_sp,swap_20,30,6.106260595492713,5.099621619368887e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,31,8.26223900519184,7.148254158374361e-17,1
gpt2,gpw_sp,gpw_sp,swap_20,32,6.476091672718967,4.706443608465095e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,33,7.142785443275062,4.572916423970314e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,34,5.546080186436319,1.4607244272256422e-08,1
gpt2,gpw_sp,gpw_sp,swap_20,35,4.866870153278683,5.668973328815811e-07,1
gpt2,gpw_sp,gpw_sp,swap_20,36,7.816270327164845,2.7205728931282376e-15,1
gpt2,gpw_sp,gpw_sp,swap_20,37,9.359802973054151,3.994275987943881e-21,1
gpt2,gpw_sp,gpw_sp,swap_20,38,6.380317928757473,8.836035862890461e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,39,8.392018159129275,2.3893353609081362e-17,1
gpt2,gpw_sp,gpw_sp,swap_20,40,8.01733895257075,5.403031269617739e-16,1
gpt2,gpw_sp,gpw_sp,swap_20,41,5.200402885559064,9.942850089340294e-08,1
gpt2,gpw_sp,gpw_sp,swap_20,42,9.079220905344593,5.467739408171508e-20,1
gpt2,gpw_sp,gpw_sp,swap_20,43,8.599521591606479,4.0024541339646565e-18,1
gpt2,gpw_sp,gpw_sp,swap_20,44,9.1921114819344,1.926022829467525e-20,1
gpt2,gpw_sp,gpw_sp,swap_20,45,3.5660798145829253,0.00018118052682211325,0
gpt2,gpw_sp,gpw_sp,swap_20,46,9.5329227588547,7.645807949582232e-22,1
gpt2,gpw_sp,gpw_sp,swap_20,47,7.7920177726412305,3.2973727247783053e-15,1
gpt2,gpw_sp,gpw_sp,swap_20,48,7.658077357740041,9.436859848565437e-15,1
gpt2,gpw_sp,gpw_sp,swap_20,49,8.219445252696314,1.0222333207338097e-16,1
gpt2,gpw_sp,gpw_sp,swap_20,50,6.977611133077599,1.5012065194677844e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,51,8.516271029619345,8.238647814315222e-18,1
gpt2,gpw_sp,gpw_sp,swap_20,52,1.964121040373995,0.024758028372204522,0
gpt2,gpw_sp,gpw_sp,swap_20,53,8.26246833422877,7.134529876697397e-17,1
gpt2,gpw_sp,gpw_sp,swap_20,54,6.446989985990069,5.704666149578013e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,55,8.311316638960708,4.732300315195038e-17,1
gpt2,gpw_sp,gpw_sp,swap_20,56,7.401468361268845,6.734338558739273e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,57,6.272076318289925,1.7813243344103046e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,58,6.744904949375728,7.656361760736035e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,59,4.207455593708316,1.2913106613882044e-05,1
gpt2,gpw_sp,gpw_sp,swap_20,60,5.394661051217302,3.432651260870175e-08,1
gpt2,gpw_sp,gpw_sp,swap_20,61,6.858570419604674,3.4776522162862002e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,62,7.1629613261768394,3.947631459240076e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,63,7.1893507779314065,3.2550062727439417e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,64,6.764084714296026,6.707728722652646e-12,1
gpt2,gpw_sp,gpw_sp,swap_20,65,7.5951795212165,1.5368300995020645e-14,1
gpt2,gpw_sp,gpw_sp,swap_20,66,7.795474196744895,3.2083524703111836e-15,1
gpt2,gpw_sp,gpw_sp,swap_20,67,9.62234634311434,3.217316482383863e-22,1
gpt2,gpw_sp,gpw_sp,swap_20,68,7.233984490943827,2.345126801723482e-13,1
gpt2,gpw_sp,gpw_sp,swap_20,69,5.470486414036096,2.2440105584924982e-08,1
gpt2,gpw_sp,gpw_sp,swap_20,70,6.592408452765402,2.1637401761363248e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,71,6.309224066507163,1.4021893399443302e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,72,8.022883716745744,5.164556086596988e-16,1
gpt2,gpw_sp,gpw_sp,swap_20,73,6.022560118115992,8.58397846520953e-10,1
gpt2,gpw_sp,gpw_sp,swap_20,74,6.645645182432967,1.5094585907544647e-11,1
gpt2,gpw_sp,gpw_sp,swap_20,75,4.948946776558057,3.730807279746895e-07,1
gpt2,gpw_sp,gpw_sp,swap_20,76,7.964068832436281,8.323628808942915e-16,1
gpt2,gpw_sp,gpw_sp,swap_20,77,3.101042326902675,0.0009642036158161811,0
gpt2,gpw_sp,gpw_sp,swap_20,78,5.985476590083409,1.0787857714828672e-09,1
