model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,gpw_sp,synonym_30,0,6.872965284688011,3.1440436483903103e-12,1
gpt2,gpw_sp,gpw_sp,synonym_30,1,5.916071467308829,1.6486099394605524e-09,1
gpt2,gpw_sp,gpw_sp,synonym_30,2,8.260393245389409,7.259666325597458e-17,1
gpt2,gpw_sp,gpw_sp,synonym_30,3,8.752723356574137,1.0413239079334834e-18,1
gpt2,gpw_sp,gpw_sp,synonym_30,4,10.080960354630395,3.3533685590976904e-24,1
gpt2,gpw_sp,gpw_sp,synonym_30,5,7.457652101382924,4.403893014906302e-14,1
gpt2,gpw_sp,gpw_sp,synonym_30,6,6.689219595829373,1.1218192175416746e-11,1
gpt2,gpw_sp,gpw_sp,synonym_30,7,5.164840721453353,1.2032187561860328e-07,1
gpt2,gpw_sp,gpw_sp,synonym_30,8,7.919606027719066,1.1913215793128963e-15,1
gpt2,gpw_sp,gpw_sp,synonym_30,9,0.8444579130580077,0.19920678606827658,0
gpt2,gpw_sp,gpw_sp,synonym_30,10,6.980702309067931,1.4685403847203072e-12,1
gpt2,gpw_sp,gpw_sp,synonym_30,11,4.9653026838809415,3.42970012470015e-07,1
gpt2,gpw_sp,gpw_sp,synonym_30,12,6.939560851754146,1.966603370251053e-12,1
gpt2,gpw_sp,gpw_sp,synonym_30,13,11.520944922036653,5.173501075972372e-31,1
gpt2,gpw_sp,gpw_sp,synonym_30,14,3.942898270045565,4.025140439118634e-05,0
gpt2,gpw_sp,gpw_sp,synonym_30,15,3.230364049025907,0.0006181634297074072,0
gpt2,gpw_sp,gpw_sp,synonym_30,16,8.576334974804025,4.8972015231805896e-18,1
gpt2,gpw_sp,gpw_sp,synonym_30,17,8.271518217357361,6.613190732509824e-17,1
gpt2,gpw_sp,gpw_sp,synonym_30,18,6.1616881408225215,3.598674514801603e-10,1
gpt2,gpw_sp,gpw_sp,synonym_30,19,7.206447416946541,2.8715243098166484e-13,1
gpt2,gpw_sp,gpw_sp,synonym_30,20,7.057817189666998,8.456918306745994e-13,1
gpt2,gpw_sp,gpw_sp,synonym_30,21,7.7556479404170044,4.394677379897856e-15,1
gpt2,gpw_sp,gpw_sp,synonym_30,22,6.107090546924769,5.073184155851932e-10,1
gpt2,gpw_sp,gpw_sp,synonym_30,23,7.352011305590992,9.762314413723635e-14,1
