model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,gpw_sp,typo_10,0,10.294149005392189,3.7439360328039647e-25,1
gpt2,gpw_sp,gpw_sp,typo_10,1,9.55990745275164,5.893102642173095e-22,1
gpt2,gpw_sp,gpw_sp,typo_10,2,9.672081678065087,1.9811748897332275e-22,1
gpt2,gpw_sp,gpw_sp,typo_10,3,12.40967791593374,1.1579124488506694e-35,1
gpt2,gpw_sp,gpw_sp,typo_10,4,11.693450982430019,6.883817498705459e-32,1
gpt2,gpw_sp,gpw_sp,typo_10,5,9.889903888821296,2.3023488747716682e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,6,9.290604023704882,7.670759823489e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,7,7.6508614925837275,9.98186421632815e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,8,9.896383184013095,2.158011235003438e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,9,-0.2792459022930263,0.6099719404157776,0
gpt2,gpw_sp,gpw_sp,typo_10,10,9.52335070010285,8.384166686239173e-22,1
gpt2,gpw_sp,gpw_sp,typo_10,11,8.204906242991635,1.1538545287796625e-16,1
gpt2,gpw_sp,gpw_sp,typo_10,12,7.605737035278796,1.4164238772592636e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,13,11.032531157673068,1.3313192901329829e-28,1
gpt2,gpw_sp,gpw_sp,typo_10,14,8.657215801612331,2.4171346939406664e-18,1
gpt2,gpw_sp,gpw_sp,typo_10,15,7.849320597093088,2.091485357285059e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,16,10.079555549359977,3.4016578819848614e-24,1
gpt2,gpw_sp,gpw_sp,typo_10,17,9.809368662080942,5.1304253644839643e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,18,7.1632230171708775,3.9400996731821103e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,19,7.100366309188418,6.221332420017491e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,20,9.314507790202551,6.125964285120179e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,21,9.783590986292854,6.6213428422209e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,22,7.563717663556719,1.9585473878743325e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,23,8.04282865037867,4.389402183520199e-16,1
gpt2,gpw_sp,gpw_sp,typo_10,24,9.787046980213622,6.39895074007609e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,25,8.271294820746144,6.625595969539856e-17,1
gpt2,gpw_sp,gpw_sp,typo_10,26,9.709461236868007,1.3739284735529216e-22,1
gpt2,gpw_sp,gpw_sp,typo_10,27,8.832292512164022,5.12759180810026e-19,1
gpt2,gpw_sp,gpw_sp,typo_10,28,8.632517992812595,3.000794963085936e-18,1
gpt2,gpw_sp,gpw_sp,typo_10,29,5.3599530011937375,4.162180270266608e-08,1
gpt2,gpw_sp,gpw_sp,typo_10,30,9.207163415457128,1.6742833964451144e-20,1
gpt2,gpw_sp,gpw_sp,typo_10,31,9.150369406970185,2.836959529306129e-20,1
gpt2,gpw_sp,gpw_sp,typo_10,32,9.424589941727849,2.158947025914744e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,33,6.942383282435307,1.9276973079760596e-12,1
gpt2,gpw_sp,gpw_sp,typo_10,34,3.9629106398882294,3.7020750540047803e-05,0
gpt2,gpw_sp,gpw_sp,typo_10,35,7.789328988013379,3.36829958897328e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,36,9.402329934917796,2.6683983157413065e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,37,10.781394014889452,2.1072489324282045e-27,1
gpt2,gpw_sp,gpw_sp,typo_10,38,8.547186535577632,6.3062629737227864e-18,1
gpt2,gpw_sp,gpw_sp,typo_10,39,9.880113163612114,2.5387768471860268e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,40,8.446062278881499,1.5064650166281102e-17,1
gpt2,gpw_sp,gpw_sp,typo_10,41,7.168837776196623,3.781855907753205e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,42,9.450995258982584,1.6781205353217841e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,43,9.934124650032395,1.478810743671937e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,44,11.799373684968687,1.9661362637918565e-32,1
gpt2,gpw_sp,gpw_sp,typo_10,45,5.222261913832737,8.837536611765383e-08,1
gpt2,gpw_sp,gpw_sp,typo_10,46,8.437756963251358,1.617426895811233e-17,1
gpt2,gpw_sp,gpw_sp,typo_10,47,10.975062270049007,2.5185569596209323e-28,1
gpt2,gpw_sp,gpw_sp,typo_10,48,10.642889845547982,9.410003070233683e-27,1
gpt2,gpw_sp,gpw_sp,typo_10,49,10.16136297544351,1.4746216350235007e-24,1
gpt2,gpw_sp,gpw_sp,typo_10,50,9.317359112839007,5.963598387952931e-21,1
gpt2,gpw_sp,gpw_sp,typo_10,51,6.962878712998039,1.6669441898554737e-12,1
gpt2,gpw_sp,gpw_sp,typo_10,52,4.850456947576309,6.158868456343831e-07,1
gpt2,gpw_sp,gpw_sp,typo_10,53,7.3969639496497575,6.966667827219277e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,54,8.472927660976026,1.196506002042293e-17,1
gpt2,gpw_sp,gpw_sp,typo_10,55,11.401279165512229,2.0601011295851216e-30,1
gpt2,gpw_sp,gpw_sp,typo_10,56,9.75025859362849,9.19994850582056e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,57,6.6750466152182835,1.2357679649929038e-11,1
gpt2,gpw_sp,gpw_sp,typo_10,58,8.647197021542143,2.638990017636554e-18,1
gpt2,gpw_sp,gpw_sp,typo_10,59,4.8175754050253445,7.265659115032457e-07,1
gpt2,gpw_sp,gpw_sp,typo_10,60,6.6241623501872455,1.7461139147208738e-11,1
gpt2,gpw_sp,gpw_sp,typo_10,61,7.307388318706253,1.361922728684757e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,62,7.563627799199943,1.959901608766255e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,63,8.08131806317152,3.203523054201896e-16,1
gpt2,gpw_sp,gpw_sp,typo_10,64,9.688543227681205,1.686526487799899e-22,1
gpt2,gpw_sp,gpw_sp,typo_10,65,7.640415096352047,1.0826126907766302e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,66,7.876961931052296,1.6771852834077424e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,67,10.919967718763042,4.626434413708836e-28,1
gpt2,gpw_sp,gpw_sp,typo_10,68,10.395635826450073,1.2977501952681303e-25,1
gpt2,gpw_sp,gpw_sp,typo_10,69,8.047284017073656,4.232578941978861e-16,1
gpt2,gpw_sp,gpw_sp,typo_10,70,7.5213657721597755,2.7103480710458472e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,71,7.005269752202885,1.2325520887384926e-12,1
gpt2,gpw_sp,gpw_sp,typo_10,72,10.149796541663136,1.6602747779536873e-24,1
gpt2,gpw_sp,gpw_sp,typo_10,73,7.0668660935743315,7.923586728122928e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,74,9.849700769554623,3.4374173102338814e-23,1
gpt2,gpw_sp,gpw_sp,typo_10,75,7.651356696382653,9.943492625038087e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,76,8.1609688118706,1.6617399247732574e-16,1
gpt2,gpw_sp,gpw_sp,typo_10,77,4.190970150989057,1.3888210217661527e-05,1
gpt2,gpw_sp,gpw_sp,typo_10,78,7.583443006404914,1.682516993720606e-14,1
gpt2,gpw_sp,gpw_sp,typo_10,79,10.771089090454641,2.3569586719576315e-27,1
gpt2,gpw_sp,gpw_sp,typo_10,80,7.7941376679028185,3.2424907178660727e-15,1
gpt2,gpw_sp,gpw_sp,typo_10,81,7.31226984434222,1.3133347116932963e-13,1
gpt2,gpw_sp,gpw_sp,typo_10,82,7.706930398834218,6.444002109253356e-15,1
