model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw,gpw,swap_20,0,12.727548890481922,2.078424114081585e-37,1
gpt2,gpw,gpw,swap_20,1,14.981930313561477,4.818833144246167e-51,1
gpt2,gpw,gpw,swap_20,2,2.730817764012879,0.0031588697652360173,0
gpt2,gpw,gpw,swap_20,3,8.332239848681278,3.96635163394362e-17,1
gpt2,gpw,gpw,swap_20,4,2.365515899065391,0.009002485096441056,0
gpt2,gpw,gpw,swap_20,5,14.681995620444262,4.2039515179778026e-49,1
gpt2,gpw,gpw,swap_20,6,14.814953735015802,5.863499297157555e-50,1
gpt2,gpw,gpw,swap_20,7,12.618631734535859,8.33461646412737e-37,1
gpt2,gpw,gpw,swap_20,8,13.638887833048017,1.1755947784117084e-42,1
gpt2,gpw,gpw,swap_20,9,9.274952678100652,8.884895243728755e-21,1
gpt2,gpw,gpw,swap_20,10,14.23469308553945,2.790370084189142e-46,1
gpt2,gpw,gpw,swap_20,11,12.10398826220275,5.030104671538921e-34,1
gpt2,gpw,gpw,swap_20,12,5.139111453291333,1.380203215335089e-07,1
gpt2,gpw,gpw,swap_20,13,13.63792127545307,1.1912779582567116e-42,1
gpt2,gpw,gpw,swap_20,14,13.621122281864862,1.4996151563187168e-42,1
gpt2,gpw,gpw,swap_20,15,15.436696823246919,4.636459795858997e-54,1
gpt2,gpw,gpw,swap_20,16,5.292866791670623,6.020681632111446e-08,1
gpt2,gpw,gpw,swap_20,17,14.348743359867651,5.424257538374503e-47,1
gpt2,gpw,gpw,swap_20,18,15.031399622083336,2.286208178456503e-51,1
gpt2,gpw,gpw,swap_20,19,14.765034789458682,1.2309760728632011e-49,1
gpt2,gpw,gpw,swap_20,20,7.81074718871776,2.8424972577733415e-15,1
gpt2,gpw,gpw,swap_20,21,6.724625496527791,8.802231739164379e-12,1
gpt2,gpw,gpw,swap_20,22,16.802343442444066,1.1729478558280498e-63,1
gpt2,gpw,gpw,swap_20,23,8.230576325479142,9.315742203270575e-17,1
gpt2,gpw,gpw,swap_20,24,8.477990940942075,1.145579013105892e-17,1
gpt2,gpw,gpw,swap_20,25,13.616268894877953,1.6026490976837807e-42,1
gpt2,gpw,gpw,swap_20,26,14.42075713229164,1.9155827626595837e-47,1
gpt2,gpw,gpw,swap_20,27,12.454374051935702,6.619303686233508e-36,1
gpt2,gpw,gpw,swap_20,28,15.817753648652346,1.1735940295219578e-56,1
gpt2,gpw,gpw,swap_20,29,9.23247488344038,1.3222487035837786e-20,1
gpt2,gpw,gpw,swap_20,30,12.421724005117275,9.961076924660625e-36,1
gpt2,gpw,gpw,swap_20,31,15.887138826484538,3.8899191303212777e-57,1
gpt2,gpw,gpw,swap_20,32,6.326312914927145,1.2554419595081897e-10,1
gpt2,gpw,gpw,swap_20,33,2.981384449652771,0.0014347415609545274,0
gpt2,gpw,gpw,swap_20,34,10.034952772253336,5.350530084472803e-24,1
gpt2,gpw,gpw,swap_20,35,5.912983370545248,1.6798305502402206e-09,1
gpt2,gpw,gpw,swap_20,36,14.589615695236516,1.6351732944423605e-48,1
gpt2,gpw,gpw,swap_20,37,15.97880713270808,8.97745009677245e-58,1
gpt2,gpw,gpw,swap_20,38,14.000473358882259,7.741799596868402e-45,1
gpt2,gpw,gpw,swap_20,39,16.841439287643034,6.062554126431493e-64,1
gpt2,gpw,gpw,swap_20,40,8.668906770144005,2.181445018016808e-18,1
gpt2,gpw,gpw,swap_20,41,9.298542141608314,7.119225310509619e-21,1
gpt2,gpw,gpw,swap_20,42,10.685418860210607,5.9555079712558774e-27,1
gpt2,gpw,gpw,swap_20,43,14.110784575191166,1.6296575903049738e-45,1
gpt2,gpw,gpw,swap_20,44,15.551112680394025,7.818271350647157e-55,1
gpt2,gpw,gpw,swap_20,45,12.310009567617904,4.000685144168473e-35,1
gpt2,gpw,gpw,swap_20,46,13.340209803950435,6.753942014499209e-41,1
gpt2,gpw,gpw,swap_20,47,13.38630328300869,3.6355327789952863e-41,1
gpt2,gpw,gpw,swap_20,48,5.226750122602707,8.625769657304158e-08,1
gpt2,gpw,gpw,swap_20,49,12.841369682924327,4.807900083528158e-38,1
gpt2,gpw,gpw,swap_20,50,13.313654848738917,9.640694745790974e-41,1
gpt2,gpw,gpw,swap_20,51,14.262761538072127,1.8669079488483807e-46,1
gpt2,gpw,gpw,swap_20,52,3.5315263130839183,0.00020658437628438958,0
gpt2,gpw,gpw,swap_20,53,15.639922324523264,1.946012546210333e-55,1
gpt2,gpw,gpw,swap_20,54,9.951987431998644,1.2359818728199558e-23,1
gpt2,gpw,gpw,swap_20,55,14.301346512426363,1.0730822249508043e-46,1
gpt2,gpw,gpw,swap_20,56,15.194179623770898,1.932357983056224e-52,1
gpt2,gpw,gpw,swap_20,57,13.908005374686525,2.8318483336133845e-44,1
gpt2,gpw,gpw,swap_20,58,2.971000576759169,0.0014841561165844551,0
gpt2,gpw,gpw,swap_20,59,15.293740248928788,4.208691477188059e-53,1
gpt2,gpw,gpw,swap_20,60,3.3950829097726096,0.0003430391041517514,0
gpt2,gpw,gpw,swap_20,61,13.764248192636707,2.091060561899105e-43,1
gpt2,gpw,gpw,swap_20,62,15.107127818029468,7.266898102576094e-52,1
gpt2,gpw,gpw,swap_20,63,9.685858994981219,1.7314258510628465e-22,1
gpt2,gpw,gpw,swap_20,64,8.747213852873239,1.0934251069647305e-18,1
gpt2,gpw,gpw,swap_20,65,10.454987767944928,6.950835798997022e-26,1
gpt2,gpw,gpw,swap_20,66,3.6425918324430633,0.00013495332014924234,0
gpt2,gpw,gpw,swap_20,67,13.93402566211243,1.9676707198138297e-44,1
gpt2,gpw,gpw,swap_20,68,14.921727214832387,1.1901559830796e-50,1
gpt2,gpw,gpw,swap_20,69,13.751522655359398,2.4934400550898216e-43,1
gpt2,gpw,gpw,swap_20,70,13.56526206462481,3.217463413617063e-42,1
gpt2,gpw,gpw,swap_20,71,14.254444429191587,2.103182376923595e-46,1
gpt2,gpw,gpw,swap_20,72,17.47438309662885,1.1228061053925824e-68,1
gpt2,gpw,gpw,swap_20,73,16.075162538872373,1.904963960162418e-58,1
gpt2,gpw,gpw,swap_20,74,9.085401359943557,5.165839029182039e-20,1
gpt2,gpw,gpw,swap_20,75,0.685784792738395,0.2464244136652896,0
gpt2,gpw,gpw,swap_20,76,9.33011297054341,5.28790618040533e-21,1
gpt2,gpw,gpw,swap_20,77,4.221371175757502,1.2141035708591499e-05,1
gpt2,gpw,gpw,swap_20,78,5.472333958002227,2.2207341861015444e-08,1
gpt2,gpw,gpw,swap_20,79,4.724154152285586,1.155375469048276e-06,1
gpt2,gpw,gpw,swap_20,80,15.809105075954268,1.3463228723854663e-56,1
gpt2,gpw,gpw,swap_20,81,0.6486501476540533,0.2582822669854269,0
gpt2,gpw,gpw,swap_20,82,9.107477475752018,4.215979660399152e-20,1
gpt2,gpw,gpw,swap_20,83,13.927964744924061,2.1419481611253318e-44,1
gpt2,gpw,gpw,swap_20,84,15.207569216291487,1.5751241841487953e-52,1
gpt2,gpw,gpw,swap_20,85,5.951753458979936,1.3264239417098893e-09,1
gpt2,gpw,gpw,swap_20,86,9.462515009290195,1.5031195721102948e-21,1
gpt2,gpw,gpw,swap_20,87,12.894627323040655,2.4129521451715027e-38,1
gpt2,gpw,gpw,swap_20,88,9.15233363929724,2.7858351857282206e-20,1
gpt2,gpw,gpw,swap_20,89,5.45886594302626,2.3959269048419142e-08,1
gpt2,gpw,gpw,swap_20,90,4.963259366299176,3.46599559453101e-07,1
gpt2,gpw,gpw,swap_20,91,5.666442303002198,7.289644608842952e-09,1
