model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw,gpw,synonym_30,0,10.213890385136438,8.591692629128148e-25,1
gpt2,gpw,gpw,synonym_30,1,12.011060681308027,1.5541624531907384e-33,1
gpt2,gpw,gpw,synonym_30,2,2.1886186350953447,0.01431228511142866,0
gpt2,gpw,gpw,synonym_30,3,7.4190478051853885,5.898266594936325e-14,1
gpt2,gpw,gpw,synonym_30,4,2.020485014068365,0.02166655152260295,0
gpt2,gpw,gpw,synonym_30,5,12.867098090805525,3.4472038239065277e-38,1
gpt2,gpw,gpw,synonym_30,6,13.6478666536783,1.0393770639961944e-42,1
gpt2,gpw,gpw,synonym_30,7,11.981738367559052,2.2146854654354418e-33,1
gpt2,gpw,gpw,synonym_30,8,12.453096309312352,6.726158418323733e-36,1
gpt2,gpw,gpw,synonym_30,9,7.697398305102281,6.943226260388596e-15,1
gpt2,gpw,gpw,synonym_30,10,11.925724969730272,4.346200323484397e-33,1
gpt2,gpw,gpw,synonym_30,11,11.522811946696091,5.062590613664517e-31,1
gpt2,gpw,gpw,synonym_30,12,4.250824304345913,1.0649259919969078e-05,1
gpt2,gpw,gpw,synonym_30,13,12.037513212857943,1.1282789953459203e-33,1
gpt2,gpw,gpw,synonym_30,14,11.37820428660332,2.6846968764637885e-30,1
gpt2,gpw,gpw,synonym_30,15,15.087135983183158,9.840059311414296e-52,1
gpt2,gpw,gpw,synonym_30,16,4.886614798619553,5.129226117184563e-07,1
gpt2,gpw,gpw,synonym_30,17,13.58982989045275,2.3007431452867585e-42,1
gpt2,gpw,gpw,synonym_30,18,14.00809811665207,6.953991679582049e-45,1
gpt2,gpw,gpw,synonym_30,19,11.737720019889075,4.0829108607091576e-32,1
gpt2,gpw,gpw,synonym_30,20,6.616501262378503,1.8389986759403545e-11,1
gpt2,gpw,gpw,synonym_30,21,6.527406617932135,3.345910073234945e-11,1
gpt2,gpw,gpw,synonym_30,22,17.055322501636674,1.5955342442800213e-65,1
gpt2,gpw,gpw,synonym_30,23,7.659836670221244,9.308484661700346e-15,1
gpt2,gpw,gpw,synonym_30,24,7.155806961338349,4.159106469031576e-13,1
gpt2,gpw,gpw,synonym_30,25,12.193092436775965,1.6916708838673111e-34,1
gpt2,gpw,gpw,synonym_30,26,12.816248768046826,6.649002883508021e-38,1
gpt2,gpw,gpw,synonym_30,27,9.292824569147152,7.512356964375968e-21,1
gpt2,gpw,gpw,synonym_30,28,13.42248813853338,2.2323376576994042e-41,1
gpt2,gpw,gpw,synonym_30,29,7.996476289434504,6.40152062181313e-16,1
gpt2,gpw,gpw,synonym_30,30,10.968339075694477,2.712997120598426e-28,1
gpt2,gpw,gpw,synonym_30,31,12.684987033390701,3.581285240323205e-37,1
gpt2,gpw,gpw,synonym_30,32,5.4863491121979795,2.0516279572100038e-08,1
gpt2,gpw,gpw,synonym_30,33,1.7724010685462142,0.03816400227739203,0
gpt2,gpw,gpw,synonym_30,34,8.935847767194918,2.020339959712182e-19,1
gpt2,gpw,gpw,synonym_30,35,5.287074731212419,6.214393665824501e-08,1
gpt2,gpw,gpw,synonym_30,36,12.947769973782725,1.2093937847550994e-38,1
gpt2,gpw,gpw,synonym_30,37,13.432856035010643,1.940738957957557e-41,1
gpt2,gpw,gpw,synonym_30,38,11.717100426044453,5.208845145155754e-32,1
gpt2,gpw,gpw,synonym_30,39,13.668799090711486,7.79738083826224e-43,1
gpt2,gpw,gpw,synonym_30,40,7.5636105749344384,1.9601612768827808e-14,1
gpt2,gpw,gpw,synonym_30,41,8.085598536050462,3.0929820507814337e-16,1
gpt2,gpw,gpw,synonym_30,42,10.320610874086714,2.8430114589572552e-25,1
gpt2,gpw,gpw,synonym_30,43,11.993762255493557,1.9155054060574587e-33,1
gpt2,gpw,gpw,synonym_30,44,14.187119630364235,5.504420320058813e-46,1
gpt2,gpw,gpw,synonym_30,45,12.01672378580892,1.451265297348779e-33,1
gpt2,gpw,gpw,synonym_30,46,11.220221223381285,1.622288893576095e-29,1
gpt2,gpw,gpw,synonym_30,47,11.879048373168311,7.604445350794104e-33,1
gpt2,gpw,gpw,synonym_30,48,4.458496191574786,4.126833161957803e-06,1
gpt2,gpw,gpw,synonym_30,49,11.708316174110816,5.777580355968193e-32,1
gpt2,gpw,gpw,synonym_30,50,11.817996871803452,1.5755426461532246e-32,1
gpt2,gpw,gpw,synonym_30,51,12.860994061391985,3.730546980634664e-38,1
gpt2,gpw,gpw,synonym_30,52,3.1431138919964963,0.000835803927317073,0
gpt2,gpw,gpw,synonym_30,53,12.550531412393443,1.974255987372773e-36,1
gpt2,gpw,gpw,synonym_30,54,8.458625600695754,1.352735629494843e-17,1
gpt2,gpw,gpw,synonym_30,55,12.498467570821719,3.8052083546690935e-36,1
gpt2,gpw,gpw,synonym_30,56,12.308888348999652,4.056648489189618e-35,1
gpt2,gpw,gpw,synonym_30,57,11.331643388966345,4.5736085463745825e-30,1
gpt2,gpw,gpw,synonym_30,58,2.9240692812025664,0.0017274392117453481,0
gpt2,gpw,gpw,synonym_30,59,13.716536007829143,4.041807814187479e-43,1
gpt2,gpw,gpw,synonym_30,60,3.087321590865993,0.0010098448364651515,0
gpt2,gpw,gpw,synonym_30,61,13.79435841094815,1.3779691828852666e-43,1
gpt2,gpw,gpw,synonym_30,62,12.092575852394306,5.780222544266578e-34,1
gpt2,gpw,gpw,synonym_30,63,7.904740575572853,1.3424608441424802e-15,1
gpt2,gpw,gpw,synonym_30,64,7.20814523690989,2.8359558716537374e-13,1
gpt2,gpw,gpw,synonym_30,65,10.161809308481265,1.4678854199661812e-24,1
gpt2,gpw,gpw,synonym_30,66,2.5020656880808954,0.006173550682333182,0
gpt2,gpw,gpw,synonym_30,67,11.719462674007666,5.065627053174492e-32,1
gpt2,gpw,gpw,synonym_30,68,12.703013327607135,2.844800657841978e-37,1
gpt2,gpw,gpw,synonym_30,69,11.118310433763062,5.109442430979004e-29,1
gpt2,gpw,gpw,synonym_30,70,12.169472686543378,2.259964952640698e-34,1
gpt2,gpw,gpw,synonym_30,71,13.814309733823762,1.0447374123863326e-43,1
