model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw,gpw,typo_10,0,11.08536828247724,7.387059273724169e-29,1
gpt2,gpw,gpw,typo_10,1,13.733961946059024,3.178025964317068e-43,1
gpt2,gpw,gpw,typo_10,2,2.2180324949057164,0.013276308440949305,0
gpt2,gpw,gpw,typo_10,3,8.630957844252945,3.04201530605371e-18,1
gpt2,gpw,gpw,typo_10,4,2.525103061083412,0.005783218179582191,0
gpt2,gpw,gpw,typo_10,5,13.311843279593287,9.87735461409083e-41,1
gpt2,gpw,gpw,typo_10,6,14.113082926745907,1.5773945561021758e-45,1
gpt2,gpw,gpw,typo_10,7,11.342852234588982,4.0238984336212835e-30,1
gpt2,gpw,gpw,typo_10,8,12.742009924153436,1.72690351979025e-37,1
gpt2,gpw,gpw,typo_10,9,7.579623328680895,1.7327981596188982e-14,1
gpt2,gpw,gpw,typo_10,10,13.304269046136564,1.0931034462595007e-40,1
gpt2,gpw,gpw,typo_10,11,11.420958525544574,1.642948518500965e-30,1
gpt2,gpw,gpw,typo_10,12,4.823671450982936,7.046975327995244e-07,1
gpt2,gpw,gpw,typo_10,13,13.027082421223163,4.2913580150407295e-39,1
gpt2,gpw,gpw,typo_10,14,11.86652314392722,8.83289520949834e-33,1
gpt2,gpw,gpw,typo_10,15,15.057011920271954,1.5525367349611696e-51,1
gpt2,gpw,gpw,typo_10,16,4.821766054637529,7.11463852699685e-07,1
gpt2,gpw,gpw,typo_10,17,14.178366902017718,6.235759059421108e-46,1
gpt2,gpw,gpw,typo_10,18,14.683018786600469,4.140983094458446e-49,1
gpt2,gpw,gpw,typo_10,19,13.703092409913019,4.8645378470929955e-43,1
gpt2,gpw,gpw,typo_10,20,7.573179415482152,1.820993794527237e-14,1
gpt2,gpw,gpw,typo_10,21,5.512911027110264,1.7647333999995933e-08,1
gpt2,gpw,gpw,typo_10,22,16.865010557679366,4.06937867077522e-64,1
gpt2,gpw,gpw,typo_10,23,7.895523945179255,1.445490807569879e-15,1
gpt2,gpw,gpw,typo_10,24,8.095297285038958,2.8562334604738643e-16,1
gpt2,gpw,gpw,typo_10,25,12.345642830709387,2.5710935823001064e-35,1
gpt2,gpw,gpw,typo_10,26,12.98912646694508,7.051374867977652e-39,1
gpt2,gpw,gpw,typo_10,27,10.792076146545648,1.8760790368022118e-27,1
gpt2,gpw,gpw,typo_10,28,14.784550826508413,9.214128676612238e-50,1
gpt2,gpw,gpw,typo_10,29,8.576905713399531,4.872972241544074e-18,1
gpt2,gpw,gpw,typo_10,30,11.228299060504625,1.4806210434268177e-29,1
gpt2,gpw,gpw,typo_10,31,14.809217009656317,6.38596930989525e-50,1
gpt2,gpw,gpw,typo_10,32,5.953722991194135,1.3105515260092853e-09,1
gpt2,gpw,gpw,typo_10,33,2.288087369462463,0.011066216819763025,0
gpt2,gpw,gpw,typo_10,34,9.983384781588041,9.010606454210213e-24,1
gpt2,gpw,gpw,typo_10,35,5.527287456143824,1.6260992886560398e-08,1
gpt2,gpw,gpw,typo_10,36,13.696394405584922,5.334613811869556e-43,1
gpt2,gpw,gpw,typo_10,37,14.943855391178738,8.540035640902545e-51,1
gpt2,gpw,gpw,typo_10,38,12.910855198976835,1.9546747998599975e-38,1
gpt2,gpw,gpw,typo_10,39,15.567961709647811,6.0088072588691236e-55,1
gpt2,gpw,gpw,typo_10,40,7.6488054841800395,1.0142740915478742e-14,1
gpt2,gpw,gpw,typo_10,41,8.026458505563669,5.016337281985983e-16,1
gpt2,gpw,gpw,typo_10,42,9.82774160111482,4.2757458675417385e-23,1
gpt2,gpw,gpw,typo_10,43,12.914024201330992,1.8758496846732554e-38,1
gpt2,gpw,gpw,typo_10,44,15.056146678444879,1.572984465672784e-51,1
gpt2,gpw,gpw,typo_10,45,11.99051273293784,1.9921561727451046e-33,1
gpt2,gpw,gpw,typo_10,46,12.405147828180139,1.2253002977305905e-35,1
gpt2,gpw,gpw,typo_10,47,11.868031551540078,8.675099455343217e-33,1
gpt2,gpw,gpw,typo_10,48,4.532188965702745,2.9187796451937233e-06,1
gpt2,gpw,gpw,typo_10,49,11.716632614341753,5.237680889788365e-32,1
