model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,kgw,kgw,clean,0,9.540556703999103,7.103380504364614e-22,1
gpt2,kgw,kgw,clean,1,8.451542547285166,1.437395112677825e-17,1
gpt2,kgw,kgw,clean,2,4.525483399593904,3.012880575881041e-06,1
gpt2,kgw,kgw,clean,3,6.3804502135457675,8.828406160207967e-11,1
gpt2,kgw,kgw,clean,4,7.5,3.1908916729108844e-14,1
gpt2,kgw,kgw,clean,5,2.23606797749979,0.012673659338734126,0
gpt2,kgw,kgw,clean,6,8.696541511091846,1.7107626600968985e-18,1
gpt2,kgw,kgw,clean,7,8.067582634875961,3.5851836903333054e-16,1
gpt2,kgw,kgw,clean,8,10.173494974687902,1.3019706707656576e-24,1
gpt2,kgw,kgw,clean,9,9.339741389929875,4.828484957538522e-21,1
gpt2,kgw,kgw,clean,10,8.060677533122984,3.793636706977105e-16,1
gpt2,kgw,kgw,clean,11,8.244345381486076,8.303342019037733e-17,1
gpt2,kgw,kgw,clean,12,7.723229626397817,5.670929100158025e-15,1
gpt2,kgw,kgw,clean,13,4.621207153499565,1.9075679325562964e-06,1
gpt2,kgw,kgw,clean,14,7.027819284987273,1.0489317811875916e-12,1
gpt2,kgw,kgw,clean,15,0.3779644730092272,0.3527284930556367,0
gpt2,kgw,kgw,clean,16,8.994650816763707,1.1849216693364756e-19,1
gpt2,kgw,kgw,clean,17,9.497607354199554,1.07384054722145e-21,1
gpt2,kgw,kgw,clean,18,7.363817383097771,8.93620762293984e-14,1
gpt2,kgw,kgw,clean,19,6.682681187076132,1.1730480671020195e-11,1
gpt2,kgw,kgw,clean,20,8.945474016302551,1.8517839588192982e-19,1
gpt2,kgw,kgw,clean,21,3.5355339059327373,0.00020347600872247943,0
gpt2,kgw,kgw,clean,22,3.3565855667130946,0.00039455649450781497,0
gpt2,kgw,kgw,clean,23,8.94427190999916,1.872048692101436e-19,1
gpt2,kgw,kgw,clean,24,6.992131882114405,1.3537009411203816e-12,1
gpt2,kgw,kgw,clean,25,9.406045088693032,2.5757836601538945e-21,1
gpt2,kgw,kgw,clean,26,9.29117682808958,7.629585447347388e-21,1
gpt2,kgw,kgw,clean,27,7.127317708515653,5.117183939474048e-13,1
gpt2,kgw,kgw,clean,28,8.901904427650546,2.744826455778737e-19,1
gpt2,kgw,kgw,clean,29,8.4856384913606,1.0726872337695073e-17,1
gpt2,kgw,kgw,clean,30,5.458305913768104,2.403494657648955e-08,1
gpt2,kgw,kgw,clean,31,9.838699100999074,3.8348052594094304e-23,1
gpt2,kgw,kgw,clean,32,8.493600116431967,1.001663725333012e-17,1
gpt2,kgw,kgw,clean,33,9.093343108499145,4.8019796510022896e-20,1
gpt2,kgw,kgw,clean,34,9.04534033733291,7.459983198493377e-20,1
gpt2,kgw,kgw,clean,35,3.922322702763681,4.384971187795107e-05,0
gpt2,kgw,kgw,clean,36,9.04534033733291,7.459983198493377e-20,1
gpt2,kgw,kgw,clean,37,9.092421632741246,4.8428633940738406e-20,1
gpt2,kgw,kgw,clean,38,4.532898610306738,2.9089872621039104e-06,1
gpt2,kgw,kgw,clean,39,10.794009370844197,1.837015862226593e-27,1
gpt2,kgw,kgw,clean,40,8.844368668415918,4.602361991062089e-19,1
gpt2,kgw,kgw,clean,41,10.356414396350514,1.9567942240190282e-25,1
gpt2,kgw,kgw,clean,42,6.477702518737631,4.656486568207924e-11,1
gpt2,kgw,kgw,clean,43,8.538149682454623,6.819408684638459e-18,1
gpt2,kgw,kgw,clean,44,6.469966392206305,4.901235848234834e-11,1
gpt2,kgw,kgw,clean,45,7.53778361444409,2.3901309250038853e-14,1
gpt2,kgw,kgw,clean,46,9.79139971505036,6.129347624326873e-23,1
gpt2,kgw,kgw,clean,47,8.799551054765924,6.8682284307690775e-19,1
gpt2,kgw,kgw,clean,48,9.14991421995628,2.848938701756498e-20,1
gpt2,kgw,kgw,clean,49,5.737948294722722,4.791518027757227e-09,1
gpt2,kgw,kgw,clean,50,6.9853547313569955,1.4206856526121913e-12,1
gpt2,kgw,kgw,clean,51,8.846153846153847,4.529367562411034e-19,1
gpt2,kgw,kgw,clean,52,8.694567592351993,1.7407654852152717e-18,1
gpt2,kgw,kgw,clean,53,6.2162295190864905,2.5462150455210815e-10,1
gpt2,kgw,kgw,clean,54,9.337225700591357,4.944565066394135e-21,1
gpt2,kgw,kgw,clean,55,8.541997090008536,6.596087652049368e-18,1
gpt2,kgw,kgw,clean,56,10.402141387932845,1.2121152872500695e-25,1
gpt2,kgw,kgw,clean,57,10.74970463466882,2.9725843262238142e-27,1
gpt2,kgw,kgw,clean,58,9.051957304057657,7.021410670880877e-20,1
gpt2,kgw,kgw,clean,59,6.674894521074462,1.2370502272499847e-11,1
