model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,kgw,kgw,copypaste_50,0,2.67722603958196,0.0037117267088734923,0
gpt2,kgw,kgw,copypaste_50,1,3.601470287992685,0.0001582112952231452,0
gpt2,kgw,kgw,copypaste_50,2,1.0,0.15865525393145707,0
gpt2,kgw,kgw,copypaste_50,3,2.1105794120443453,0.017404239405933563,0
gpt2,kgw,kgw,copypaste_50,4,2.6726124191242437,0.0037631575832289435,0
gpt2,kgw,kgw,copypaste_50,5,-0.3110855084191276,0.6221321912131365,0
gpt2,kgw,kgw,copypaste_50,6,1.7191007133294525,0.04279801747320808,0
gpt2,kgw,kgw,copypaste_50,7,4.085505846855608,2.1990446476567863e-05,1
gpt2,kgw,kgw,copypaste_50,8,4.000661320993194,3.158285405866755e-05,1
gpt2,kgw,kgw,copypaste_50,9,3.909090909090909,4.632204910861281e-05,0
gpt2,kgw,kgw,copypaste_50,10,3.2387737142958586,0.0006002238688882775,0
gpt2,kgw,kgw,copypaste_50,11,2.5298221281347035,0.005706018193000826,0
gpt2,kgw,kgw,copypaste_50,12,1.697336849583011,0.0448164971339445,0
gpt2,kgw,kgw,copypaste_50,13,0.0873704056661038,0.46518854612899935,0
gpt2,kgw,kgw,copypaste_50,14,2.744974265986884,0.003025782144193531,0
gpt2,kgw,kgw,copypaste_50,15,-1.1441551070947107,0.873720341407416,0
gpt2,kgw,kgw,copypaste_50,16,1.9917864129354077,0.02319724882453354,0
gpt2,kgw,kgw,copypaste_50,17,3.709704134011871,0.00010375079703091655,0
gpt2,kgw,kgw,copypaste_50,18,1.829982843991256,0.03362625213041529,0
gpt2,kgw,kgw,copypaste_50,19,2.0754980866510833,0.018970198004169422,0
gpt2,kgw,kgw,copypaste_50,20,2.7595986330233995,0.0028936207181830967,0
gpt2,kgw,kgw,copypaste_50,21,0.0,0.5,0
gpt2,kgw,kgw,copypaste_50,22,1.7457431218879391,0.04042779918502612,0
gpt2,kgw,kgw,copypaste_50,23,2.9475317237328165,0.001601609418486267,0
gpt2,kgw,kgw,copypaste_50,24,2.014035259912054,0.022002915839989815,0
gpt2,kgw,kgw,copypaste_50,25,1.6867605906952476,0.04582469805448305,0
gpt2,kgw,kgw,copypaste_50,26,4.045099734049468,2.615042687831611e-05,1
