model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,kgw,kgw,swap_20,0,7.560743029943232,2.0038665728252034e-14,1
gpt2,kgw,kgw,swap_20,1,7.495152097492019,3.3110763663855834e-14,1
gpt2,kgw,kgw,swap_20,2,4.242640687119285,1.1045248499292722e-05,1
gpt2,kgw,kgw,swap_20,3,4.341215710622296,7.084826403431624e-06,1
gpt2,kgw,kgw,swap_20,4,4.866237983169703,5.687127248259713e-07,1
gpt2,kgw,kgw,swap_20,5,1.7320508075688774,0.0416322583317752,0
gpt2,kgw,kgw,swap_20,6,4.54858826147342,2.700349595343693e-06,1
gpt2,kgw,kgw,swap_20,7,5.728715546977509,5.0596957075444555e-09,1
gpt2,kgw,kgw,swap_20,8,7.970869422985724,7.878096104414685e-16,1
gpt2,kgw,kgw,swap_20,9,6.111919138499425,4.922003154976113e-10,1
gpt2,kgw,kgw,swap_20,10,6.285393610547089,1.63512027857735e-10,1
gpt2,kgw,kgw,swap_20,11,6.770618128448084,6.411666609761258e-12,1
gpt2,kgw,kgw,swap_20,12,5.506799502826593,1.827080153108038e-08,1
gpt2,kgw,kgw,swap_20,13,4.024922359499621,2.8497058116659185e-05,1
gpt2,kgw,kgw,swap_20,14,4.841386618546788,6.446811807420848e-07,1
gpt2,kgw,kgw,swap_20,15,1.1338934190276817,0.12841962897892828,0
gpt2,kgw,kgw,swap_20,16,5.572590370811425,1.2548961177492392e-08,1
gpt2,kgw,kgw,swap_20,17,6.745785200962753,7.610082385164867e-12,1
gpt2,kgw,kgw,swap_20,18,5.412874707438294,3.101044443336874e-08,1
gpt2,kgw,kgw,swap_20,19,3.6813241149433997,0.00011601291253318522,0
gpt2,kgw,kgw,swap_20,20,6.4312250573047836,6.328978864185276e-11,1
gpt2,kgw,kgw,swap_20,21,2.82842712474619,0.002338867490523633,0
gpt2,kgw,kgw,swap_20,22,2.840187787218772,0.0022543491824521178,0
gpt2,kgw,kgw,swap_20,23,7.100633381143391,6.209320714497013e-13,1
gpt2,kgw,kgw,swap_20,24,4.3915503282684,5.627263826921036e-06,1
gpt2,kgw,kgw,swap_20,25,7.0855165975774455,6.926328263185529e-13,1
gpt2,kgw,kgw,swap_20,26,7.170446328259357,3.7376824561734446e-13,1
gpt2,kgw,kgw,swap_20,27,4.833468331062339,6.708731596093885e-07,1
gpt2,kgw,kgw,swap_20,28,5.9711239300197345,1.178123332992955e-09,1
gpt2,kgw,kgw,swap_20,29,6.230769230769231,2.3207520288758604e-10,1
gpt2,kgw,kgw,swap_20,30,3.148033093782618,0.0008218654148058067,0
gpt2,kgw,kgw,swap_20,31,6.857275130999355,3.5093189568396237e-12,1
gpt2,kgw,kgw,swap_20,32,5.723364926103181,5.221730232957428e-09,1
gpt2,kgw,kgw,swap_20,33,6.260990336999411,1.9127011629693128e-10,1
gpt2,kgw,kgw,swap_20,34,5.064723938323645,2.0449630077741794e-07,1
