model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,kgw,kgw,synonym_30,0,8.277881133609988,6.269314670691989e-17,1
gpt2,kgw,kgw,synonym_30,1,7.069156454130364,7.793916315210075e-13,1
gpt2,kgw,kgw,synonym_30,2,3.8103173776627215,6.939425173941475e-05,0
gpt2,kgw,kgw,synonym_30,3,4.431293675255978,4.683470682851064e-06,1
gpt2,kgw,kgw,synonym_30,4,5.091192924921723,1.779088786808184e-07,1
gpt2,kgw,kgw,synonym_30,5,0.0,0.5,0
gpt2,kgw,kgw,synonym_30,6,5.7817446699565895,3.6964929013510825e-09,1
gpt2,kgw,kgw,synonym_30,7,5.714285714285714,5.5082885485197005e-09,1
gpt2,kgw,kgw,synonym_30,8,7.9084225486579705,1.3033536914830253e-15,1
gpt2,kgw,kgw,synonym_30,9,7.2701390825618155,1.7955877944647446e-13,1
gpt2,kgw,kgw,synonym_30,10,7.140584836498262,4.646732576502989e-13,1
gpt2,kgw,kgw,synonym_30,11,7.661308776828737,9.202388031406293e-15,1
gpt2,kgw,kgw,synonym_30,12,5.461538461538462,2.3601297637812642e-08,1
gpt2,kgw,kgw,synonym_30,13,4.230084753438942,1.1680164145643817e-05,1
gpt2,kgw,kgw,synonym_30,14,5.0,2.866515718791933e-07,1
gpt2,kgw,kgw,synonym_30,15,-0.3779644730092272,0.6472715069443633,0
gpt2,kgw,kgw,synonym_30,16,6.161232369723243,3.6090490255398794e-10,1
gpt2,kgw,kgw,synonym_30,17,6.764754597315764,6.6767672194559694e-12,1
gpt2,kgw,kgw,synonym_30,18,6.825001477017446,4.396220540426048e-12,1
gpt2,kgw,kgw,synonym_30,19,4.460761787175497,4.083441452969104e-06,1
gpt2,kgw,kgw,synonym_30,20,6.161232369723243,3.6090490255398794e-10,1
gpt2,kgw,kgw,synonym_30,21,2.5955427380922007,0.004722082843916319,0
gpt2,kgw,kgw,synonym_30,22,2.840187787218772,0.0022543491824521178,0
gpt2,kgw,kgw,synonym_30,23,5.743665268941905,4.632442476812224e-09,1
gpt2,kgw,kgw,synonym_30,24,4.942275483673663,3.8608001457477355e-07,1
gpt2,kgw,kgw,synonym_30,25,7.597533355570427,1.5091421874995777e-14,1
