model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,kgw,kgw,typo_10,0,8.03167811874588,4.807417718446752e-16,1
gpt2,kgw,kgw,typo_10,1,6.940808683058854,1.949308491560683e-12,1
gpt2,kgw,kgw,typo_10,2,4.242640687119285,1.1045248499292722e-05,1
gpt2,kgw,kgw,typo_10,3,4.677476657214644,1.45213311360397e-06,1
gpt2,kgw,kgw,typo_10,4,6.063390625908324,6.66407147027036e-10,1
gpt2,kgw,kgw,typo_10,5,0.0,0.5,0
gpt2,kgw,kgw,typo_10,6,6.012531715875485,9.132404158395027e-10,1
gpt2,kgw,kgw,typo_10,7,5.872023755352614,2.152535176948561e-09,1
gpt2,kgw,kgw,typo_10,8,9.04468256615527,7.505032187397941e-20,1
gpt2,kgw,kgw,typo_10,9,7.625649981110372,1.2140391331652876e-14,1
gpt2,kgw,kgw,typo_10,10,7.084340391869858,6.985406249882778e-13,1
gpt2,kgw,kgw,typo_10,11,6.592203186882429,2.166734745401136e-11,1
gpt2,kgw,kgw,typo_10,12,6.943355894868313,1.914465868410108e-12,1
gpt2,kgw,kgw,typo_10,13,4.12837477233712,1.826681582517021e-05,1
gpt2,kgw,kgw,typo_10,14,5.55008722526885,1.4276355148093259e-08,1
gpt2,kgw,kgw,typo_10,15,-0.3779644730092272,0.6472715069443633,0
gpt2,kgw,kgw,typo_10,16,7.0,1.279812543885835e-12,1
gpt2,kgw,kgw,typo_10,17,7.7308445493884115,5.341770897052042e-15,1
gpt2,kgw,kgw,typo_10,18,6.6551738206208535,1.4148271702713608e-11,1
gpt2,kgw,kgw,typo_10,19,4.885699182018388,5.153122695695817e-07,1
gpt2,kgw,kgw,typo_10,20,6.788225099390856,5.676071792460946e-12,1
gpt2,kgw,kgw,typo_10,21,3.4299717028501764,0.00030182209906671646,0
gpt2,kgw,kgw,typo_10,22,2.840187787218772,0.0022543491824521178,0
gpt2,kgw,kgw,typo_10,23,6.674381501012108,1.2413849660358823e-11,1
gpt2,kgw,kgw,typo_10,24,4.650874179187245,1.6526547442428475e-06,1
gpt2,kgw,kgw,typo_10,25,7.53778361444409,2.3901309250038853e-14,1
gpt2,kgw,kgw,typo_10,26,7.519206177414046,2.7554909965812513e-14,1
gpt2,kgw,kgw,typo_10,27,4.743416490252569,1.0507179780062186e-06,1
gpt2,kgw,kgw,typo_10,28,6.934760925288564,2.034543564484149e-12,1
gpt2,kgw,kgw,typo_10,29,7.990050631310736,6.744167303735769e-16,1
gpt2,kgw,kgw,typo_10,30,3.854496446637726,5.798403388187191e-05,0
gpt2,kgw,kgw,typo_10,31,8.176393039804365,1.462334535512959e-16,1
gpt2,kgw,kgw,typo_10,32,6.822422923379534,4.475883103001025e-12,1
gpt2,kgw,kgw,typo_10,33,6.49519052838329,4.1464195825215816e-11,1
gpt2,kgw,kgw,typo_10,34,7.38585148368402,7.574040298662705e-14,1
gpt2,kgw,kgw,typo_10,35,3.922322702763681,4.384971187795107e-05,0
gpt2,kgw,kgw,typo_10,36,8.227241335952167,9.57871174949318e-17,1
gpt2,kgw,kgw,typo_10,37,7.84599168316077,2.147727058354354e-15,1
gpt2,kgw,kgw,typo_10,38,4.008918628686366,3.0498714448247665e-05,1
gpt2,kgw,kgw,typo_10,39,10.05768701356466,4.2485595811621915e-24,1
gpt2,kgw,kgw,typo_10,40,6.584528908161037,2.2816496935856954e-11,1
gpt2,kgw,kgw,typo_10,41,8.142857142857142,1.9302883452205942e-16,1
gpt2,kgw,kgw,typo_10,42,5.8525036147918,2.4211385924221808e-09,1
gpt2,kgw,kgw,typo_10,43,7.0149342352998145,1.1502857038672575e-12,1
gpt2,kgw,kgw,typo_10,44,5.5300830176244355,1.600396369066555e-08,1
gpt2,kgw,kgw,typo_10,45,5.432144762551111,2.7840361098227955e-08,1
gpt2,kgw,kgw,typo_10,46,8.804591605141793,6.566494796780858e-19,1
gpt2,kgw,kgw,typo_10,47,8.129828881782126,2.1494843094368953e-16,1
gpt2,kgw,kgw,typo_10,48,7.719753531984981,5.827743139440342e-15,1
gpt2,kgw,kgw,typo_10,49,4.0976453817306595,2.086870163641607e-05,1
gpt2,kgw,kgw,typo_10,50,5.971838673545791,1.1729722753185955e-09,1
gpt2,kgw,kgw,typo_10,51,7.848068473895326,2.112467663752667e-15,1
gpt2,kgw,kgw,typo_10,52,7.375983202606159,8.156829194177346e-14,1
gpt2,kgw,kgw,typo_10,53,4.421388081402907,4.903442818852179e-06,1
gpt2,kgw,kgw,typo_10,54,7.159700170584192,4.0426852094485757e-13,1
gpt2,kgw,kgw,typo_10,55,7.708992893275452,6.340723736515667e-15,1
gpt2,kgw,kgw,typo_10,56,9.141401281603622,3.082413042060703e-20,1
gpt2,kgw,kgw,typo_10,57,9.477047693754143,1.3078952178238249e-21,1
gpt2,kgw,kgw,typo_10,58,8.112515221915238,2.479127924539842e-16,1
gpt2,kgw,kgw,typo_10,59,5.155066696336543,1.267703350352871e-07,1
gpt2,kgw,kgw,typo_10,60,2.197401062294143,0.013995907742832873,0
gpt2,kgw,kgw,typo_10,61,7.153846153846154,4.2189815588552334e-13,1
gpt2,kgw,kgw,typo_10,62,7.361215932167729,9.112124456077388e-14,1
gpt2,kgw,kgw,typo_10,63,6.063390625908324,6.66407147027036e-10,1
gpt2,kgw,kgw,typo_10,64,4.7203217184582345,1.1773595712716356e-06,1
gpt2,kgw,kgw,typo_10,65,2.390457218668787,0.008413704741378425,0
gpt2,kgw,kgw,typo_10,66,8.176393039804365,1.462334535512959e-16,1
gpt2,kgw,kgw,typo_10,67,7.406128966515282,6.501968898235672e-14,1
gpt2,kgw,kgw,typo_10,68,6.910233190806426,2.4192883344754825e-12,1
gpt2,kgw,kgw,typo_10,69,5.89874399536813,1.831395101224795e-09,1
gpt2,kgw,kgw,typo_10,70,8.577462580600864,4.8494458779511174e-18,1
gpt2,kgw,kgw,typo_10,71,1.12089707663561,0.1311658377041786,0
gpt2,kgw,kgw,typo_10,72,6.740938478604225,7.8683417408293e-12,1
gpt2,kgw,kgw,typo_10,73,7.131581834309935,4.961096619666526e-13,1
gpt2,kgw,kgw,typo_10,74,7.22465585158996,2.51186212192131e-13,1
gpt2,kgw,kgw,typo_10,75,7.509927747876482,2.9580002765875926e-14,1
gpt2,kgw,kgw,typo_10,76,3.893314107138301,4.944199087306962e-05,0
gpt2,kgw,kgw,typo_10,77,6.779471978707304,6.0307943964673585e-12,1
gpt2,kgw,kgw,typo_10,78,8.114684298592445,2.4352466925352327e-16,1
gpt2,kgw,kgw,typo_10,79,8.808212950685025,6.357834996262483e-19,1
gpt2,kgw,kgw,typo_10,80,9.778354473847642,6.972969051023199e-23,1
gpt2,kgw,kgw,typo_10,81,6.487446070815474,4.3651786754164045e-11,1
gpt2,kgw,kgw,typo_10,82,7.723663040308913,5.651670367626515e-15,1
gpt2,kgw,kgw,typo_10,83,7.492147564769072,3.387784034167139e-14,1
gpt2,kgw,kgw,typo_10,84,7.666981720054651,8.80454315945595e-15,1
gpt2,kgw,kgw,typo_10,85,8.092098076645591,2.932282834835636e-16,1
gpt2,kgw,kgw,typo_10,86,6.502685306941842,3.944936875297133e-11,1
gpt2,kgw,kgw,typo_10,87,7.570719217728538,1.8558175744112075e-14,1
gpt2,kgw,kgw,typo_10,88,6.159178830896838,3.656155805151996e-10,1
gpt2,kgw,kgw,typo_10,89,8.894991799933214,2.921180628324165e-19,1
gpt2,kgw,kgw,typo_10,90,5.388602512436507,3.550382824765945e-08,1
gpt2,kgw,kgw,typo_10,91,8.812296276031898,6.130403294764069e-19,1
gpt2,kgw,kgw,typo_10,92,5.955238438959842,1.2984646376554559e-09,1
gpt2,kgw,kgw,typo_10,93,8.0,6.22096057427174e-16,1
gpt2,kgw,kgw,typo_10,94,7.375983202606159,8.156829194177346e-14,1
gpt2,kgw,kgw,typo_10,95,7.623434348706332,1.2350697793320768e-14,1
gpt2,kgw,kgw,typo_10,96,7.7781745930520225,3.678923958987199e-15,1
gpt2,kgw,kgw,typo_10,97,2.9541957835039856,0.0015674252907265313,0
gpt2,kgw,kgw,typo_10,98,6.627104836843802,1.7116725696750025e-11,1
gpt2,kgw,kgw,typo_10,99,7.4256676831474575,5.610620401892115e-14,1
gpt2,kgw,kgw,typo_10,100,6.135536548922954,4.243612478224187e-10,1
gpt2,kgw,kgw,typo_10,101,7.2327602277982725,2.366372876997456e-13,1
gpt2,kgw,kgw,typo_10,102,4.13802944301184,1.7515071356599595e-05,1
gpt2,kgw,kgw,typo_10,103,8.227241335952167,9.57871174949318e-17,1
gpt2,kgw,kgw,typo_10,104,7.547198089687002,2.223609587181686e-14,1
gpt2,kgw,kgw,typo_10,105,1.3416407864998738,0.08985624743949988,0
gpt2,kgw,kgw,typo_10,106,7.452818434511943,4.568349304631309e-14,1
gpt2,kgw,kgw,typo_10,107,5.595583884297614,1.0994025102744554e-08,1
gpt2,kgw,kgw,typo_10,108,7.201190377787748,2.984456878038297e-13,1
gpt2,kgw,kgw,typo_10,109,7.900773520499256,1.3858894220935708e-15,1
gpt2,kgw,kgw,typo_10,110,7.222716252062202,2.5479637200418216e-13,1
gpt2,kgw,kgw,typo_10,111,4.965635331614208,3.4238260721064207e-07,1
gpt2,kgw,kgw,typo_10,112,7.742248276628912,4.883700995704627e-15,1
gpt2,kgw,kgw,typo_10,113,7.597533355570427,1.5091421874995777e-14,1
gpt2,kgw,kgw,typo_10,114,7.4256676831474575,5.610620401892115e-14,1
gpt2,kgw,kgw,typo_10,115,7.805652127029819,2.959732619261511e-15,1
gpt2,kgw,kgw,typo_10,116,6.947088029207741,1.8645151831036072e-12,1
gpt2,kgw,kgw,typo_10,117,7.794228634059948,3.2401559215757805e-15,1
gpt2,kgw,kgw,typo_10,118,5.336686798820085,4.733017222410937e-08,1
gpt2,kgw,kgw,typo_10,119,8.2832218795516,5.994337781406746e-17,1
gpt2,kgw,kgw,typo_10,120,4.005551702879947,3.093644887930578e-05,1
gpt2,kgw,kgw,typo_10,121,6.654579059556888,1.4205600179483932e-11,1
gpt2,kgw,kgw,typo_10,122,8.460169506877884,1.3349457939724929e-17,1
gpt2,kgw,kgw,typo_10,123,7.702028533011032,6.6961486126352396e-15,1
gpt2,kgw,kgw,typo_10,124,7.483696565582699,3.6130344835787054e-14,1
gpt2,kgw,kgw,typo_10,125,6.599120175960898,2.0680247431313963e-11,1
gpt2,kgw,kgw,typo_10,126,7.0,1.279812543885835e-12,1
gpt2,kgw,kgw,typo_10,127,7.95324736484468,9.084253189419623e-16,1
gpt2,kgw,kgw,typo_10,128,8.43467323462209,1.660647300367722e-17,1
gpt2,kgw,kgw,typo_10,129,5.962847939999439,1.2393953985083533e-09,1
gpt2,kgw,kgw,typo_10,130,3.474396144861517,0.0002560022610949515,0
gpt2,kgw,kgw,typo_10,131,4.3852900965351465,5.7915653115822265e-06,1
gpt2,kgw,kgw,typo_10,132,2.1908902300206643,0.014229868458155282,0
gpt2,kgw,kgw,typo_10,133,4.060812243681228,2.445114372014521e-05,1
gpt2,kgw,kgw,typo_10,134,3.0869745325651587,0.0010110245984517909,0
gpt2,kgw,kgw,typo_10,135,2.0175288189295504,0.0218201783429237,0
gpt2,kgw,kgw,typo_10,136,6.726913565686613,8.66498056446422e-12,1
gpt2,kgw,kgw,typo_10,137,5.943753454527293,1.392842431451692e-09,1
gpt2,kgw,kgw,typo_10,138,7.147384583396834,4.4223414358176275e-13,1
gpt2,kgw,kgw,typo_10,139,6.575959492214292,2.4170207570353445e-11,1
gpt2,kgw,kgw,typo_10,140,6.734371447579191,8.232004512853423e-12,1
gpt2,kgw,kgw,typo_10,141,6.005669223927099,9.527215365283319e-10,1
gpt2,kgw,kgw,typo_10,142,6.837495985472412,4.029467313351903e-12,1
gpt2,kgw,kgw,typo_10,143,6.902684899626333,2.5514368459936223e-12,1
gpt2,kgw,kgw,typo_10,144,6.69428648196286,1.0836323601728226e-11,1
gpt2,kgw,kgw,typo_10,145,7.50727087709638,3.018636124690714e-14,1
gpt2,kgw,kgw,typo_10,146,3.6663142889169062,0.00012303573603152448,0
gpt2,kgw,kgw,typo_10,147,6.161232369723243,3.6090490255398794e-10,1
