model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,unigram,unigram,clean,0,9.758073580374356,8.518020964828397e-23,1
gpt2,unigram,unigram,clean,1,11.455129855222069,1.1081542860328712e-30,1
gpt2,unigram,unigram,clean,2,10.889444430272832,6.47137003385855e-28,1
gpt2,unigram,unigram,clean,3,8.333333333333334,3.929873434851008e-17,1
gpt2,unigram,unigram,clean,4,8.626702730475879,3.157301075096865e-18,1
gpt2,unigram,unigram,clean,5,10.606601717798213,1.3883246930152643e-26,1
gpt2,unigram,unigram,clean,6,11.737972567696689,4.0707391765124334e-32,1
gpt2,unigram,unigram,clean,7,12.020815280171307,1.3811620356668856e-33,1
gpt2,unigram,unigram,clean,8,9.616652224137045,3.4004302826656326e-22,1
gpt2,unigram,unigram,clean,9,11.455129855222069,1.1081542860328712e-30,1
gpt2,unigram,unigram,clean,10,12.162236636408617,2.469384785387105e-34,1
gpt2,unigram,unigram,clean,11,12.020815280171307,1.3811620356668856e-33,1
gpt2,unigram,unigram,clean,12,10.748023074035522,3.0272675902446236e-27,1
gpt2,unigram,unigram,clean,13,11.879393923933998,7.573076763986536e-33,1
gpt2,unigram,unigram,clean,14,12.445079348883237,7.43682444622122e-36,1
gpt2,unigram,unigram,clean,15,11.455129855222069,1.1081542860328712e-30,1
gpt2,unigram,unigram,clean,16,11.455129855222069,1.1081542860328712e-30,1
gpt2,unigram,unigram,clean,17,10.182337649086284,1.1888972831631503e-24,1
gpt2,unigram,unigram,clean,18,10.182337649086284,1.1888972831631503e-24,1
gpt2,unigram,unigram,clean,19,6.363961030678928,9.830802207714439e-11,1
gpt2,unigram,unigram,clean,20,11.030865786510141,1.3562056647183062e-28,1
gpt2,unigram,unigram,clean,21,8.34386001800126,3.5952048917752465e-17,1
gpt2,unigram,unigram,clean,22,12.727922061357855,2.0685158732569055e-37,1
gpt2,unigram,unigram,clean,23,10.889444430272832,6.47137003385855e-28,1
gpt2,unigram,unigram,clean,24,11.17228714274745,2.786359028476278e-29,1
gpt2,unigram,unigram,clean,25,10.606601717798213,1.3883246930152643e-26,1
gpt2,unigram,unigram,clean,26,12.303657992645926,4.328161737706463e-35,1
gpt2,unigram,unigram,clean,27,10.465180361560902,6.241928231766698e-26,1
gpt2,unigram,unigram,clean,28,13.152186130069783,8.266220920150707e-40,1
gpt2,unigram,unigram,clean,29,9.192388155425117,1.9210741635603234e-20,1
gpt2,unigram,unigram,clean,30,10.606601717798213,1.3883246930152643e-26,1
gpt2,unigram,unigram,clean,31,11.879393923933998,7.573076763986536e-33,1
gpt2,unigram,unigram,clean,32,11.455129855222069,1.1081542860328712e-30,1
