model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,unigram,unigram,copypaste_50,0,4.432963206558078,4.647336624641424e-06,1
gpt2,unigram,unigram,copypaste_50,1,4.8053723116357085,7.723189676124184e-07,1
gpt2,unigram,unigram,copypaste_50,2,4.287464628562721,9.036201187114988e-06,1
gpt2,unigram,unigram,copypaste_50,3,3.4206512100555795,0.0003123569806778846,0
gpt2,unigram,unigram,copypaste_50,4,2.6483388435275774,0.004044420252426335,0
gpt2,unigram,unigram,copypaste_50,5,4.389477864571922,5.681157137987086e-06,1
gpt2,unigram,unigram,copypaste_50,6,4.448396935314748,4.325677181692171e-06,1
gpt2,unigram,unigram,copypaste_50,7,5.3374499616411635,4.713145265139953e-08,1
gpt2,unigram,unigram,copypaste_50,8,4.6077278325541835,2.035465188843132e-06,1
gpt2,unigram,unigram,copypaste_50,9,5.183210553488161,1.0904929317773489e-07,1
gpt2,unigram,unigram,copypaste_50,10,3.5709556337108186,0.00017784057256252345,0
gpt2,unigram,unigram,copypaste_50,11,5.8423739467217715,2.573106234103266e-09,1
gpt2,unigram,unigram,copypaste_50,12,5.456482005494809,2.4283023402299553e-08,1
gpt2,unigram,unigram,copypaste_50,13,4.2527663356192456,1.0557293136707798e-05,1
gpt2,unigram,unigram,copypaste_50,14,4.595745763298828,2.1560210520096705e-06,1
gpt2,unigram,unigram,copypaste_50,15,4.047471120577652,2.5886983736499184e-05,1
gpt2,unigram,unigram,copypaste_50,16,5.167050676973538,1.1890839928194361e-07,1
gpt2,unigram,unigram,copypaste_50,17,4.880935300919764,5.279194015142408e-07,1
gpt2,unigram,unigram,copypaste_50,18,3.9617738670844203,3.719749202420237e-05,0
gpt2,unigram,unigram,copypaste_50,19,1.90805991538333,0.028191736392357968,0
gpt2,unigram,unigram,copypaste_50,20,6.484569792212196,4.449266308780168e-11,1
gpt2,unigram,unigram,copypaste_50,21,2.6496250339459015,0.004029057449553973,0
gpt2,unigram,unigram,copypaste_50,22,7.780689586070286,3.606514151158016e-15,1
gpt2,unigram,unigram,copypaste_50,23,4.800114153893734,7.928760781267744e-07,1
gpt2,unigram,unigram,copypaste_50,24,4.308794992305191,8.207321585032181e-06,1
gpt2,unigram,unigram,copypaste_50,25,3.972508265291366,3.5559883835480995e-05,0
gpt2,unigram,unigram,copypaste_50,26,6.529318494299385,3.303481155682834e-11,1
gpt2,unigram,unigram,copypaste_50,27,4.834676899175834,6.668103260811109e-07,1
gpt2,unigram,unigram,copypaste_50,28,6.609001368025944,1.934605728153458e-11,1
gpt2,unigram,unigram,copypaste_50,29,1.5696136947790653,0.058252505266851384,0
gpt2,unigram,unigram,copypaste_50,30,4.846153846153846,6.293895879846254e-07,1
gpt2,unigram,unigram,copypaste_50,31,4.385435462858282,5.7876987318350045e-06,1
gpt2,unigram,unigram,copypaste_50,32,3.2312526655803127,0.0006162446943968191,0
gpt2,unigram,unigram,copypaste_50,33,4.578350174744243,2.343288313979247e-06,1
gpt2,unigram,unigram,copypaste_50,34,5.0,2.866515718791933e-07,1
gpt2,unigram,unigram,copypaste_50,35,6.694386813952031,1.0828892008087419e-11,1
gpt2,unigram,unigram,copypaste_50,36,4.959182990670877,3.539513129103026e-07,1
gpt2,unigram,unigram,copypaste_50,37,5.268044568716332,6.894231746402076e-08,1
gpt2,unigram,unigram,copypaste_50,38,3.522697258231874,0.00021358950882593143,0
gpt2,unigram,unigram,copypaste_50,39,5.8794712192663905,2.0578957588471925e-09,1
gpt2,unigram,unigram,copypaste_50,40,6.022141400727794,8.606220839955275e-10,1
gpt2,unigram,unigram,copypaste_50,41,4.13802944301184,1.7515071356599595e-05,1
gpt2,unigram,unigram,copypaste_50,42,8.432781346758377,1.6877251408640358e-17,1
gpt2,unigram,unigram,copypaste_50,43,3.7904513408723988,7.518689511773688e-05,0
gpt2,unigram,unigram,copypaste_50,44,5.153734142324001,1.2767494580730906e-07,1
gpt2,unigram,unigram,copypaste_50,45,4.636363636363637,1.7729596758898932e-06,1
gpt2,unigram,unigram,copypaste_50,46,4.511523706448427,3.2181794036928927e-06,1
gpt2,unigram,unigram,copypaste_50,47,5.639451994956496,8.52961007214379e-09,1
gpt2,unigram,unigram,copypaste_50,48,7.185169912163989,3.3561828502357766e-13,1
gpt2,unigram,unigram,copypaste_50,49,7.906127327273985,1.3275980074473702e-15,1
gpt2,unigram,unigram,copypaste_50,50,4.354648431614539,6.66403232948364e-06,1
gpt2,unigram,unigram,copypaste_50,51,5.602821467047508,1.054452075696807e-08,1
gpt2,unigram,unigram,copypaste_50,52,4.666666666666667,1.530626736531063e-06,1
gpt2,unigram,unigram,copypaste_50,53,3.04255531702266,0.001172893489783395,0
gpt2,unigram,unigram,copypaste_50,54,4.333333333333333,7.343423836894689e-06,1
gpt2,unigram,unigram,copypaste_50,55,5.225578117937447,8.680590128296627e-08,1
gpt2,unigram,unigram,copypaste_50,56,1.758853959674307,0.03930115844528857,0
gpt2,unigram,unigram,copypaste_50,57,5.669467095138408,7.1621178382456975e-09,1
gpt2,unigram,unigram,copypaste_50,58,3.683643681089523,0.00011496179292005255,0
gpt2,unigram,unigram,copypaste_50,59,3.1818181818181817,0.0007317683223925913,0
gpt2,unigram,unigram,copypaste_50,60,3.9797467053047284,3.4494367075182545e-05,0
gpt2,unigram,unigram,copypaste_50,61,5.336995079959928,4.724980160417156e-08,1
gpt2,unigram,unigram,copypaste_50,62,5.125692857821981,1.4822276924058496e-07,1
gpt2,unigram,unigram,copypaste_50,63,5.029851011471889,2.4543055410548545e-07,1
gpt2,unigram,unigram,copypaste_50,64,3.464101615137755,0.0002660027525696246,0
gpt2,unigram,unigram,copypaste_50,65,4.151280384936174,1.6531021224273022e-05,1
gpt2,unigram,unigram,copypaste_50,66,2.667891875399663,0.003816440893896146,0
gpt2,unigram,unigram,copypaste_50,67,6.419505094795117,6.835904057335635e-11,1
gpt2,unigram,unigram,copypaste_50,68,2.9371526469766245,0.0016562050722021724,0
gpt2,unigram,unigram,copypaste_50,69,7.244860247099318,2.1644266539809206e-13,1
gpt2,unigram,unigram,copypaste_50,70,3.8771794290699586,5.283721330832465e-05,0
gpt2,unigram,unigram,copypaste_50,71,-1.148733053788381,0.8746669640933761,0
gpt2,unigram,unigram,copypaste_50,72,5.268324663044671,6.883722779545346e-08,1
gpt2,unigram,unigram,copypaste_50,73,4.631852119190989,1.8120449187929322e-06,1
