model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,unigram,unigram,swap_20,0,9.093266739736606,4.805354952291848e-20,1
gpt2,unigram,unigram,swap_20,1,11.142857142857142,3.879475590856795e-29,1
gpt2,unigram,unigram,swap_20,2,9.959292143521045,1.1484612465225235e-23,1
gpt2,unigram,unigram,swap_20,3,7.7748158302322405,3.777862575921788e-15,1
gpt2,unigram,unigram,swap_20,4,8.48528137423857,1.0759868356249456e-17,1
gpt2,unigram,unigram,swap_20,5,10.428571428571429,9.181411619753772e-26,1
gpt2,unigram,unigram,swap_20,6,11.737972567696689,4.0707391765124334e-32,1
gpt2,unigram,unigram,swap_20,7,9.346851681910673,4.514771997238868e-21,1
gpt2,unigram,unigram,swap_20,8,9.189864430307049,1.9666838559190633e-20,1
gpt2,unigram,unigram,swap_20,9,10.912964010989619,4.9971784062766565e-28,1
gpt2,unigram,unigram,swap_20,10,11.113992681900296,5.362709998339963e-29,1
gpt2,unigram,unigram,swap_20,11,11.402667816495109,2.027496390872757e-30,1
gpt2,unigram,unigram,swap_20,12,10.748023074035522,3.0272675902446236e-27,1
gpt2,unigram,unigram,swap_20,13,11.48733053788381,7.637982673697363e-31,1
gpt2,unigram,unigram,swap_20,14,11.918105433054453,4.7624958661776225e-33,1
gpt2,unigram,unigram,swap_20,15,11.343738906160262,3.983323089032635e-30,1
gpt2,unigram,unigram,swap_20,16,10.838155215054288,1.1350115426872844e-27,1
gpt2,unigram,unigram,swap_20,17,8.198915917499228,1.2128225394646818e-16,1
gpt2,unigram,unigram,swap_20,18,9.857142857142858,3.192007127756265e-23,1
gpt2,unigram,unigram,swap_20,19,5.714285714285714,5.5082885485197005e-09,1
gpt2,unigram,unigram,swap_20,20,10.603450149843393,1.4359294445525473e-26,1
gpt2,unigram,unigram,swap_20,21,6.099942813304187,5.305320982297436e-10,1
gpt2,unigram,unigram,swap_20,22,12.688973569649212,3.4036017202171386e-37,1
gpt2,unigram,unigram,swap_20,23,10.347116855681628,2.1563902117484045e-25,1
gpt2,unigram,unigram,swap_20,24,9.532062476387964,7.709447429899226e-22,1
gpt2,unigram,unigram,swap_20,25,9.878611062378107,2.5771168863132932e-23,1
gpt2,unigram,unigram,swap_20,26,12.081373926817925,6.624362100184479e-34,1
gpt2,unigram,unigram,swap_20,27,9.579668756065411,4.867833560913145e-22,1
gpt2,unigram,unigram,swap_20,28,12.532010295690077,2.4941015354951826e-36,1
gpt2,unigram,unigram,swap_20,29,5.522147919701067,1.6744018614908796e-08,1
gpt2,unigram,unigram,swap_20,30,9.678709591409318,1.8568680894788953e-22,1
gpt2,unigram,unigram,swap_20,31,11.428571428571429,1.5051015420620272e-30,1
gpt2,unigram,unigram,swap_20,32,10.737048501628173,3.4094799780358444e-27,1
gpt2,unigram,unigram,swap_20,33,11.918105433054453,4.7624958661776225e-33,1
gpt2,unigram,unigram,swap_20,34,9.784490979926536,6.562702362770619e-23,1
gpt2,unigram,unigram,swap_20,35,11.17228714274745,2.786359028476278e-29,1
gpt2,unigram,unigram,swap_20,36,10.525740296587637,3.287130288265791e-26,1
gpt2,unigram,unigram,swap_20,37,11.48733053788381,7.637982673697363e-31,1
gpt2,unigram,unigram,swap_20,38,9.334112408272238,5.0920469959058465e-21,1
gpt2,unigram,unigram,swap_20,39,10.67011162318755,7.02287751179825e-27,1
gpt2,unigram,unigram,swap_20,40,10.998533626601498,1.941981297487355e-28,1
gpt2,unigram,unigram,swap_20,41,9.743911956946198,9.793287388148072e-23,1
gpt2,unigram,unigram,swap_20,42,11.565548182507596,3.079832258544674e-31,1
gpt2,unigram,unigram,swap_20,43,10.297550583638756,3.6139122428027183e-25,1
gpt2,unigram,unigram,swap_20,44,10.536642412710671,2.927606857908891e-26,1
gpt2,unigram,unigram,swap_20,45,7.688539286732972,7.441216078329191e-15,1
gpt2,unigram,unigram,swap_20,46,10.925976539915567,4.330188302502066e-28,1
gpt2,unigram,unigram,swap_20,47,12.020815280171307,1.3811620356668856e-33,1
gpt2,unigram,unigram,swap_20,48,11.343738906160262,3.983323089032635e-30,1
gpt2,unigram,unigram,swap_20,49,12.142857142857142,3.130062698698693e-34,1
gpt2,unigram,unigram,swap_20,50,10.097219723956004,2.8415275374344993e-24,1
gpt2,unigram,unigram,swap_20,51,11.402667816495109,2.027496390872757e-30,1
gpt2,unigram,unigram,swap_20,52,4.824506406770077,7.017520310681261e-07,1
