model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,unigram,unigram,synonym_30,0,8.418799823976721,1.901803315177485e-17,1
gpt2,unigram,unigram,synonym_30,1,10.261953630166738,5.228471375368105e-25,1
gpt2,unigram,unigram,synonym_30,2,8.492535116757518,1.0108884480602595e-17,1
gpt2,unigram,unigram,synonym_30,3,6.666666666666667,1.3083924686052994e-11,1
gpt2,unigram,unigram,synonym_30,4,7.248824356090755,2.1020231862966244e-13,1
gpt2,unigram,unigram,synonym_30,5,9.527897035432751,8.025075180717909e-22,1
gpt2,unigram,unigram,synonym_30,6,10.955328875448275,3.1325191203773326e-28,1
gpt2,unigram,unigram,synonym_30,7,8.801454906185025,6.752685480809557e-19,1
gpt2,unigram,unigram,synonym_30,8,8.52492924338092,7.645162854914295e-18,1
gpt2,unigram,unigram,synonym_30,9,10.159281922178945,1.506436071280929e-24,1
gpt2,unigram,unigram,synonym_30,10,9.054025041832395,6.889660391577802e-20,1
gpt2,unigram,unigram,synonym_30,11,9.752910645291788,8.962683321205092e-23,1
gpt2,unigram,unigram,synonym_30,12,10.946011414062076,3.4719180125834766e-28,1
gpt2,unigram,unigram,synonym_30,13,10.583231297150942,1.7822445931394486e-26,1
gpt2,unigram,unigram,synonym_30,14,11.45508828508308,1.108686068472798e-30,1
gpt2,unigram,unigram,synonym_30,15,8.993491139867926,1.1974961291418887e-19,1
gpt2,unigram,unigram,synonym_30,16,9.333809511662427,5.106625839287897e-21,1
gpt2,unigram,unigram,synonym_30,17,7.571428571428571,1.8457101222875514e-14,1
gpt2,unigram,unigram,synonym_30,18,8.975972098740664,1.4043028771906145e-19,1
gpt2,unigram,unigram,synonym_30,19,3.549142509966853,0.00019324392643603057,0
gpt2,unigram,unigram,synonym_30,20,9.663234937262796,2.1600120305244787e-22,1
gpt2,unigram,unigram,synonym_30,21,5.577959874688627,1.2167788454856486e-08,1
gpt2,unigram,unigram,synonym_30,22,12.688973569649212,3.4036017202171386e-37,1
gpt2,unigram,unigram,synonym_30,23,10.029859726058081,5.633828252662284e-24,1
gpt2,unigram,unigram,synonym_30,24,8.556812935845192,5.801529120731322e-18,1
gpt2,unigram,unigram,synonym_30,25,8.121624487362457,2.2999233817844936e-16,1
gpt2,unigram,unigram,synonym_30,26,9.979010229541322,9.416801982069926e-24,1
gpt2,unigram,unigram,synonym_30,27,8.271071757597298,6.638005581333531e-17,1
gpt2,unigram,unigram,synonym_30,28,10.929392156164305,4.170261383229938e-28,1
gpt2,unigram,unigram,synonym_30,29,4.925937968028512,4.1978315725770076e-07,1
gpt2,unigram,unigram,synonym_30,30,8.870064756273644,3.655168982333814e-19,1
gpt2,unigram,unigram,synonym_30,31,8.066666666666666,3.6121719382339236e-16,1
gpt2,unigram,unigram,synonym_30,32,9.615514966907272,3.4382195832244514e-22,1
gpt2,unigram,unigram,synonym_30,33,10.765022725740726,2.517456553739812e-27,1
