model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
gpt2,unigram,unigram,typo_10,0,7.7658027471532085,4.056486467041781e-15,1
gpt2,unigram,unigram,typo_10,1,10.439402860100365,8.191901996173914e-26,1
gpt2,unigram,unigram,typo_10,2,8.816820198232477,5.887805589289946e-19,1
gpt2,unigram,unigram,typo_10,3,7.209605902279753,2.805702102332468e-13,1
gpt2,unigram,unigram,typo_10,4,7.942756362924442,9.886855358198313e-16,1
gpt2,unigram,unigram,typo_10,5,9.70684031058335,1.4097085880558673e-22,1
gpt2,unigram,unigram,typo_10,6,11.244727761890209,1.2292700170225566e-29,1
gpt2,unigram,unigram,typo_10,7,8.454968154078788,1.3958176562445795e-17,1
gpt2,unigram,unigram,typo_10,8,9.190869448440344,1.94839393417924e-20,1
gpt2,unigram,unigram,typo_10,9,10.553963170954377,2.4349311018982012e-26,1
gpt2,unigram,unigram,typo_10,10,10.131804644116203,1.996062786363008e-24,1
gpt2,unigram,unigram,typo_10,11,10.539303728279354,2.845936696089754e-26,1
gpt2,unigram,unigram,typo_10,12,9.66091783079296,2.2094349040489265e-22,1
gpt2,unigram,unigram,typo_10,13,10.261953630166738,5.228471375368105e-25,1
gpt2,unigram,unigram,typo_10,14,9.893608802940971,2.2186845825145968e-23,1
gpt2,unigram,unigram,typo_10,15,10.835402188846494,1.169675837035016e-27,1
gpt2,unigram,unigram,typo_10,16,10.233634385069301,7.007926812778163e-25,1
gpt2,unigram,unigram,typo_10,17,7.835143501188126,2.341537736897259e-15,1
gpt2,unigram,unigram,typo_10,18,9.009750815427559,1.0326260634739084e-19,1
gpt2,unigram,unigram,typo_10,19,5.431161242111207,2.799425823329538e-08,1
gpt2,unigram,unigram,typo_10,20,10.04583404829526,4.791675306153565e-24,1
gpt2,unigram,unigram,typo_10,21,5.913164739915446,1.6779811056895122e-09,1
gpt2,unigram,unigram,typo_10,22,12.688973569649212,3.4036017202171386e-37,1
gpt2,unigram,unigram,typo_10,23,9.098958444575917,4.5601115157696107e-20,1
gpt2,unigram,unigram,typo_10,24,9.04468256615527,7.505032187397941e-20,1
gpt2,unigram,unigram,typo_10,25,9.334112408272238,5.0920469959058465e-21,1
gpt2,unigram,unigram,typo_10,26,10.937374832394612,3.818977320430524e-28,1
gpt2,unigram,unigram,typo_10,27,9.240027567747637,1.2321686834520217e-20,1
gpt2,unigram,unigram,typo_10,28,11.62232469743248,1.5869041213794983e-31,1
gpt2,unigram,unigram,typo_10,29,5.489948531973768,2.010254404937261e-08,1
gpt2,unigram,unigram,typo_10,30,8.773280079294956,8.676784362613286e-19,1
gpt2,unigram,unigram,typo_10,31,10.894500486257753,6.121827909898757e-28,1
gpt2,unigram,unigram,typo_10,32,9.89625992944471,2.1606714982670795e-23,1
gpt2,unigram,unigram,typo_10,33,11.105041702736294,5.928099354052825e-29,1
gpt2,unigram,unigram,typo_10,34,8.385894843320678,2.5170661178758294e-17,1
gpt2,unigram,unigram,typo_10,35,10.164681732202988,1.4252572506223966e-24,1
gpt2,unigram,unigram,typo_10,36,9.714285714285714,1.3104003160077817e-22,1
gpt2,unigram,unigram,typo_10,37,10.227511429949674,7.465338830903208e-25,1
gpt2,unigram,unigram,typo_10,38,8.11147458237388,2.5004561364758026e-16,1
gpt2,unigram,unigram,typo_10,39,9.616652224137045,3.4004302826656326e-22,1
gpt2,unigram,unigram,typo_10,40,9.949366763261821,1.2689647591741119e-23,1
gpt2,unigram,unigram,typo_10,41,8.84839633193828,4.4392926981101e-19,1
gpt2,unigram,unigram,typo_10,42,11.445070436904244,1.2445111464182121e-30,1
gpt2,unigram,unigram,typo_10,43,9.141000751386148,3.0938519417533556e-20,1
gpt2,unigram,unigram,typo_10,44,9.568495052043222,5.423654459796705e-22,1
gpt2,unigram,unigram,typo_10,45,7.22465585158996,2.51186212192131e-13,1
gpt2,unigram,unigram,typo_10,46,9.945373183606236,1.3209098381404346e-23,1
gpt2,unigram,unigram,typo_10,47,10.757462744292248,2.7327126556540348e-27,1
gpt2,unigram,unigram,typo_10,48,10.502100630210073,4.223946864999367e-26,1
gpt2,unigram,unigram,typo_10,49,10.965355643582377,2.8039818926964085e-28,1
gpt2,unigram,unigram,typo_10,50,9.061459476645577,6.435829293071171e-20,1
gpt2,unigram,unigram,typo_10,51,10.509649676293114,3.899134259092127e-26,1
gpt2,unigram,unigram,typo_10,52,4.125684985035173,1.8481646716915244e-05,1
gpt2,unigram,unigram,typo_10,53,7.519539763899754,2.7484699311979383e-14,1
gpt2,unigram,unigram,typo_10,54,7.623434348706332,1.2350697793320768e-14,1
gpt2,unigram,unigram,typo_10,55,10.168202618831296,1.3746752317530286e-24,1
gpt2,unigram,unigram,typo_10,56,4.7702783519995515,9.198575974772021e-07,1
gpt2,unigram,unigram,typo_10,57,10.330822248246898,2.5560239777396695e-25,1
gpt2,unigram,unigram,typo_10,58,10.976121697792554,2.4892047198307745e-28,1
gpt2,unigram,unigram,typo_10,59,9.73715331583788,1.0466816424126585e-22,1
gpt2,unigram,unigram,typo_10,60,9.338145262192008,4.901817676506848e-21,1
gpt2,unigram,unigram,typo_10,61,10.227511429949674,7.465338830903208e-25,1
gpt2,unigram,unigram,typo_10,62,10.450995214374265,7.24978129031015e-26,1
gpt2,unigram,unigram,typo_10,63,10.142857142857142,1.7825836023267617e-24,1
gpt2,unigram,unigram,typo_10,64,9.568926608331969,5.401065451902849e-22,1
gpt2,unigram,unigram,typo_10,65,9.0,1.1285884059538324e-19,1
