model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw,gpw,copypaste_50,0,5.144536028414065,1.3409139162440613e-07,1
opt-1.3b,gpw,gpw,copypaste_50,1,5.388138627289544,3.5595566603818247e-08,1
opt-1.3b,gpw,gpw,copypaste_50,2,6.046724008665484,7.391032827546594e-10,1
opt-1.3b,gpw,gpw,copypaste_50,3,1.6313077650317442,0.051412697871499546,0
opt-1.3b,gpw,gpw,copypaste_50,4,1.7774507518648497,0.037747053420368284,0
opt-1.3b,gpw,gpw,copypaste_50,5,-0.534931604248345,0.7036514233711453,0
opt-1.3b,gpw,gpw,copypaste_50,6,6.32632627861728,1.2553332918828927e-10,1
opt-1.3b,gpw,gpw,copypaste_50,7,2.6515198647176432,0.004006519962262395,0
opt-1.3b,gpw,gpw,copypaste_50,8,6.051426065319341,7.178458696111439e-10,1
opt-1.3b,gpw,gpw,copypaste_50,9,6.410499268586188,7.252192504980698e-11,1
opt-1.3b,gpw,gpw,copypaste_50,10,4.678638811944096,1.4439281694068715e-06,1
opt-1.3b,gpw,gpw,copypaste_50,11,6.24470622209204,2.1229869675307151e-10,1
opt-1.3b,gpw,gpw,copypaste_50,12,7.235166894363376,2.324785017570062e-13,1
opt-1.3b,gpw,gpw,copypaste_50,13,6.81386445153165,4.750561619869986e-12,1
opt-1.3b,gpw,gpw,copypaste_50,14,3.0794609858809143,0.0010368776461835965,0
opt-1.3b,gpw,gpw,copypaste_50,15,5.4013180901964954,3.307650071416905e-08,1
opt-1.3b,gpw,gpw,copypaste_50,16,5.242234795823017,7.932165788864956e-08,1
opt-1.3b,gpw,gpw,copypaste_50,17,6.788955418038441,5.647416722262689e-12,1
opt-1.3b,gpw,gpw,copypaste_50,18,0.33928107119891104,0.3671990004384678,0
opt-1.3b,gpw,gpw,copypaste_50,19,3.3044283705299446,0.0004758514606231197,0
opt-1.3b,gpw,gpw,copypaste_50,20,3.164340118082634,0.0007771751788158405,0
opt-1.3b,gpw,gpw,copypaste_50,21,5.474366305089393,2.1953999246073294e-08,1
opt-1.3b,gpw,gpw,copypaste_50,22,3.7089486240505902,0.00010406082388592415,0
opt-1.3b,gpw,gpw,copypaste_50,23,3.6739101245315364,0.00011943339086039031,0
opt-1.3b,gpw,gpw,copypaste_50,24,3.659767454662216,0.00012622211872381339,0
opt-1.3b,gpw,gpw,copypaste_50,25,1.8010256225537071,0.03584942076117596,0
opt-1.3b,gpw,gpw,copypaste_50,26,2.1581311929166676,0.015458816581155825,0
opt-1.3b,gpw,gpw,copypaste_50,27,0.29499517260489805,0.38399878370520824,0
opt-1.3b,gpw,gpw,copypaste_50,28,8.23360423689725,9.083158206683473e-17,1
opt-1.3b,gpw,gpw,copypaste_50,29,2.9106083857131066,0.001803629146745858,0
opt-1.3b,gpw,gpw,copypaste_50,30,2.7584807627071033,0.0029035361512078197,0
opt-1.3b,gpw,gpw,copypaste_50,31,6.8686341049776,3.240976106903802e-12,1
opt-1.3b,gpw,gpw,copypaste_50,32,6.924996009817222,2.1799390508350885e-12,1
opt-1.3b,gpw,gpw,copypaste_50,33,-0.45778501511280295,0.6764465487141109,0
opt-1.3b,gpw,gpw,copypaste_50,34,4.927397631543123,4.166602879605046e-07,1
opt-1.3b,gpw,gpw,copypaste_50,35,3.3896393468555313,0.0003499231497486602,0
opt-1.3b,gpw,gpw,copypaste_50,36,7.5717475482015235,1.841182743477781e-14,1
opt-1.3b,gpw,gpw,copypaste_50,37,2.9218158068732696,0.0017399863794054084,0
opt-1.3b,gpw,gpw,copypaste_50,38,7.178115255265571,3.5339483745878495e-13,1
opt-1.3b,gpw,gpw,copypaste_50,39,3.2281201454905215,0.0006230331351992973,0
opt-1.3b,gpw,gpw,copypaste_50,40,7.306185828986578,1.37416012254736e-13,1
opt-1.3b,gpw,gpw,copypaste_50,41,4.71824944199353,1.1894135571248852e-06,1
opt-1.3b,gpw,gpw,copypaste_50,42,5.675802926906119,6.901981317912721e-09,1
opt-1.3b,gpw,gpw,copypaste_50,43,14.548257311481036,2.9954938927585724e-48,1
opt-1.3b,gpw,gpw,copypaste_50,44,5.722945851689644,5.234632034505348e-09,1
opt-1.3b,gpw,gpw,copypaste_50,45,3.1911643478293215,0.0007085032550940348,0
opt-1.3b,gpw,gpw,copypaste_50,46,6.086222087205804,5.780302751094476e-10,1
opt-1.3b,gpw,gpw,copypaste_50,47,6.64447484202253,1.5215003834677387e-11,1
opt-1.3b,gpw,gpw,copypaste_50,48,9.712667437278046,1.3313786903216165e-22,1
opt-1.3b,gpw,gpw,copypaste_50,49,6.520581313604336,3.5017713655565364e-11,1
opt-1.3b,gpw,gpw,copypaste_50,50,0.9638442569678137,0.1675620071990767,0
opt-1.3b,gpw,gpw,copypaste_50,51,7.812151679754005,2.8109922456471574e-15,1
opt-1.3b,gpw,gpw,copypaste_50,52,4.3009461020753585,8.5035213067314e-06,1
opt-1.3b,gpw,gpw,copypaste_50,53,7.305648951091715,1.3796585891591908e-13,1
opt-1.3b,gpw,gpw,copypaste_50,54,2.6907069373697885,0.003565039957518657,0
opt-1.3b,gpw,gpw,copypaste_50,55,1.503096214658532,0.06640711740887369,0
opt-1.3b,gpw,gpw,copypaste_50,56,2.7184487897594005,0.0032794403934582853,0
opt-1.3b,gpw,gpw,copypaste_50,57,8.256848120382314,7.478477440908803e-17,1
