model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp,gpw_sp,clean,0,12.975559968010177,8.418069347668439e-39,1
opt-1.3b,gpw_sp,gpw_sp,clean,1,10.70957440082814,4.589139220462788e-27,1
opt-1.3b,gpw_sp,gpw_sp,clean,2,9.467448294314627,1.4338154411621902e-21,1
opt-1.3b,gpw_sp,gpw_sp,clean,3,13.081428246985679,2.1023239071638637e-39,1
opt-1.3b,gpw_sp,gpw_sp,clean,4,1.21311100969037,0.11254369061715847,0
opt-1.3b,gpw_sp,gpw_sp,clean,5,3.999313883416848,3.176319108122849e-05,0
opt-1.3b,gpw_sp,gpw_sp,clean,6,10.668440619916721,7.150307848074731e-27,1
opt-1.3b,gpw_sp,gpw_sp,clean,7,2.725900154122369,0.0032063196716099382,0
opt-1.3b,gpw_sp,gpw_sp,clean,8,3.6130518562829046,0.0001513070770633699,0
opt-1.3b,gpw_sp,gpw_sp,clean,9,1.0644716355039998,0.14355754859131803,0
opt-1.3b,gpw_sp,gpw_sp,clean,10,11.398132150857068,2.1359298560115953e-30,1
opt-1.3b,gpw_sp,gpw_sp,clean,11,10.826522271801483,1.288799469836489e-27,1
opt-1.3b,gpw_sp,gpw_sp,clean,12,4.053695412673447,2.5207424632115045e-05,1
opt-1.3b,gpw_sp,gpw_sp,clean,13,13.132527804389365,1.071894927664542e-39,1
opt-1.3b,gpw_sp,gpw_sp,clean,14,1.2805968890010944,0.10016764664964045,0
opt-1.3b,gpw_sp,gpw_sp,clean,15,6.842207941288606,3.899088968853639e-12,1
opt-1.3b,gpw_sp,gpw_sp,clean,16,6.626110534569981,1.723235687409886e-11,1
opt-1.3b,gpw_sp,gpw_sp,clean,17,12.633893849641561,6.865576234992175e-37,1
opt-1.3b,gpw_sp,gpw_sp,clean,18,12.415194328592916,1.080806817234442e-35,1
opt-1.3b,gpw_sp,gpw_sp,clean,19,1.291812875031348,0.09821097775865006,0
opt-1.3b,gpw_sp,gpw_sp,clean,20,13.63434359700516,1.2511610510669243e-42,1
opt-1.3b,gpw_sp,gpw_sp,clean,21,1.568302682480033,0.05840525510489317,0
opt-1.3b,gpw_sp,gpw_sp,clean,22,5.586620711846737,1.1576531620613013e-08,1
opt-1.3b,gpw_sp,gpw_sp,clean,23,11.433615150678644,1.4201612024731688e-30,1
opt-1.3b,gpw_sp,gpw_sp,clean,24,5.2229934481554094,8.802681085036896e-08,1
opt-1.3b,gpw_sp,gpw_sp,clean,25,-0.6839340947147233,0.7529916083298605,0
opt-1.3b,gpw_sp,gpw_sp,clean,26,13.430504995775538,2.0033491654018429e-41,1
opt-1.3b,gpw_sp,gpw_sp,clean,27,11.655116551454764,1.0804228126561383e-31,1
opt-1.3b,gpw_sp,gpw_sp,clean,28,13.858251022604412,5.670193325747001e-44,1
opt-1.3b,gpw_sp,gpw_sp,clean,29,14.269782119650902,1.6881590987169027e-46,1
opt-1.3b,gpw_sp,gpw_sp,clean,30,11.841185372711372,1.1952508950864707e-32,1
