model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,0,4.253910981720943,1.0503441995653942e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,1,-0.8654406284023634,0.8066015051841318,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,2,2.2181133128931974,0.013273553661671498,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,3,0.39534685006204306,0.3462934641102229,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,4,5.513561961487569,1.758215788568302e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,5,2.7371445489917834,0.0030987527289351204,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,6,6.352598488519489,1.0585389524077107e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,7,4.781052156114294,8.719005472354697e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,8,1.4591491239638874,0.07226203404848526,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,9,2.6857767842357223,0.003618070655340528,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,10,2.529822379820965,0.00570601410013888,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,11,-3.3587198131292877,0.9996084779140156,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,12,3.782230794635394,7.771457443350575e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,13,5.597159587085717,1.089460607456436e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,14,0.07347059562444563,0.47071582105628357,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,15,5.195285702958282,1.022028378166454e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,16,2.50249170300258,0.0061661258021724775,0
opt-1.3b,gpw_sp_low,gpw_sp_low,copypaste_50,17,0.45759091924367956,0.32362318434671355,0
