model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,0,7.774476809091669,3.787993399708992e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,1,-0.07652892566040563,0.530500848950625,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,2,3.445046360505885,0.0002854807275788428,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,3,1.2944581170238207,0.09775361366026347,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,4,8.877419644636971,3.421461955053575e-19,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,5,3.7233043905046452,9.831610869971107e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,6,7.226477397891396,2.4784153931353146e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,7,5.167536706121567,1.1859969653563327e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,8,3.149629282997047,0.0008173887969736987,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,9,5.095291013652871,1.7410297561181388e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,10,2.2252328944392383,0.013032803837441502,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,11,4.065872968630273,2.3926498767752523e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,12,4.643414136409677,1.7134922530376586e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,13,7.199296273781542,3.02620561538085e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,14,3.3349449525218935,0.0004265814322156977,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,15,4.43229251836854,4.661820363260287e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,16,4.845167408930327,6.325248222166299e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,17,3.042955180850107,0.0011713361083740396,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,18,5.56589498072766,1.3040514597125825e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,19,0.9079760111072444,0.18194544799102857,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,20,3.215648514686237,0.0006507506564673906,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,21,4.009823738198005,3.038204501713786e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,22,3.0185903928119746,0.0012697681460025936,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,23,4.575707706168916,2.3730640672776337e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,24,5.417164841355485,3.027575535012747e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,25,5.996961975541892,1.005215557596873e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,26,6.215459589540728,2.558732140362483e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,27,7.214766218398774,2.701335655302471e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,28,2.4010560867461734,0.008173915309506103,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,29,7.504987702783277,3.071718398597818e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,30,5.863549992408472,2.265371759594211e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,31,6.1076364112505965,5.05586897378204e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,32,8.001757117719505,6.132807303610088e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,33,5.73704065015157,4.81725695617474e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,34,6.4461274611218595,5.737208676707842e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,35,6.733110405194128,8.303697343936855e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,36,7.205203259440253,2.897866455577281e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,37,8.786900715905073,7.687127098239e-19,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,38,4.417712684388354,4.987544858584692e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,39,4.6762553504247375,1.4608038778732743e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,40,6.118273994538316,4.729715995289238e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,41,7.901232269925404,1.380797456647526e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,42,5.418783585976324,3.000294986488904e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,43,5.9629353673957395,1.2387321846032768e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,44,5.754022977356274,4.3572152041582614e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,45,6.824310072417802,4.417443639552786e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,46,8.091490388082326,2.946952242846566e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,47,4.665620379806784,1.5384364857667508e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,48,5.805387335566823,3.210868704523387e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,49,3.470098922672847,0.00026013335647213156,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,50,6.7372697884468975,8.069517695746555e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,51,7.078554147874664,7.283310430560604e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,52,0.6063361237838099,0.27214578776120585,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,53,3.820366099432401,6.662686646052184e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,54,4.504620357697092,3.3245852253243823e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,55,6.172155307723401,3.3682638863437145e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,56,10.849799960564825,9.993113865450511e-28,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,57,5.2411135296296365,7.980523619210623e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,58,3.0890123757863046,0.0010041153667838887,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,59,4.85329686173863,6.071285731749284e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,60,5.105300015563899,1.6513505223504892e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,61,7.998121091068743,6.316605119575885e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,62,1.2319085971219863,0.10899161479502933,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,63,7.643233034457814,1.0591704469731579e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,64,3.8605399287274915,5.6568375180951476e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,65,3.183523136817895,0.0007274724257155857,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,66,6.118301381128593,4.728903391399745e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,67,1.2570330068540543,0.1043708419107735,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,68,7.346946591669055,1.0139292355972148e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,69,6.5711181843837405,2.4969400414557695e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,70,4.663553380942266,1.5539775848613286e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,71,0.12753871619251542,0.449257016137119,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,72,4.171775386380115,1.5111774610279438e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,73,6.309510972576024,1.3995926101589105e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,74,3.172130922628524,0.0007566238504429381,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,75,4.709005492063306,1.24464182363808e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,76,5.7922278853836024,3.4729403696863e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,77,7.6302068419644105,1.1718867890391224e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,78,7.05971334881848,8.342321290448464e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,79,8.091800265277527,2.939462893218143e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,80,3.0631377056266667,0.0010951462170474512,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,81,6.887613876741355,2.836797651932183e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,82,7.0167924219339595,1.1350974632961652e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,83,6.154473911051631,3.7663561132618527e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,84,6.754059741791228,7.188225360964165e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,85,5.478122940496713,2.1493071875183186e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,86,7.176689755861066,3.570975131125153e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,87,4.847273722361216,6.258483580823813e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,88,6.566680319759954,2.572466777001652e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,89,-0.004588528371280701,0.501830551548537,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,90,6.48299086713642,4.4960971672517694e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,91,7.898615376469819,1.4100932838060744e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,92,3.2233633026626607,0.0006334737655057085,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,93,5.982361628640228,1.099626604677797e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,94,4.895831962224535,4.894534463598966e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,95,6.253860440263483,2.002144356792749e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,96,6.466607676279336,5.0113708435136516e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,97,5.423887180978094,2.9158348600810952e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,98,5.424231479751912,2.9102207276256095e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,99,3.8797367196507038,5.22847949443247e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,100,4.739604572625718,1.0706784985052502e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,101,6.480221590729729,4.579400370423822e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,102,7.500667413427919,3.174685287186417e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,103,6.169545759959715,3.4243227176196233e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,104,8.000981571349461,6.17156313902718e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,105,5.983874847256295,1.089453803420883e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,106,4.791687937376033,8.269200013319276e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,107,5.047953094682828,2.2328437256831146e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,108,4.967326716744894,3.394108430761536e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,109,6.840366454135648,3.949542728898973e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,110,7.35747861163811,9.370821196984512e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,111,3.652028500799062,0.00013008850043132468,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,112,6.073444432658265,6.2597667042718e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,113,2.7528853246334686,0.0029536292106826013,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,114,1.8044464163677307,0.035580676050423345,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,115,7.584649628912326,1.6669336588838255e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,116,7.7089334065980175,6.343679563723397e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,117,2.2382830625190726,0.01260130096417119,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,118,6.81069871070009,4.856292655714286e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,119,3.547374284223927,0.00019454569798676858,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,120,5.414734692069686,3.068982368803825e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,121,6.566153425265859,2.5815809233812286e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,122,6.7776762577242,6.10620604004084e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,123,8.430596501695828,1.7195382311103654e-17,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,124,7.187341189542945,3.303258748165621e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,125,7.34078395122765,1.061731748136425e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,126,5.608987883869866,1.0175663466920754e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,127,5.06582651366335,2.0331606364552813e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,128,5.337546444481339,4.710638711947985e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,129,6.732172223734914,8.357431173610109e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,130,5.408120469177519,3.1844790563285676e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,131,3.0070963984682972,0.0013187805403563366,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,132,6.657839680629378,1.3894081947179569e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,133,6.1452880902805385,3.990925506753161e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,134,6.577120460252483,2.3982309413190083e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,135,4.177575772237711,1.4731626325231923e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,136,6.625129814529541,1.7347157244601515e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,137,0.6205200209347099,0.2674577385184975,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,138,5.273403361071291,6.695839256688895e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,139,2.5186908844101574,0.005889600834462938,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,140,4.601490413517502,2.0973923371416676e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,141,4.046504236811634,2.599409209268312e-05,1
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,142,1.6087934442338574,0.05383075742968986,0
opt-1.3b,gpw_sp_low,gpw_sp_low,swap_20,143,3.332042061225888,0.00043105612659861985,0
