model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,0,8.55212710902694,6.042029790427989e-18,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,1,-3.476539946603581,0.9997460357218511,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,2,2.602410287940041,0.004628551557508279,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,3,0.35454582766916354,0.3614649330014338,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,4,6.8850641487853705,2.8880750118473035e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,5,6.801880740405187,5.163103443285984e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,6,6.740651674684508,7.883890286357675e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,7,4.9621583582959525,3.4857059629309505e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,8,2.7407511282875046,0.0030649459143258988,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,9,4.778984025909776,8.80915948437813e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,10,1.8994600495941272,0.028752007279868957,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,11,2.4118300707668823,0.007936338705878296,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,12,4.85205857346214,6.109326104886233e-07,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,13,6.782207852059936,5.917651415046709e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,14,1.3695143746188556,0.08541927230010743,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,15,6.141210404793006,4.0947510203758553e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,16,4.665833065964643,1.5368458536412222e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,17,3.4858910292846894,0.00024525038425715157,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,18,4.653038257873323,1.6353976650955916e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,19,1.4524538441445307,0.07318772703306624,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,20,3.073790367913721,0.0010567894639102596,0
opt-1.3b,gpw_sp_low,gpw_sp_low,synonym_30,21,5.032056674145418,2.426228793142599e-07,1
