model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,0,10.636887911593995,1.0036091398001406e-26,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,1,0.050648676254483015,0.4798027372653307,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,2,5.745643276407866,4.578608964859109e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,3,-0.10651880947820125,0.5424146337487142,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,4,9.278051684340486,8.630289158331264e-21,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,5,8.673876909439763,2.0882588637845224e-18,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,6,9.153849708373892,2.746999152356597e-20,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,7,7.561523736668779,1.9918734970559493e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,8,4.580415903498253,2.3202609294877657e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,9,7.315854943489147,1.2787390749784782e-13,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,10,1.534902850209706,0.062403846659640536,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,11,3.8943273502687807,4.92357986400322e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,12,6.4698622849704615,4.904613794586797e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,13,7.978517841827559,7.40504416258223e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,14,3.5234336785256084,0.00021299684764969625,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,15,7.649610379190153,1.0079458658410666e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,16,5.64588482230761,8.216692049839632e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,17,6.671035540839816,1.2700234667072525e-11,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,18,5.818575730908949,2.967558429838186e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,19,3.8983439719728534,4.842638754271462e-05,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,20,6.099383497348321,5.323916616170659e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,21,5.563072212122066,1.3253306899239952e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,22,4.4506255317194,4.2810263569391305e-06,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,23,9.133993272099689,3.300906915974155e-20,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,24,7.789787535419511,3.3560983460008067e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,25,5.775794098927019,3.8295494857273084e-09,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,26,6.04963289252686,7.258813368460832e-10,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,27,7.492401583009914,3.381231744399088e-14,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,28,2.0335283448456307,0.020999586439906154,0
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,29,9.312786468434505,6.226091351787142e-21,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,30,6.922778152298488,2.21435526157784e-12,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,31,8.95444037419973,1.7073162724990018e-19,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,32,8.868524025929066,3.706088737791951e-19,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,33,7.692169155342915,7.233059159950352e-15,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,34,8.26735006857175,6.84846649986481e-17,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,35,9.08360711955003,5.25174448795165e-20,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,36,9.040607578827299,7.790169793899065e-20,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,37,8.189751324724712,1.3088323260846949e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,38,8.01364474068625,5.567903594692648e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,39,5.263800812223836,7.055366375295499e-08,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,40,8.351707324748654,3.364160803999122e-17,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,41,10.313727577313696,3.0542534279512144e-25,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,42,8.994807100527204,1.1832370799140058e-19,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,43,8.244652233693818,8.282062629839885e-17,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,44,10.267537425387639,4.934585154895646e-25,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,45,8.103565311323022,2.6685777237689926e-16,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,46,9.605349098606542,3.795014379746112e-22,1
opt-1.3b,gpw_sp_low,gpw_sp_low,typo_10,47,5.990989514501428,1.0428404429504134e-09,1
