model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,0,0.4816106560609886,0.3150412774432212,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,1,1.1084828274484793,0.13382667572988638,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,2,0.9735791632686641,0.16513276817692724,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,3,-1.3590808865305735,0.912939520608328,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,4,-0.24639567783305671,0.5973120241418763,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,5,1.6812922231343996,0.04635308385550515,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,6,0.03850852143208529,0.4846411187022198,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,7,0.8995671468420237,0.18417532362118683,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,8,1.122108643971908,0.13090812452204553,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,9,0.044485236959698346,0.4822588097635763,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,10,1.4242721884545815,0.07718384751722884,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,11,0.16954819570738994,0.4326827331805042,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,12,0.7616526898843212,0.22313365933807994,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,13,-0.8611239332331533,0.8054151055265952,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,14,1.1267045697007683,0.12993370486568567,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,15,0.33144892228966083,0.3701527082777057,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,16,1.9259714326719761,0.027053970488492188,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,17,-0.36513109039289954,0.642493223033284,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,18,-0.3506868109786188,0.637088339371962,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,19,0.5950270491451647,0.2759126951564992,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,20,-1.2167389414578682,0.8881482211086287,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,21,-1.3198597203498916,0.906559070968532,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,22,2.834474054616831,0.002295059251745901,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,23,0.5369246220694235,0.29565984124457323,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,24,0.7421529505567865,0.22899733558465973,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,25,0.5141951419108847,0.30355778197944605,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,26,1.7206073567860356,0.04266104879408618,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,27,-0.777462204492976,0.7815569375237561,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,28,0.18298921471584884,0.4274032405719014,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,29,-0.09743301728283234,0.5388087372722489,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,30,-0.8057650939976981,0.789810845832142,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,31,0.4120215665117789,0.3401618079485459,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,32,1.1441565857521208,0.12627935203519863,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,33,-1.136772381970172,0.8721832741817779,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,34,-0.17477119528596982,0.5693702886105334,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,35,1.422578704725523,0.07742916044524337,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,36,-0.6266159758043939,0.7345445031983464,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,37,-1.1310087496750854,0.8709742956223134,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,38,1.304060748545422,0.09610643528027601,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,39,0.22973122250283123,0.40915031582534306,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,40,0.380291763307859,0.3518644244965934,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,41,-0.6853961368091525,0.753453009412133,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,42,1.6297891210875664,0.05157303691373492,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,43,-1.775018523214928,0.9620525856255957,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,44,-0.2808927050458265,0.6106036519878866,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,45,-0.004203438815786231,0.5016769245284615,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,46,-0.02540225792589835,0.5101329449370716,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,47,1.0135426871499962,0.15540050867819716,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,48,0.8772449090387036,0.1901768140829302,0
opt-1.3b,gpw_sp_sr,gpw_sp_sr,swap_20,49,0.1093434545693883,0.45646504071680244,0
