model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp,gpw_sp,swap_20,0,6.832725018884177,4.16582849022456e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,1,4.581945033021545,2.303354983982034e-06,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,2,6.822142985610548,4.484616220620197e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,3,6.978102779280227,1.4959637845603586e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,4,0.3418431887494989,0.36623445271939736,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,5,2.3052602481278877,0.010576001218555463,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,6,4.648440706040225,1.6722686631216236e-06,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,7,1.3573062997828973,0.0873419532326416,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,8,2.8308865511105386,0.002320959128801859,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,9,2.0073878392876754,0.022354191328765444,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,10,4.813644108137035,7.410132038900206e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,11,4.782262962490818,8.666636173984538e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,12,3.375576264556299,0.00036830636610301243,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,13,6.9663682407691745,1.6261359908963685e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,14,1.2162161161945113,0.11195130300740058,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,15,4.330490095744294,7.438891907892315e-06,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,16,3.5348664130188747,0.00020399067858410962,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,17,6.530018539178918,3.288077543514569e-11,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,18,8.890144485956988,3.0514748733139016e-19,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,19,0.29484225932441294,0.3840571911819408,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,20,7.188381667517347,3.2781886907694684e-13,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,21,0.17126369473050757,0.43200821303163606,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,22,2.8530726967593827,0.002164935757470662,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,23,5.102827705735888,1.6730781022734862e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,24,3.517334856885501,0.0002179517491341127,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,25,0.3190580787263425,0.3748412359503238,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,26,6.424520849726015,6.614276498606028e-11,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,27,6.19175026017743,2.9749886892152413e-10,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,28,8.004382538748557,6.003380046800291e-16,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,29,7.639644391638108,1.0891125269614123e-14,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,30,6.211283627871412,2.6276758948117576e-10,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,31,6.546043599397557,2.9540669337700143e-11,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,32,8.549888902459951,6.160352313538777e-18,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,33,7.2107785154328115,2.781644056779182e-13,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,34,3.9183782141053722,4.457337559834147e-05,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,35,5.678139879459194,6.8083673121566906e-09,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,36,3.2997277678951757,0.00048389329164827557,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,37,7.500714097309129,3.173554724411234e-14,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,38,6.213491132813276,2.5910078948011494e-10,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,39,7.875303102759437,1.6995889504565762e-15,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,40,7.656647460384323,9.542479653706646e-15,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,41,6.1812233259957505,3.180337942251916e-10,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,42,4.301348833818689,8.488078353704503e-06,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,43,1.799201875546476,0.035993376442174665,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,44,4.899006404578099,4.816125251650998e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,45,1.95990538241402,0.02500342520204709,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,46,6.8290539152941845,4.273822427579827e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,47,8.063948513825876,3.69344397095143e-16,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,48,7.090414421571881,6.685549050787211e-13,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,49,3.9586455112532115,3.7688006697786825e-05,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,50,7.395903211781246,7.022514234641095e-14,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,51,5.734916188487774,4.878028857028277e-09,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,52,6.899485486800503,2.609561002245444e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,53,1.7968357696659656,0.0361808479618519,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,54,4.578776577645823,2.338517197788606e-06,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,55,7.542571956314208,2.303958537387828e-14,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,56,-0.9510422924044699,0.8292085464102807,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,57,7.720979883647806,5.7719386614762955e-15,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,58,2.145699316003275,0.015948487899795454,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,59,1.9752052393364408,0.024122430795792724,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,60,3.8532666837613103,5.827616206981727e-05,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,61,4.8351618293981815,6.651868016764335e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,62,0.6785646251605151,0.24870688163773758,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,63,4.853674340100735,6.059734940031179e-07,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,64,6.54474683583922,2.9798127653567055e-11,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,65,6.89967803315919,2.6060265791310725e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,66,3.81841024480672,6.715721713220888e-05,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,67,5.578143063978359,1.215498438653592e-08,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,68,6.023523668030623,8.533007000959824e-10,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,69,7.76935184495983,3.944437732112346e-15,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,70,2.7054065998014507,0.003411041490574445,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,71,-1.1971320197244288,0.8843724493235051,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,72,6.54142146783083,3.046841539553992e-11,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,73,6.78222611480063,5.916903183911288e-12,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,74,5.6873565466412845,6.451045099207509e-09,1
opt-1.3b,gpw_sp,gpw_sp,swap_20,75,3.6206012752512096,0.0001469595863340987,0
opt-1.3b,gpw_sp,gpw_sp,swap_20,76,6.25620967157037,1.9722318236977802e-10,1
