model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp,gpw_sp,synonym_30,0,5.282368182271271,6.376229355273626e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,1,5.271251326678983,6.774838888753978e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,2,4.750520226492132,1.0144699898553293e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,3,6.077897089447938,6.088442890160023e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,4,0.5537233118435848,0.28988410934324604,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,5,0.7164756638824357,0.2368488445794184,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,6,4.688874583397309,1.3735584102427842e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,7,2.604975247222142,0.004594044877797451,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,8,2.734653041511794,0.003122302951123508,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,9,0.4988399976594445,0.3089460536955867,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,10,4.474265415698748,3.833722623342484e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,11,5.492821977254312,1.9778074049135297e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,12,2.880074748362262,0.001987904488164032,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,13,6.279164901909947,1.701982043801155e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,14,0.07925924675963222,0.46841321032894684,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,15,3.1400329570513112,0.0008446441455862627,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,16,3.784072482166038,7.714142983741508e-05,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,17,6.233151508885764,2.2857182208031412e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,18,7.70376900722428,6.605528325687675e-15,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,19,0.7369666596458616,0.23057131234844747,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,20,7.190123958597606,3.236626243845369e-13,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,21,1.561479923453038,0.059205278603433734,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,22,4.293627290232198,8.788873028715816e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,23,5.0066284285118465,2.7695854055655963e-07,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,24,3.5402749388050507,0.0001998551953161625,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,25,-0.35602044048152715,0.6390873712470201,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,26,6.336873923135528,1.172368507258274e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,27,5.58371160410329,1.1771950208311895e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,28,6.182300128595781,3.158713564831086e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,29,6.974467895961258,1.5351532228872024e-12,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,30,4.821098868777457,7.138478540720658e-07,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,31,7.94989463749739,9.333510454090538e-16,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,32,5.541683747914575,1.4978849622250255e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,33,7.457867809470488,4.396691208628792e-14,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,34,3.557216101035895,0.0001874029083969966,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,35,5.25608884767637,7.357561055580015e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,36,1.5861354980297095,0.05635428792138118,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,37,5.862795027695633,2.275699648390706e-09,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,38,5.095411448361914,1.7399232498530067e-07,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,39,7.257334151583677,1.9739679163318904e-13,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,40,8.89364838145478,2.9567305032594977e-19,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,41,6.191132637515097,2.986670836415291e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,42,6.660922818276903,1.3605676228632681e-11,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,43,4.250922681026661,1.0644582915571715e-05,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,44,6.987325272338966,1.4008808369707878e-12,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,45,1.0078773252168765,0.15675667917819386,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,46,6.904852535015057,2.512780252410457e-12,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,47,6.056455455277815,6.957682544092217e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,48,6.314270383066286,1.357195046298462e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,49,3.7611344795055572,8.457222851105909e-05,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,50,6.233343616901804,2.2829156773438392e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,51,9.34361582750331,4.654959681490677e-21,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,52,6.162147625543422,3.588244922981277e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,53,5.2158755678051545,9.147548243200637e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,54,4.4163613791638205,5.018811017299386e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,55,7.045352868980453,9.249604616300085e-13,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,56,0.5640517024990165,0.2863594730024125,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,57,5.342534150297242,4.582804834171098e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,58,1.6395708197914407,0.05054721722332218,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,59,3.6278050348306037,0.0001429204867849189,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,60,5.55129241767032,1.4178264740070409e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,61,4.450987244479312,4.273820973027472e-06,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,62,1.6767452281689723,0.04679615614566521,0
opt-1.3b,gpw_sp,gpw_sp,synonym_30,63,7.099425600289031,6.263823181431229e-13,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,64,6.497728369568614,4.07709291438928e-11,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,65,6.294063581487553,1.5463052657271514e-10,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,66,5.272191668729103,6.740209322390569e-08,1
opt-1.3b,gpw_sp,gpw_sp,synonym_30,67,4.769638866372384,9.227824050615955e-07,1
