model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw_sp,gpw_sp,typo_10,0,8.944226527387125,1.872818014583628e-19,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,1,7.859180405304648,1.9332750938819378e-15,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,2,7.626394235141811,1.2070540658573635e-14,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,3,9.71851437993375,1.2571142610908344e-22,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,4,0.20855224080991666,0.4173988984781648,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,5,2.5778505711931454,0.004970848961573245,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,6,6.4601634187334955,5.2294986387553857e-11,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,7,1.5858166399955385,0.056390454932100945,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,8,1.5878846412823737,0.05615621355322513,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,9,0.5008291800350556,0.30824567372578526,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,10,9.54918567798121,6.535985553036734e-22,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,11,7.039179250990638,9.668773651709891e-13,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,12,4.089467893005033,2.1618195446408473e-05,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,13,7.523882332646294,2.6586601456117955e-14,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,14,0.1914942261051544,0.42406920186988095,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,15,4.193578396775612,1.3729405888162136e-05,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,16,5.476276977197541,2.1718380917502196e-08,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,17,8.069699892066138,3.5235585147552994e-16,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,18,9.551972421443951,6.362506595833074e-22,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,19,2.4850702943682896,0.006476292764111254,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,20,9.311877265767976,6.27962988900775e-21,1
opt-1.3b,gpw_sp,gpw_sp,typo_10,21,-0.16755250278996936,0.566532329951595,0
opt-1.3b,gpw_sp,gpw_sp,typo_10,22,2.463169641890282,0.006885736997085213,0
