model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw,gpw,swap_20,0,13.534392987679622,4.899425636575592e-42,1
opt-1.3b,gpw,gpw,swap_20,1,13.584913073279434,2.460579392106865e-42,1
opt-1.3b,gpw,gpw,swap_20,2,11.214129881143567,1.737939879098083e-29,1
opt-1.3b,gpw,gpw,swap_20,3,14.608217939679902,1.2447237715463226e-48,1
opt-1.3b,gpw,gpw,swap_20,4,8.0194357887205,5.311599212575095e-16,1
opt-1.3b,gpw,gpw,swap_20,5,13.532147941949113,5.0513974064947536e-42,1
opt-1.3b,gpw,gpw,swap_20,6,12.341441368143355,2.7088611485870184e-35,1
opt-1.3b,gpw,gpw,swap_20,7,11.111186274304965,5.533964734833718e-29,1
opt-1.3b,gpw,gpw,swap_20,8,12.403388128220397,1.2525153639278053e-35,1
opt-1.3b,gpw,gpw,swap_20,9,11.84220969780946,1.1807396448659738e-32,1
opt-1.3b,gpw,gpw,swap_20,10,16.342264039356277,2.4692279221992188e-60,1
opt-1.3b,gpw,gpw,swap_20,11,12.80767110780947,7.42628048017287e-38,1
opt-1.3b,gpw,gpw,swap_20,12,12.398675035836803,1.3284014409218585e-35,1
opt-1.3b,gpw,gpw,swap_20,13,13.190021941298864,5.0078045162965085e-40,1
opt-1.3b,gpw,gpw,swap_20,14,13.057049108928805,2.8965033958053705e-39,1
opt-1.3b,gpw,gpw,swap_20,15,11.986494020274,2.0911760478388987e-33,1
opt-1.3b,gpw,gpw,swap_20,16,11.680524744490194,8.015142436498035e-32,1
opt-1.3b,gpw,gpw,swap_20,17,12.159461374902126,2.5547230102687735e-34,1
opt-1.3b,gpw,gpw,swap_20,18,10.722690280813648,3.982610356068697e-27,1
opt-1.3b,gpw,gpw,swap_20,19,5.850444197953353,2.4513096345327774e-09,1
opt-1.3b,gpw,gpw,swap_20,20,12.205949532015742,1.4445908509886543e-34,1
opt-1.3b,gpw,gpw,swap_20,21,11.96773412821315,2.6220623795058178e-33,1
opt-1.3b,gpw,gpw,swap_20,22,8.993152877367848,1.2011887083331104e-19,1
opt-1.3b,gpw,gpw,swap_20,23,12.487113026180337,4.389074084700885e-36,1
opt-1.3b,gpw,gpw,swap_20,24,12.629908032428132,7.222348098056417e-37,1
opt-1.3b,gpw,gpw,swap_20,25,17.471054036692784,1.1902793545735147e-68,1
opt-1.3b,gpw,gpw,swap_20,26,11.388777533237207,2.3780774290888387e-30,1
opt-1.3b,gpw,gpw,swap_20,27,8.500868833299492,9.408845202267991e-18,1
opt-1.3b,gpw,gpw,swap_20,28,13.185511784635175,5.3164971948571604e-40,1
opt-1.3b,gpw,gpw,swap_20,29,15.714574698135616,6.00924945056536e-56,1
opt-1.3b,gpw,gpw,swap_20,30,11.12239556770424,4.880757881497478e-29,1
opt-1.3b,gpw,gpw,swap_20,31,14.976009846041856,5.267764732367296e-51,1
opt-1.3b,gpw,gpw,swap_20,32,14.788310638658645,8.713659308014456e-50,1
opt-1.3b,gpw,gpw,swap_20,33,17.361239649356257,8.109173577449379e-68,1
opt-1.3b,gpw,gpw,swap_20,34,11.124860247543456,4.7477280723962764e-29,1
opt-1.3b,gpw,gpw,swap_20,35,11.642434091509454,1.253777301652844e-31,1
opt-1.3b,gpw,gpw,swap_20,36,13.53659178731911,4.754993957757709e-42,1
opt-1.3b,gpw,gpw,swap_20,37,14.850753229919121,3.4395678600146225e-50,1
opt-1.3b,gpw,gpw,swap_20,38,13.446590828684867,1.6119845147825608e-41,1
opt-1.3b,gpw,gpw,swap_20,39,13.243978729141789,2.4444344502517787e-40,1
opt-1.3b,gpw,gpw,swap_20,40,15.502181574876277,1.676553508083597e-54,1
opt-1.3b,gpw,gpw,swap_20,41,14.860673637309867,2.966281793382493e-50,1
opt-1.3b,gpw,gpw,swap_20,42,13.384799402484756,3.7098708695019453e-41,1
opt-1.3b,gpw,gpw,swap_20,43,15.578473157271578,5.098058063029288e-55,1
opt-1.3b,gpw,gpw,swap_20,44,13.940984187005215,1.7849166851360444e-44,1
opt-1.3b,gpw,gpw,swap_20,45,13.829768086428647,8.428153794932587e-44,1
opt-1.3b,gpw,gpw,swap_20,46,14.285477279913879,1.3477819006151596e-46,1
opt-1.3b,gpw,gpw,swap_20,47,11.648874547807003,1.1625459021550989e-31,1
opt-1.3b,gpw,gpw,swap_20,48,14.774594345689744,1.0681979857445424e-49,1
opt-1.3b,gpw,gpw,swap_20,49,11.178309735342612,2.603614964084321e-29,1
opt-1.3b,gpw,gpw,swap_20,50,11.035642553470428,1.286031935615147e-28,1
opt-1.3b,gpw,gpw,swap_20,51,16.341611369270964,2.4958043405998285e-60,1
opt-1.3b,gpw,gpw,swap_20,52,11.550259477223793,3.6798949668942072e-31,1
opt-1.3b,gpw,gpw,swap_20,53,14.615093283265551,1.1252297669653153e-48,1
opt-1.3b,gpw,gpw,swap_20,54,6.119863521709695,4.682776868128879e-10,1
opt-1.3b,gpw,gpw,swap_20,55,11.457862143499586,1.0737512803407006e-30,1
opt-1.3b,gpw,gpw,swap_20,56,12.109357229357665,4.711483600457115e-34,1
opt-1.3b,gpw,gpw,swap_20,57,14.728910628778577,2.102142356225951e-49,1
opt-1.3b,gpw,gpw,swap_20,58,12.251091205326048,8.287527237875439e-35,1
opt-1.3b,gpw,gpw,swap_20,59,15.32363697817489,2.657897676586214e-53,1
opt-1.3b,gpw,gpw,swap_20,60,14.736424588129031,1.880900973605416e-49,1
opt-1.3b,gpw,gpw,swap_20,61,14.302737098942368,1.0518500471631545e-46,1
opt-1.3b,gpw,gpw,swap_20,62,15.708753621881199,6.587185717156692e-56,1
opt-1.3b,gpw,gpw,swap_20,63,15.188008454662477,2.1231282900061733e-52,1
opt-1.3b,gpw,gpw,swap_20,64,8.506911326739157,8.931402033607845e-18,1
opt-1.3b,gpw,gpw,swap_20,65,11.299323412537433,6.611641525429443e-30,1
opt-1.3b,gpw,gpw,swap_20,66,12.059390678754648,8.652924537563799e-34,1
opt-1.3b,gpw,gpw,swap_20,67,15.326753497675409,2.533425982841801e-53,1
opt-1.3b,gpw,gpw,swap_20,68,13.779795855338365,1.6861221406237938e-43,1
opt-1.3b,gpw,gpw,swap_20,69,10.71150846526976,4.494255559142558e-27,1
opt-1.3b,gpw,gpw,swap_20,70,13.841991851057676,7.110529536291486e-44,1
opt-1.3b,gpw,gpw,swap_20,71,12.489050456737765,4.283499369964691e-36,1
opt-1.3b,gpw,gpw,swap_20,72,13.353608685639669,5.642344956951942e-41,1
opt-1.3b,gpw,gpw,swap_20,73,12.750419615144313,1.5503586754220282e-37,1
opt-1.3b,gpw,gpw,swap_20,74,11.935469214814718,3.8660822696367326e-33,1
opt-1.3b,gpw,gpw,swap_20,75,12.557310242928578,1.8122286347913867e-36,1
opt-1.3b,gpw,gpw,swap_20,76,17.64131089583742,5.933781863015711e-70,1
opt-1.3b,gpw,gpw,swap_20,77,12.34652529831078,2.543054044795465e-35,1
opt-1.3b,gpw,gpw,swap_20,78,12.306926399249555,4.156452726576894e-35,1
opt-1.3b,gpw,gpw,swap_20,79,6.99548114509396,1.321750674750034e-12,1
opt-1.3b,gpw,gpw,swap_20,80,11.628002637155724,1.4848245281893327e-31,1
opt-1.3b,gpw,gpw,swap_20,81,14.185986750557998,5.5940425716190516e-46,1
opt-1.3b,gpw,gpw,swap_20,82,11.341203223500305,4.100453322359378e-30,1
opt-1.3b,gpw,gpw,swap_20,83,13.223654716784111,3.203669105142464e-40,1
opt-1.3b,gpw,gpw,swap_20,84,4.032902368080702,2.754608622089932e-05,1
opt-1.3b,gpw,gpw,swap_20,85,15.774833522954824,2.3180945068969476e-56,1
opt-1.3b,gpw,gpw,swap_20,86,11.697975842790038,6.526497804209781e-32,1
opt-1.3b,gpw,gpw,swap_20,87,10.958314260525622,3.030898386585447e-28,1
opt-1.3b,gpw,gpw,swap_20,88,13.149612525316407,8.552436018303646e-40,1
opt-1.3b,gpw,gpw,swap_20,89,12.010557283466412,1.5636523748607463e-33,1
opt-1.3b,gpw,gpw,swap_20,90,13.924998907253102,2.2327416668478415e-44,1
opt-1.3b,gpw,gpw,swap_20,91,12.329465592463396,3.1431120617930043e-35,1
opt-1.3b,gpw,gpw,swap_20,92,13.646751343453236,1.0554037645785911e-42,1
opt-1.3b,gpw,gpw,swap_20,93,13.808807760694178,1.1276667644353048e-43,1
opt-1.3b,gpw,gpw,swap_20,94,12.621116167438368,8.07578276548643e-37,1
opt-1.3b,gpw,gpw,swap_20,95,13.056089502102997,2.9332356028474696e-39,1
opt-1.3b,gpw,gpw,swap_20,96,15.23650238107998,1.0121003908802056e-52,1
opt-1.3b,gpw,gpw,swap_20,97,10.579767459572826,1.8493753232209248e-26,1
opt-1.3b,gpw,gpw,swap_20,98,13.120378943720823,1.2583666580251077e-39,1
opt-1.3b,gpw,gpw,swap_20,99,14.58506232459217,1.7480128503248352e-48,1
opt-1.3b,gpw,gpw,swap_20,100,12.096049884783449,5.540821108571762e-34,1
opt-1.3b,gpw,gpw,swap_20,101,12.169806128187906,2.2507520381423375e-34,1
opt-1.3b,gpw,gpw,swap_20,102,14.410412010925054,2.225237722356964e-47,1
opt-1.3b,gpw,gpw,swap_20,103,11.721285971291058,4.95776396116861e-32,1
opt-1.3b,gpw,gpw,swap_20,104,12.568643988022133,1.5703220552383427e-36,1
opt-1.3b,gpw,gpw,swap_20,105,13.301588418905952,1.1330128607860159e-40,1
opt-1.3b,gpw,gpw,swap_20,106,12.316849807675638,3.6755045069232533e-35,1
opt-1.3b,gpw,gpw,swap_20,107,12.638235335253922,6.496874901911042e-37,1
opt-1.3b,gpw,gpw,swap_20,108,10.625322691080601,1.1361247566907593e-26,1
opt-1.3b,gpw,gpw,swap_20,109,14.225540434218958,3.1805512099250414e-46,1
opt-1.3b,gpw,gpw,swap_20,110,13.135188917974798,1.0348712499410072e-39,1
opt-1.3b,gpw,gpw,swap_20,111,14.52098078635141,4.461220238765201e-48,1
opt-1.3b,gpw,gpw,swap_20,112,12.994941531394455,6.535381121337453e-39,1
opt-1.3b,gpw,gpw,swap_20,113,13.324813049060973,8.302410817862853e-41,1
opt-1.3b,gpw,gpw,swap_20,114,13.25955536882589,1.9862200681414547e-40,1
opt-1.3b,gpw,gpw,swap_20,115,12.074760974591817,7.179042513702115e-34,1
