model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw,gpw,synonym_30,0,12.33355794974569,2.987451926503757e-35,1
opt-1.3b,gpw,gpw,synonym_30,1,11.992795266296715,1.938003698774027e-33,1
opt-1.3b,gpw,gpw,synonym_30,2,9.496077922816225,1.0897234476172701e-21,1
opt-1.3b,gpw,gpw,synonym_30,3,12.41417650823518,1.094639066218078e-35,1
opt-1.3b,gpw,gpw,synonym_30,4,6.943944384329417,1.906503325794328e-12,1
opt-1.3b,gpw,gpw,synonym_30,5,12.458472111918558,6.287843275850973e-36,1
opt-1.3b,gpw,gpw,synonym_30,6,10.149872152015202,1.6589889883390342e-24,1
opt-1.3b,gpw,gpw,synonym_30,7,10.410015168229755,1.115930458386823e-25,1
opt-1.3b,gpw,gpw,synonym_30,8,10.959307619937064,2.9978154506097106e-28,1
opt-1.3b,gpw,gpw,synonym_30,9,10.529171579479012,3.1694939824709523e-26,1
opt-1.3b,gpw,gpw,synonym_30,10,13.579529589672623,2.6482755458077923e-42,1
opt-1.3b,gpw,gpw,synonym_30,11,11.06429533273611,9.346314011028486e-29,1
opt-1.3b,gpw,gpw,synonym_30,12,10.14902651226442,1.673425839250949e-24,1
opt-1.3b,gpw,gpw,synonym_30,13,11.169479952253447,2.8758318001546875e-29,1
opt-1.3b,gpw,gpw,synonym_30,14,11.445011286448285,1.2453602816113936e-30,1
opt-1.3b,gpw,gpw,synonym_30,15,9.60593048564499,3.773656124975973e-22,1
opt-1.3b,gpw,gpw,synonym_30,16,10.538269129122824,2.877414515811524e-26,1
opt-1.3b,gpw,gpw,synonym_30,17,9.860474375104113,3.087846159773192e-23,1
opt-1.3b,gpw,gpw,synonym_30,18,8.507756922301617,8.866523667785177e-18,1
opt-1.3b,gpw,gpw,synonym_30,19,4.8762955561144965,5.404830498631347e-07,1
opt-1.3b,gpw,gpw,synonym_30,20,9.343130467417145,4.676355043341217e-21,1
opt-1.3b,gpw,gpw,synonym_30,21,9.175050417252134,2.2568159874591905e-20,1
opt-1.3b,gpw,gpw,synonym_30,22,8.655394238145027,2.456053992856932e-18,1
opt-1.3b,gpw,gpw,synonym_30,23,10.329109627631736,2.602069397329368e-25,1
opt-1.3b,gpw,gpw,synonym_30,24,11.396282699788449,2.1817788361159e-30,1
opt-1.3b,gpw,gpw,synonym_30,25,17.321073190173358,1.6310839865600707e-67,1
opt-1.3b,gpw,gpw,synonym_30,26,10.22079683006697,8.001001001970353e-25,1
opt-1.3b,gpw,gpw,synonym_30,27,7.455150475586434,4.488266041214872e-14,1
opt-1.3b,gpw,gpw,synonym_30,28,11.827093206138118,1.4138255085167173e-32,1
opt-1.3b,gpw,gpw,synonym_30,29,15.37065079272162,1.2878443854698008e-53,1
opt-1.3b,gpw,gpw,synonym_30,30,9.891093454831108,2.2751512167172643e-23,1
opt-1.3b,gpw,gpw,synonym_30,31,13.926636254573388,2.1821540456695592e-44,1
opt-1.3b,gpw,gpw,synonym_30,32,12.490713312924433,4.194901781255617e-36,1
opt-1.3b,gpw,gpw,synonym_30,33,17.11678622830372,5.562502365606101e-66,1
opt-1.3b,gpw,gpw,synonym_30,34,9.766206998124712,7.861425417955544e-23,1
opt-1.3b,gpw,gpw,synonym_30,35,8.771856009167026,8.787252669645549e-19,1
opt-1.3b,gpw,gpw,synonym_30,36,10.794588946961444,1.825462746580243e-27,1
opt-1.3b,gpw,gpw,synonym_30,37,12.976375585022803,8.328929676123026e-39,1
opt-1.3b,gpw,gpw,synonym_30,38,13.169571617947954,6.56703853438969e-40,1
opt-1.3b,gpw,gpw,synonym_30,39,11.281614049956616,8.087533440339824e-30,1
opt-1.3b,gpw,gpw,synonym_30,40,13.56183856457531,3.371230585820412e-42,1
opt-1.3b,gpw,gpw,synonym_30,41,11.048229367610242,1.1179053689214576e-28,1
opt-1.3b,gpw,gpw,synonym_30,42,11.709227663260569,5.715808760208183e-32,1
opt-1.3b,gpw,gpw,synonym_30,43,15.2803941179253,5.165700435140422e-53,1
opt-1.3b,gpw,gpw,synonym_30,44,13.447241034354057,1.5978755152224995e-41,1
opt-1.3b,gpw,gpw,synonym_30,45,12.740412973938517,1.7626191406212983e-37,1
opt-1.3b,gpw,gpw,synonym_30,46,12.846183474362467,4.517969966371444e-38,1
opt-1.3b,gpw,gpw,synonym_30,47,10.534382146544159,2.99879102214672e-26,1
opt-1.3b,gpw,gpw,synonym_30,48,13.633397564336777,1.267490180331428e-42,1
opt-1.3b,gpw,gpw,synonym_30,49,10.848604797842746,1.0124631011239439e-27,1
opt-1.3b,gpw,gpw,synonym_30,50,9.274085715025134,8.957442562856997e-21,1
opt-1.3b,gpw,gpw,synonym_30,51,14.360380135521192,4.586133217643359e-47,1
opt-1.3b,gpw,gpw,synonym_30,52,10.534472316565074,2.9959186532067836e-26,1
opt-1.3b,gpw,gpw,synonym_30,53,12.668201958158548,4.436241215258578e-37,1
opt-1.3b,gpw,gpw,synonym_30,54,5.633937876177122,8.807024701580602e-09,1
opt-1.3b,gpw,gpw,synonym_30,55,8.672182821677353,2.119571536489654e-18,1
opt-1.3b,gpw,gpw,synonym_30,56,10.635571165472575,1.0178876585247077e-26,1
opt-1.3b,gpw,gpw,synonym_30,57,12.72359728083751,2.1862839361309514e-37,1
opt-1.3b,gpw,gpw,synonym_30,58,11.265846076332863,9.674224980387761e-30,1
opt-1.3b,gpw,gpw,synonym_30,59,13.731375594392325,3.2935438337728435e-43,1
opt-1.3b,gpw,gpw,synonym_30,60,12.436430975022994,8.287287353866295e-36,1
opt-1.3b,gpw,gpw,synonym_30,61,14.315700956011804,8.729740528467744e-47,1
opt-1.3b,gpw,gpw,synonym_30,62,14.547464459390644,3.0304084788981326e-48,1
opt-1.3b,gpw,gpw,synonym_30,63,11.47814128617006,8.49467787685081e-31,1
opt-1.3b,gpw,gpw,synonym_30,64,7.437945296890952,5.113169384741091e-14,1
opt-1.3b,gpw,gpw,synonym_30,65,9.933935719079757,1.4816164834409638e-23,1
opt-1.3b,gpw,gpw,synonym_30,66,10.79793791759868,1.7601025174383147e-27,1
opt-1.3b,gpw,gpw,synonym_30,67,15.386605819169104,1.0065961528017941e-53,1
opt-1.3b,gpw,gpw,synonym_30,68,12.667813589803913,4.45825567298494e-37,1
opt-1.3b,gpw,gpw,synonym_30,69,9.016539617664256,9.706211589546052e-20,1
opt-1.3b,gpw,gpw,synonym_30,70,11.330076062692031,4.656191838847417e-30,1
opt-1.3b,gpw,gpw,synonym_30,71,10.243918434423277,6.301323647793027e-25,1
opt-1.3b,gpw,gpw,synonym_30,72,11.898081821815454,6.0549341525178275e-33,1
opt-1.3b,gpw,gpw,synonym_30,73,11.700787343517371,6.313819063002489e-32,1
opt-1.3b,gpw,gpw,synonym_30,74,11.183958609427691,2.4430386018462668e-29,1
opt-1.3b,gpw,gpw,synonym_30,75,11.890863655541862,6.601707608385656e-33,1
opt-1.3b,gpw,gpw,synonym_30,76,13.813114115742936,1.0622264886981249e-43,1
opt-1.3b,gpw,gpw,synonym_30,77,10.844203876209097,1.0623881854556638e-27,1
opt-1.3b,gpw,gpw,synonym_30,78,11.162315514823405,3.117311908666709e-29,1
opt-1.3b,gpw,gpw,synonym_30,79,5.422320300024989,2.9415172365495403e-08,1
opt-1.3b,gpw,gpw,synonym_30,80,11.058707864074702,9.947139525995614e-29,1
opt-1.3b,gpw,gpw,synonym_30,81,12.784608299763109,9.993361213289799e-38,1
opt-1.3b,gpw,gpw,synonym_30,82,8.905266029190228,2.662908546639403e-19,1
opt-1.3b,gpw,gpw,synonym_30,83,12.054897214207516,9.13801725047218e-34,1
opt-1.3b,gpw,gpw,synonym_30,84,4.078529119538856,2.266076322867969e-05,1
opt-1.3b,gpw,gpw,synonym_30,85,13.715292199996679,4.1117214133309465e-43,1
opt-1.3b,gpw,gpw,synonym_30,86,10.361624934241652,1.8530583569129271e-25,1
opt-1.3b,gpw,gpw,synonym_30,87,9.552600397230837,6.3240475664283065e-22,1
opt-1.3b,gpw,gpw,synonym_30,88,9.901264802295112,2.0552165694110056e-23,1
opt-1.3b,gpw,gpw,synonym_30,89,9.72605438301386,1.1673693940314024e-22,1
opt-1.3b,gpw,gpw,synonym_30,90,12.141764767509496,3.1721379110240523e-34,1
opt-1.3b,gpw,gpw,synonym_30,91,10.891131881259124,6.352564372126005e-28,1
opt-1.3b,gpw,gpw,synonym_30,92,11.868190114228167,8.658675564132613e-33,1
opt-1.3b,gpw,gpw,synonym_30,93,12.299559794569499,4.5534547018248124e-35,1
opt-1.3b,gpw,gpw,synonym_30,94,11.802110648509801,1.9032128167026428e-32,1
