model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw,gpw,typo_10,0,12.357146804611242,2.228484239042051e-35,1
opt-1.3b,gpw,gpw,typo_10,1,12.35306808698669,2.3444259379786866e-35,1
opt-1.3b,gpw,gpw,typo_10,2,10.249475080783073,5.949397934695875e-25,1
opt-1.3b,gpw,gpw,typo_10,3,12.273449027978993,6.288950230864635e-35,1
opt-1.3b,gpw,gpw,typo_10,4,7.770103673786383,3.92109564774556e-15,1
opt-1.3b,gpw,gpw,typo_10,5,13.005554302831987,5.688548055275678e-39,1
opt-1.3b,gpw,gpw,typo_10,6,11.104480953548364,5.965425242079713e-29,1
opt-1.3b,gpw,gpw,typo_10,7,10.029584140282463,5.64957425686823e-24,1
opt-1.3b,gpw,gpw,typo_10,8,10.724776912389334,3.893738135600621e-27,1
opt-1.3b,gpw,gpw,typo_10,9,11.065440881130765,9.227653548232322e-29,1
opt-1.3b,gpw,gpw,typo_10,10,14.243712936845116,2.452508522715228e-46,1
opt-1.3b,gpw,gpw,typo_10,11,11.600145777126395,2.0568845285196392e-31,1
opt-1.3b,gpw,gpw,typo_10,12,11.546382965677381,3.8496499926197325e-31,1
opt-1.3b,gpw,gpw,typo_10,13,11.679965648212374,8.068036372165586e-32,1
opt-1.3b,gpw,gpw,typo_10,14,12.550693426763646,1.9702205338614238e-36,1
opt-1.3b,gpw,gpw,typo_10,15,10.572626029434648,1.9957915901785114e-26,1
opt-1.3b,gpw,gpw,typo_10,16,10.707606167382536,4.6877381891574395e-27,1
opt-1.3b,gpw,gpw,typo_10,17,11.680694244902755,7.999174773687739e-32,1
opt-1.3b,gpw,gpw,typo_10,18,10.432804684491929,8.781317776700482e-26,1
opt-1.3b,gpw,gpw,typo_10,19,5.135947863097346,1.4036274166713452e-07,1
opt-1.3b,gpw,gpw,typo_10,20,11.092226392381477,6.841949688536241e-29,1
opt-1.3b,gpw,gpw,typo_10,21,10.333362915321349,2.4891991055538537e-25,1
opt-1.3b,gpw,gpw,typo_10,22,7.926897184721734,1.1234458220584555e-15,1
opt-1.3b,gpw,gpw,typo_10,23,11.713484054123645,5.435923206805674e-32,1
opt-1.3b,gpw,gpw,typo_10,24,11.787732357103359,2.2576768238227626e-32,1
opt-1.3b,gpw,gpw,typo_10,25,17.54073387351479,3.5008664096364815e-69,1
opt-1.3b,gpw,gpw,typo_10,26,11.057840200021994,1.0043815992704199e-28,1
opt-1.3b,gpw,gpw,typo_10,27,8.11430220761325,2.442920603875777e-16,1
opt-1.3b,gpw,gpw,typo_10,28,12.513528903423216,3.148179503554891e-36,1
opt-1.3b,gpw,gpw,typo_10,29,15.153013777253928,3.618519215576371e-52,1
opt-1.3b,gpw,gpw,typo_10,30,10.0597817257154,4.1591283824701335e-24,1
opt-1.3b,gpw,gpw,typo_10,31,13.505323773548737,7.273639937708284e-42,1
opt-1.3b,gpw,gpw,typo_10,32,12.866633087777826,3.468014582112813e-38,1
opt-1.3b,gpw,gpw,typo_10,33,17.29626508047576,2.5094510982010378e-67,1
opt-1.3b,gpw,gpw,typo_10,34,9.835552762647312,3.9565923251768355e-23,1
opt-1.3b,gpw,gpw,typo_10,35,10.966875205430318,2.7572683634642835e-28,1
opt-1.3b,gpw,gpw,typo_10,36,12.502830527967165,3.601989255497215e-36,1
opt-1.3b,gpw,gpw,typo_10,37,13.69303171457879,5.5873805309828314e-43,1
opt-1.3b,gpw,gpw,typo_10,38,12.899426498070548,2.2672963706264456e-38,1
opt-1.3b,gpw,gpw,typo_10,39,11.935973521685307,3.842721025439208e-33,1
