model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,kgw,kgw,clean,0,6.88128713803285,2.965707777173803e-12,1
opt-1.3b,kgw,kgw,clean,1,5.642447102306373,8.382502663279706e-09,1
opt-1.3b,kgw,kgw,clean,2,8.794269798371534,7.199061690071705e-19,1
opt-1.3b,kgw,kgw,clean,3,6.742363047141518,7.791555319103857e-12,1
opt-1.3b,kgw,kgw,clean,4,2.6765168951565537,0.0037195907481581475,0
opt-1.3b,kgw,kgw,clean,5,4.500334659577304,3.392328038562103e-06,1
opt-1.3b,kgw,kgw,clean,6,7.526830620570085,2.5993368243689674e-14,1
opt-1.3b,kgw,kgw,clean,7,7.000904100746424,1.2715799158856045e-12,1
opt-1.3b,kgw,kgw,clean,8,3.5,0.00023262907903552502,0
opt-1.3b,kgw,kgw,clean,9,4.950821982042208,3.69503400418951e-07,1
opt-1.3b,kgw,kgw,clean,10,9.238768246345257,1.2467553092181986e-20,1
opt-1.3b,kgw,kgw,clean,11,6.205346816570694,2.728820451997841e-10,1
opt-1.3b,kgw,kgw,clean,12,8.384615384615385,2.5445939677319858e-17,1
opt-1.3b,kgw,kgw,clean,13,6.289112908548437,1.5964259604557608e-10,1
opt-1.3b,kgw,kgw,clean,14,7.6783604533348715,8.056877912752253e-15,1
opt-1.3b,kgw,kgw,clean,15,7.708992893275452,6.340723736515667e-15,1
opt-1.3b,kgw,kgw,clean,16,7.526830620570085,2.5993368243689674e-14,1
opt-1.3b,kgw,kgw,clean,17,8.301992346604333,5.118990191247742e-17,1
opt-1.3b,kgw,kgw,clean,18,6.266171132537927,1.8501683162116876e-10,1
opt-1.3b,kgw,kgw,clean,19,4.478342947514801,3.761234153816301e-06,1
opt-1.3b,kgw,kgw,clean,20,8.347987115999214,3.4718073519633426e-17,1
opt-1.3b,kgw,kgw,clean,21,7.688539286732972,7.441216078329191e-15,1
opt-1.3b,kgw,kgw,clean,22,3.211586167968363,0.0006600218837805989,0
opt-1.3b,kgw,kgw,clean,23,7.3747734363161435,8.231238464817856e-14,1
opt-1.3b,kgw,kgw,clean,24,9.861475785257115,3.0571997039881896e-23,1
opt-1.3b,kgw,kgw,clean,25,8.301992346604333,5.118990191247742e-17,1
opt-1.3b,kgw,kgw,clean,26,6.789347398332044,5.632095319291104e-12,1
opt-1.3b,kgw,kgw,clean,27,3.846036921299638,6.002184095221167e-05,0
opt-1.3b,kgw,kgw,clean,28,9.683798649504904,1.766690074286718e-22,1
