model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,kgw,kgw,copypaste_50,0,1.6250287883216874,0.05207821242902394,0
opt-1.3b,kgw,kgw,copypaste_50,1,2.6483388435275774,0.004044420252426335,0
opt-1.3b,kgw,kgw,copypaste_50,2,3.440358349615704,0.00029047222178918305,0
opt-1.3b,kgw,kgw,copypaste_50,3,2.914609664251715,0.001780668309956563,0
opt-1.3b,kgw,kgw,copypaste_50,4,0.7016464154456235,0.24144984889009574,0
opt-1.3b,kgw,kgw,copypaste_50,5,2.2283440581246223,0.01292879023172146,0
opt-1.3b,kgw,kgw,copypaste_50,6,1.5713484026367723,0.05805087199027432,0
opt-1.3b,kgw,kgw,copypaste_50,7,2.6923076923076925,0.00354797227176546,0
opt-1.3b,kgw,kgw,copypaste_50,8,0.8451542547285166,0.19901235975346893,0
opt-1.3b,kgw,kgw,copypaste_50,9,0.1873171623163388,0.4257059837800803,0
opt-1.3b,kgw,kgw,copypaste_50,10,1.9595917942265426,0.025021760624352535,0
opt-1.3b,kgw,kgw,copypaste_50,11,2.154554539378824,0.015598354866466994,0
opt-1.3b,kgw,kgw,copypaste_50,12,3.0308072109137485,0.0012195046275434618,0
opt-1.3b,kgw,kgw,copypaste_50,13,3.064483880282937,0.0010902296227549766,0
opt-1.3b,kgw,kgw,copypaste_50,14,2.8167474033121844,0.002425633160940272,0
opt-1.3b,kgw,kgw,copypaste_50,15,1.889822365046136,0.02939086067767943,0
opt-1.3b,kgw,kgw,copypaste_50,16,4.554678697692702,2.6232854184723104e-06,1
opt-1.3b,kgw,kgw,copypaste_50,17,4.447074385282452,4.35238506715059e-06,1
opt-1.3b,kgw,kgw,copypaste_50,18,0.684257329142735,0.24690634341038636,0
opt-1.3b,kgw,kgw,copypaste_50,19,0.7092993656151906,0.239069361010875,0
opt-1.3b,kgw,kgw,copypaste_50,20,0.6666666666666666,0.2524925375469229,0
opt-1.3b,kgw,kgw,copypaste_50,21,2.611714500396042,0.004504472646665261,0
opt-1.3b,kgw,kgw,copypaste_50,22,0.09759000729485333,0.46112892982603093,0
opt-1.3b,kgw,kgw,copypaste_50,23,2.743977362280141,0.003034986181011644,0
opt-1.3b,kgw,kgw,copypaste_50,24,1.687322975464215,0.0457706327444885,0
opt-1.3b,kgw,kgw,copypaste_50,25,1.1272429603813559,0.12981988569064323,0
opt-1.3b,kgw,kgw,copypaste_50,26,2.0976176963403033,0.017969465287011262,0
opt-1.3b,kgw,kgw,copypaste_50,27,0.3779644730092272,0.3527284930556367,0
opt-1.3b,kgw,kgw,copypaste_50,28,4.569057743101286,2.4496090145837722e-06,1
opt-1.3b,kgw,kgw,copypaste_50,29,3.377268214705401,0.0003660481250520678,0
opt-1.3b,kgw,kgw,copypaste_50,30,1.9595917942265426,0.025021760624352535,0
opt-1.3b,kgw,kgw,copypaste_50,31,2.4945655218609,0.006305572049656974,0
opt-1.3b,kgw,kgw,copypaste_50,32,3.0,0.0013498980316300933,0
opt-1.3b,kgw,kgw,copypaste_50,33,2.8401877872187726,0.0022543491824521134,0
opt-1.3b,kgw,kgw,copypaste_50,34,1.9755138236055543,0.02410493371941841,0
opt-1.3b,kgw,kgw,copypaste_50,35,2.1345925502653977,0.016397153250725223,0
opt-1.3b,kgw,kgw,copypaste_50,36,-0.8307471607356973,0.7969417608902215,0
opt-1.3b,kgw,kgw,copypaste_50,37,2.5383654128340476,0.005568581530593918,0
opt-1.3b,kgw,kgw,copypaste_50,38,1.1818181818181819,0.11863892593413916,0
opt-1.3b,kgw,kgw,copypaste_50,39,1.9727878476642875,0.02425986914012536,0
opt-1.3b,kgw,kgw,copypaste_50,40,0.5262348115842176,0.2993625348264234,0
opt-1.3b,kgw,kgw,copypaste_50,41,1.9100460366360192,0.028063643058969596,0
opt-1.3b,kgw,kgw,copypaste_50,42,3.028960741674143,0.0012269828471966138,0
opt-1.3b,kgw,kgw,copypaste_50,43,1.3867504905630728,0.08275892934873508,0
opt-1.3b,kgw,kgw,copypaste_50,44,1.2570787221094177,0.1043625655876611,0
opt-1.3b,kgw,kgw,copypaste_50,45,3.460690386722844,0.00026939604783928704,0
opt-1.3b,kgw,kgw,copypaste_50,46,4.1061192205978925,2.0118093442406363e-05,1
opt-1.3b,kgw,kgw,copypaste_50,47,1.8905706613989794,0.02934083986408627,0
opt-1.3b,kgw,kgw,copypaste_50,48,2.553769592276246,0.005328187360645716,0
opt-1.3b,kgw,kgw,copypaste_50,49,3.1444714237466616,0.0008319358040275107,0
opt-1.3b,kgw,kgw,copypaste_50,50,2.5716777733705887,0.005060352002611566,0
opt-1.3b,kgw,kgw,copypaste_50,51,0.25630729731502827,0.3988567814868186,0
opt-1.3b,kgw,kgw,copypaste_50,52,1.6283046848759573,0.05173014830248165,0
opt-1.3b,kgw,kgw,copypaste_50,53,-1.762817881041723,0.961034394693719,0
opt-1.3b,kgw,kgw,copypaste_50,54,-0.40406101782088427,0.6569160750723804,0
opt-1.3b,kgw,kgw,copypaste_50,55,2.853216618208743,0.0021639554490924,0
opt-1.3b,kgw,kgw,copypaste_50,56,4.166190448976481,1.5486598861972775e-05,1
opt-1.3b,kgw,kgw,copypaste_50,57,2.0059435495071947,0.022431135576457407,0
opt-1.3b,kgw,kgw,copypaste_50,58,2.3533936216582085,0.009301464950567872,0
opt-1.3b,kgw,kgw,copypaste_50,59,3.407445820978048,0.0003278696263979458,0
opt-1.3b,kgw,kgw,copypaste_50,60,2.3877961974649913,0.008474869114503963,0
opt-1.3b,kgw,kgw,copypaste_50,61,3.4150623131078643,0.00031883710806233223,0
opt-1.3b,kgw,kgw,copypaste_50,62,3.1538461538461537,0.0008056700321293202,0
opt-1.3b,kgw,kgw,copypaste_50,63,2.3445110420178854,0.00952602318809781,0
opt-1.3b,kgw,kgw,copypaste_50,64,1.687322975464215,0.0457706327444885,0
opt-1.3b,kgw,kgw,copypaste_50,65,3.0311581059204498,0.0012180882244525334,0
opt-1.3b,kgw,kgw,copypaste_50,66,2.0250370845489347,0.021431778200032052,0
opt-1.3b,kgw,kgw,copypaste_50,67,1.1088319064318592,0.13375135170802682,0
opt-1.3b,kgw,kgw,copypaste_50,68,2.685501913944826,0.0036210479988006247,0
opt-1.3b,kgw,kgw,copypaste_50,69,2.177598558933893,0.0147179684671912,0
opt-1.3b,kgw,kgw,copypaste_50,70,4.120977570959454,1.8863407852792015e-05,1
opt-1.3b,kgw,kgw,copypaste_50,71,2.487592975524973,0.006430541569306241,0
opt-1.3b,kgw,kgw,copypaste_50,72,3.2071349029490928,0.0006703205586147392,0
opt-1.3b,kgw,kgw,copypaste_50,73,2.417468892076141,0.007814434914014179,0
opt-1.3b,kgw,kgw,copypaste_50,74,3.1666666666666665,0.0007709847844699757,0
opt-1.3b,kgw,kgw,copypaste_50,75,3.477574611687881,0.00025298610505456647,0
opt-1.3b,kgw,kgw,copypaste_50,76,2.4545454545454546,0.007053141473689767,0
opt-1.3b,kgw,kgw,copypaste_50,77,1.7797934348285147,0.03755488622481324,0
opt-1.3b,kgw,kgw,copypaste_50,78,1.2026755886059097,0.11455094203252936,0
opt-1.3b,kgw,kgw,copypaste_50,79,5.362108949786505,4.112795018509513e-08,1
opt-1.3b,kgw,kgw,copypaste_50,80,2.883223386981425,0.00196814093952304,0
opt-1.3b,kgw,kgw,copypaste_50,81,2.785430072655778,0.0026728384363271167,0
opt-1.3b,kgw,kgw,copypaste_50,82,1.756550621379892,0.0394972179168612,0
opt-1.3b,kgw,kgw,copypaste_50,83,3.3587572106361003,0.0003914691089455596,0
opt-1.3b,kgw,kgw,copypaste_50,84,2.5628464289109907,0.005190897894850881,0
opt-1.3b,kgw,kgw,copypaste_50,85,2.6680551940539985,0.0038145861932439174,0
opt-1.3b,kgw,kgw,copypaste_50,86,2.5227442221905942,0.005822153126270744,0
opt-1.3b,kgw,kgw,copypaste_50,87,4.492115813023073,3.525952761814776e-06,1
opt-1.3b,kgw,kgw,copypaste_50,88,2.8867513459481287,0.001946208561389314,0
opt-1.3b,kgw,kgw,copypaste_50,89,2.057182539299806,0.01983433523153327,0
opt-1.3b,kgw,kgw,copypaste_50,90,2.7760883751542687,0.0027508625771620995,0
opt-1.3b,kgw,kgw,copypaste_50,91,2.611714500396042,0.004504472646665261,0
opt-1.3b,kgw,kgw,copypaste_50,92,0.9712858623572641,0.16570297347245727,0
opt-1.3b,kgw,kgw,copypaste_50,93,4.093729435326078,2.122448124707276e-05,1
opt-1.3b,kgw,kgw,copypaste_50,94,1.4509525002200234,0.0733965436542855,0
opt-1.3b,kgw,kgw,copypaste_50,95,0.0,0.5,0
opt-1.3b,kgw,kgw,copypaste_50,96,3.178651465104663,0.0007398094482210352,0
opt-1.3b,kgw,kgw,copypaste_50,97,2.477637207378607,0.00661277734508615,0
opt-1.3b,kgw,kgw,copypaste_50,98,3.3486113494317533,0.0004060881875676722,0
opt-1.3b,kgw,kgw,copypaste_50,99,1.7149858514250882,0.04317391049183127,0
opt-1.3b,kgw,kgw,copypaste_50,100,2.740500835173419,0.0030672813040564175,0
opt-1.3b,kgw,kgw,copypaste_50,101,2.6539552107881486,0.003977719285504699,0
opt-1.3b,kgw,kgw,copypaste_50,102,3.2515866179421673,0.0005738140056702668,0
opt-1.3b,kgw,kgw,copypaste_50,103,2.9475317237328165,0.001601609418486267,0
opt-1.3b,kgw,kgw,copypaste_50,104,2.114803214967485,0.01722336137965525,0
opt-1.3b,kgw,kgw,copypaste_50,105,1.75,0.040059156863817086,0
opt-1.3b,kgw,kgw,copypaste_50,106,3.1081147595432452,0.0009414247018092002,0
opt-1.3b,kgw,kgw,copypaste_50,107,3.7702723072780877,8.153476050871297e-05,0
opt-1.3b,kgw,kgw,copypaste_50,108,2.53546276418555,0.005614943326458332,0
opt-1.3b,kgw,kgw,copypaste_50,109,2.4351231101124045,0.007443361916732887,0
opt-1.3b,kgw,kgw,copypaste_50,110,1.1971303267014333,0.1156278805703358,0
opt-1.3b,kgw,kgw,copypaste_50,111,2.487592975524973,0.006430541569306241,0
opt-1.3b,kgw,kgw,copypaste_50,112,2.9793811989685244,0.0014441560357556936,0
opt-1.3b,kgw,kgw,copypaste_50,113,2.137186834969645,0.016291399192806373,0
opt-1.3b,kgw,kgw,copypaste_50,114,2.2901101101359216,0.011007467221836431,0
opt-1.3b,kgw,kgw,copypaste_50,115,2.785430072655778,0.0026728384363271167,0
opt-1.3b,kgw,kgw,copypaste_50,116,1.9536514342895384,0.025371226724155614,0
opt-1.3b,kgw,kgw,copypaste_50,117,3.3657399079853345,0.0003816932568291965,0
opt-1.3b,kgw,kgw,copypaste_50,118,3.6472123976238753,0.0001325503897520064,0
opt-1.3b,kgw,kgw,copypaste_50,119,2.6726124191242437,0.0037631575832289435,0
opt-1.3b,kgw,kgw,copypaste_50,120,3.362422096189171,0.0003863096165329092,0
opt-1.3b,kgw,kgw,copypaste_50,121,3.2931992485002453,0.0004952712569430164,0
opt-1.3b,kgw,kgw,copypaste_50,122,2.5847594849602595,0.004872347379154415,0
opt-1.3b,kgw,kgw,copypaste_50,123,3.73552251236249,9.366290970844052e-05,0
opt-1.3b,kgw,kgw,copypaste_50,124,4.0,3.167124183311986e-05,0
opt-1.3b,kgw,kgw,copypaste_50,125,4.13802944301184,1.7515071356599595e-05,1
opt-1.3b,kgw,kgw,copypaste_50,126,1.3887301496588271,0.08245741127665074,0
opt-1.3b,kgw,kgw,copypaste_50,127,4.965095559306334,3.4333625337618413e-07,1
opt-1.3b,kgw,kgw,copypaste_50,128,2.0661644496493796,0.019406477187964278,0
opt-1.3b,kgw,kgw,copypaste_50,129,0.4508348173337161,0.32605430269140556,0
opt-1.3b,kgw,kgw,copypaste_50,130,-1.6502739940140694,0.9505565456103582,0
opt-1.3b,kgw,kgw,copypaste_50,131,0.9072647087265548,0.18213341599052596,0
opt-1.3b,kgw,kgw,copypaste_50,132,2.090605025017727,0.0182817424662973,0
opt-1.3b,kgw,kgw,copypaste_50,133,2.3772174470791843,0.008721900768019767,0
opt-1.3b,kgw,kgw,copypaste_50,134,0.9827076298239908,0.1628756772393583,0
opt-1.3b,kgw,kgw,copypaste_50,135,-0.25,0.5987063256829237,0
opt-1.3b,kgw,kgw,copypaste_50,136,2.1263507521967115,0.016737032554566735,0
opt-1.3b,kgw,kgw,copypaste_50,137,3.005203820042827,0.001327014679741171,0
opt-1.3b,kgw,kgw,copypaste_50,138,2.0554804791094465,0.01991630962237072,0
opt-1.3b,kgw,kgw,copypaste_50,139,2.401922307076307,0.008154585938877487,0
opt-1.3b,kgw,kgw,copypaste_50,140,4.3572240543554805,6.586120479240037e-06,1
opt-1.3b,kgw,kgw,copypaste_50,141,3.1918456710622443,0.0007068342188342937,0
opt-1.3b,kgw,kgw,copypaste_50,142,4.74464202095129,1.0443769521950939e-06,1
opt-1.3b,kgw,kgw,copypaste_50,143,2.477637207378607,0.00661277734508615,0
opt-1.3b,kgw,kgw,copypaste_50,144,4.417706308963743,4.987691933799409e-06,1
opt-1.3b,kgw,kgw,copypaste_50,145,3.3567254331867566,0.00039435697003702526,0
opt-1.3b,kgw,kgw,copypaste_50,146,1.7717591356565963,0.03821727430187178,0
opt-1.3b,kgw,kgw,copypaste_50,147,1.1607620001760186,0.12286935016992462,0
opt-1.3b,kgw,kgw,copypaste_50,148,4.251501948394743,1.0617083134084847e-05,1
opt-1.3b,kgw,kgw,copypaste_50,149,5.09786575873842,1.7175213297345411e-07,1
opt-1.3b,kgw,kgw,copypaste_50,150,3.3140686244339643,0.000459744686820846,0
opt-1.3b,kgw,kgw,copypaste_50,151,1.7056057308448833,0.044040755831095145,0
opt-1.3b,kgw,kgw,copypaste_50,152,3.0311581059204498,0.0012180882244525334,0
opt-1.3b,kgw,kgw,copypaste_50,153,2.2549181991052545,0.01206923188268247,0
opt-1.3b,kgw,kgw,copypaste_50,154,2.3497078032307295,0.009394076747597393,0
