model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,kgw,kgw,swap_20,0,4.666666666666667,1.530626736531063e-06,1
opt-1.3b,kgw,kgw,swap_20,1,4.637744119745204,1.7611623482680438e-06,1
opt-1.3b,kgw,kgw,swap_20,2,7.624928516630233,1.2208482594362616e-14,1
opt-1.3b,kgw,kgw,swap_20,3,3.9524197172898554,3.868244447142383e-05,0
opt-1.3b,kgw,kgw,swap_20,4,1.1538461538461537,0.12428162410859117,0
opt-1.3b,kgw,kgw,swap_20,5,3.4026920596804007,0.0003336271971084091,0
opt-1.3b,kgw,kgw,swap_20,6,6.482493908421918,4.5109364091735695e-11,1
opt-1.3b,kgw,kgw,swap_20,7,6.442505906317911,5.87583948106275e-11,1
opt-1.3b,kgw,kgw,swap_20,8,2.6678918753996625,0.0038164408938961493,0
opt-1.3b,kgw,kgw,swap_20,9,2.2,0.013903447513498595,0
opt-1.3b,kgw,kgw,swap_20,10,7.170446328259357,3.7376824561734446e-13,1
opt-1.3b,kgw,kgw,swap_20,11,4.549095241465446,2.6938528076351038e-06,1
opt-1.3b,kgw,kgw,swap_20,12,5.55008722526885,1.4276355148093259e-08,1
opt-1.3b,kgw,kgw,swap_20,13,4.134053154015559,1.782104923163215e-05,1
opt-1.3b,kgw,kgw,swap_20,14,6.328318816843779,1.2392332341272782e-10,1
opt-1.3b,kgw,kgw,swap_20,15,5.574706096853747,1.2397405414453448e-08,1
opt-1.3b,kgw,kgw,swap_20,16,4.762352359916263,9.567459308064275e-07,1
opt-1.3b,kgw,kgw,swap_20,17,6.599120175960898,2.0680247431313963e-11,1
opt-1.3b,kgw,kgw,swap_20,18,5.091566618724672,1.775585278827597e-07,1
opt-1.3b,kgw,kgw,swap_20,19,4.242640687119286,1.104524849929268e-05,1
opt-1.3b,kgw,kgw,swap_20,20,6.951146362593003,1.8116485425039785e-12,1
opt-1.3b,kgw,kgw,swap_20,21,5.5182813059347176,1.7116557009803835e-08,1
opt-1.3b,kgw,kgw,swap_20,22,2.057983021710106,0.019795881618345192,0
opt-1.3b,kgw,kgw,swap_20,23,5.55008722526885,1.4276355148093259e-08,1
opt-1.3b,kgw,kgw,swap_20,24,8.371578903249574,2.8425642549223813e-17,1
opt-1.3b,kgw,kgw,swap_20,25,5.664705542999467,7.363861263685456e-09,1
opt-1.3b,kgw,kgw,swap_20,26,4.879954250643349,5.30552261663643e-07,1
opt-1.3b,kgw,kgw,swap_20,27,2.2541740866685807,0.012092609161355633,0
opt-1.3b,kgw,kgw,swap_20,28,6.579069311495698,2.367010342099445e-11,1
opt-1.3b,kgw,kgw,swap_20,29,5.309907904212606,5.484032200576545e-08,1
opt-1.3b,kgw,kgw,swap_20,30,5.4272042023997455,2.8621812133695385e-08,1
opt-1.3b,kgw,kgw,swap_20,31,7.126121609641692,5.161825684876653e-13,1
opt-1.3b,kgw,kgw,swap_20,32,4.735369976417822,1.0932792506306225e-06,1
opt-1.3b,kgw,kgw,swap_20,33,6.064784348631227,6.606540975534045e-10,1
opt-1.3b,kgw,kgw,swap_20,34,5.24672182297103,7.741470186173145e-08,1
opt-1.3b,kgw,kgw,swap_20,35,6.902684899626333,2.5514368459936223e-12,1
opt-1.3b,kgw,kgw,swap_20,36,1.9611613513818404,0.02493010187845345,0
opt-1.3b,kgw,kgw,swap_20,37,6.394501948737977,8.053574766176024e-11,1
opt-1.3b,kgw,kgw,swap_20,38,3.8786538958710977,5.251803467996551e-05,0
opt-1.3b,kgw,kgw,swap_20,39,5.439200829200679,2.6760049370426614e-08,1
opt-1.3b,kgw,kgw,swap_20,40,5.924741690788224,1.5639433139505988e-09,1
opt-1.3b,kgw,kgw,swap_20,41,6.874757819877527,3.104762945423322e-12,1
opt-1.3b,kgw,kgw,swap_20,42,3.659965687982512,0.00012612451166366307,0
opt-1.3b,kgw,kgw,swap_20,43,6.304886387294215,1.442026870321976e-10,1
opt-1.3b,kgw,kgw,swap_20,44,6.508324574731462,3.7996792042019115e-11,1
opt-1.3b,kgw,kgw,swap_20,45,5.248471023777467,7.668337860242409e-08,1
opt-1.3b,kgw,kgw,swap_20,46,4.804938261204724,7.739963240141407e-07,1
opt-1.3b,kgw,kgw,swap_20,47,6.0062587780306735,9.492654487941623e-10,1
opt-1.3b,kgw,kgw,swap_20,48,6.180982563844155,3.185192654948069e-10,1
opt-1.3b,kgw,kgw,swap_20,49,6.634888026970371,1.6237448241688475e-11,1
opt-1.3b,kgw,kgw,swap_20,50,5.003447087620763,2.81570641359641e-07,1
opt-1.3b,kgw,kgw,swap_20,51,4.858328102887583,5.919056086696336e-07,1
opt-1.3b,kgw,kgw,swap_20,52,4.199206274206274,1.3392611712705536e-05,1
opt-1.3b,kgw,kgw,swap_20,53,2.82842712474619,0.002338867490523633,0
opt-1.3b,kgw,kgw,swap_20,54,3.6536565724225296,0.00012926600711980692,0
opt-1.3b,kgw,kgw,swap_20,55,5.923076923076923,1.579864745586506e-09,1
opt-1.3b,kgw,kgw,swap_20,56,7.264243303278792,1.8756613389139223e-13,1
opt-1.3b,kgw,kgw,swap_20,57,4.611166570712572,2.0020775800182297e-06,1
opt-1.3b,kgw,kgw,swap_20,58,5.477225575051661,2.160231528913744e-08,1
opt-1.3b,kgw,kgw,swap_20,59,4.817730411281797,7.26001858764472e-07,1
