model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,kgw,kgw,synonym_30,0,5.4443572293729625,2.5996392782673457e-08,1
opt-1.3b,kgw,kgw,synonym_30,1,5.750236290040988,4.4559404197027006e-09,1
opt-1.3b,kgw,kgw,synonym_30,2,6.800833544382315,5.200777484647375e-12,1
opt-1.3b,kgw,kgw,synonym_30,3,4.919349550499537,4.341614042727357e-07,1
opt-1.3b,kgw,kgw,synonym_30,4,2.3719978133155237,0.008846097710584085,0
opt-1.3b,kgw,kgw,synonym_30,5,3.7523938719322816,8.757699439431295e-05,0
opt-1.3b,kgw,kgw,synonym_30,6,5.132649025747366,1.4284617833527612e-07,1
opt-1.3b,kgw,kgw,synonym_30,7,5.7817446699565895,3.6964929013510825e-09,1
opt-1.3b,kgw,kgw,synonym_30,8,3.6380343755449944,0.00013736338190397114,0
opt-1.3b,kgw,kgw,synonym_30,9,2.7386127875258306,0.00308494966027208,0
opt-1.3b,kgw,kgw,synonym_30,10,6.876147688580858,3.0746374961926864e-12,1
opt-1.3b,kgw,kgw,synonym_30,11,4.284382359616124,9.162376813731498e-06,1
opt-1.3b,kgw,kgw,synonym_30,12,6.142857142857143,4.0525086604541505e-10,1
opt-1.3b,kgw,kgw,synonym_30,13,4.813544719430521,7.413820077412897e-07,1
opt-1.3b,kgw,kgw,synonym_30,14,7.053457948803055,8.726263411527065e-13,1
opt-1.3b,kgw,kgw,synonym_30,15,4.808326112068523,7.609966814311436e-07,1
opt-1.3b,kgw,kgw,synonym_30,16,5.484543180953479,2.0726961159030712e-08,1
opt-1.3b,kgw,kgw,synonym_30,17,6.51664535375884,3.594856933238078e-11,1
opt-1.3b,kgw,kgw,synonym_30,18,4.221158824088691,1.2152480347389484e-05,1
opt-1.3b,kgw,kgw,synonym_30,19,3.1601109742955256,0.0007885452868377733,0
opt-1.3b,kgw,kgw,synonym_30,20,6.599120175960898,2.0680247431313963e-11,1
opt-1.3b,kgw,kgw,synonym_30,21,4.992664776517709,2.9775934294547007e-07,1
opt-1.3b,kgw,kgw,synonym_30,22,2.4748737341529163,0.006664164390408773,0
opt-1.3b,kgw,kgw,synonym_30,23,6.030848532389,8.155050215481052e-10,1
opt-1.3b,kgw,kgw,synonym_30,24,7.211102550927979,2.775031740611327e-13,1
opt-1.3b,kgw,kgw,synonym_30,25,6.3620700899060365,9.952628272778471e-11,1
opt-1.3b,kgw,kgw,synonym_30,26,4.447495899966607,4.343855838500023e-06,1
opt-1.3b,kgw,kgw,synonym_30,27,3.0579641983136328,0.0011142309914897396,0
opt-1.3b,kgw,kgw,synonym_30,28,5.343528749093223,4.557718205880905e-08,1
opt-1.3b,kgw,kgw,synonym_30,29,5.110691830315732,1.6049060082938622e-07,1
opt-1.3b,kgw,kgw,synonym_30,30,5.923306635429758,1.5776584838548188e-09,1
opt-1.3b,kgw,kgw,synonym_30,31,7.239596998858593,2.250099653611656e-13,1
opt-1.3b,kgw,kgw,synonym_30,32,3.8794008872222903,5.235702831032441e-05,0
opt-1.3b,kgw,kgw,synonym_30,33,6.102281363378604,5.228254581008607e-10,1
opt-1.3b,kgw,kgw,synonym_30,34,4.185789451624787,1.420883383516844e-05,1
opt-1.3b,kgw,kgw,synonym_30,35,7.786068143990081,3.4563338330252066e-15,1
opt-1.3b,kgw,kgw,synonym_30,36,1.889822365046136,0.02939086067767943,0
opt-1.3b,kgw,kgw,synonym_30,37,5.342584568965026,4.581529920868757e-08,1
opt-1.3b,kgw,kgw,synonym_30,38,4.040610178208843,2.6656155694161302e-05,1
opt-1.3b,kgw,kgw,synonym_30,39,4.642383454426297,1.7220645783316147e-06,1
opt-1.3b,kgw,kgw,synonym_30,40,5.381569503646742,3.691959134819291e-08,1
opt-1.3b,kgw,kgw,synonym_30,41,4.714285714285714,1.2128005713267247e-06,1
opt-1.3b,kgw,kgw,synonym_30,42,3.917571750594063,4.472271354062666e-05,0
opt-1.3b,kgw,kgw,synonym_30,43,5.27656187902292,6.581503945719524e-08,1
opt-1.3b,kgw,kgw,synonym_30,44,7.195952048778874,3.1013213119378214e-13,1
opt-1.3b,kgw,kgw,synonym_30,45,4.773552349189946,9.050223592434802e-07,1
opt-1.3b,kgw,kgw,synonym_30,46,6.324937226397934,1.2666777421038936e-10,1
opt-1.3b,kgw,kgw,synonym_30,47,6.203711269841068,2.7573460937016074e-10,1
opt-1.3b,kgw,kgw,synonym_30,48,6.030848532389,8.155050215481052e-10,1
opt-1.3b,kgw,kgw,synonym_30,49,6.111753868860832,4.927104288367483e-10,1
opt-1.3b,kgw,kgw,synonym_30,50,6.652172325492229,1.4439913604164401e-11,1
opt-1.3b,kgw,kgw,synonym_30,51,5.398618130615209,3.357807155898911e-08,1
opt-1.3b,kgw,kgw,synonym_30,52,3.8890872965260113,5.031096105981841e-05,0
opt-1.3b,kgw,kgw,synonym_30,53,1.4795908857482156,0.06949123014659277,0
opt-1.3b,kgw,kgw,synonym_30,54,3.5970073030870453,0.0001609497245481617,0
opt-1.3b,kgw,kgw,synonym_30,55,7.688539286732972,7.441216078329191e-15,1
opt-1.3b,kgw,kgw,synonym_30,56,7.201190377787748,2.984456878038297e-13,1
opt-1.3b,kgw,kgw,synonym_30,57,4.390876079567037,5.644743513275071e-06,1
opt-1.3b,kgw,kgw,synonym_30,58,4.287464628562721,9.036201187114988e-06,1
opt-1.3b,kgw,kgw,synonym_30,59,6.203711269841068,2.7573460937016074e-10,1
opt-1.3b,kgw,kgw,synonym_30,60,4.919349550499537,4.341614042727357e-07,1
opt-1.3b,kgw,kgw,synonym_30,61,5.827486247053352,2.8134242707645277e-09,1
opt-1.3b,kgw,kgw,synonym_30,62,3.244428422615251,0.0005884329553123689,0
opt-1.3b,kgw,kgw,synonym_30,63,3.9357747116222446,4.1464370667835294e-05,0
opt-1.3b,kgw,kgw,synonym_30,64,6.487446070815474,4.3651786754164045e-11,1
opt-1.3b,kgw,kgw,synonym_30,65,4.964109598504073,3.450848174465341e-07,1
opt-1.3b,kgw,kgw,synonym_30,66,4.014236410543298,2.981927441222041e-05,1
opt-1.3b,kgw,kgw,synonym_30,67,2.9463114522583864,0.0016079420581243194,0
opt-1.3b,kgw,kgw,synonym_30,68,7.333518105580571,1.1209408912318128e-13,1
opt-1.3b,kgw,kgw,synonym_30,69,3.6212532605860317,0.00014658966813799605,0
