model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,kgw,kgw,typo_10,0,5.515528318445926,1.738668717267997e-08,1
opt-1.3b,kgw,kgw,typo_10,1,4.657094007013809,1.6035201387601123e-06,1
opt-1.3b,kgw,kgw,typo_10,2,6.7082039324993685,9.851722355899584e-12,1
opt-1.3b,kgw,kgw,typo_10,3,6.203180801394921,2.7666603547868115e-10,1
opt-1.3b,kgw,kgw,typo_10,4,1.4990633779917228,0.06692859553711482,0
opt-1.3b,kgw,kgw,typo_10,5,4.880935300919764,5.279194015142408e-07,1
opt-1.3b,kgw,kgw,typo_10,6,6.07824439662103,6.075273503638672e-10,1
opt-1.3b,kgw,kgw,typo_10,7,6.410061535499397,7.273045643139991e-11,1
opt-1.3b,kgw,kgw,typo_10,8,2.9824045403173027,0.0014299691042320467,0
opt-1.3b,kgw,kgw,typo_10,9,3.6365491603879585,0.00013815746419328773,0
opt-1.3b,kgw,kgw,typo_10,10,8.565807433909466,5.366055661136562e-18,1
opt-1.3b,kgw,kgw,typo_10,11,4.474797148900666,3.8241945385136866e-06,1
opt-1.3b,kgw,kgw,typo_10,12,6.639528095680697,1.5734450865257178e-11,1
opt-1.3b,kgw,kgw,typo_10,13,5.192034211302627,1.0400438429990011e-07,1
opt-1.3b,kgw,kgw,typo_10,14,6.538155301572053,3.114111709372728e-11,1
opt-1.3b,kgw,kgw,typo_10,15,7.285714285714286,1.5998522282847063e-13,1
opt-1.3b,kgw,kgw,typo_10,16,5.813776741499453,3.0539431798547487e-09,1
opt-1.3b,kgw,kgw,typo_10,17,6.69428648196286,1.0836323601728226e-11,1
opt-1.3b,kgw,kgw,typo_10,18,5.764613536983137,4.092258283921619e-09,1
opt-1.3b,kgw,kgw,typo_10,19,3.754671886544782,8.678435007404813e-05,0
opt-1.3b,kgw,kgw,typo_10,20,5.746404442881133,4.558055494723441e-09,1
opt-1.3b,kgw,kgw,typo_10,21,7.318290582450271,1.2557478439800583e-13,1
opt-1.3b,kgw,kgw,typo_10,22,2.057983021710106,0.019795881618345192,0
opt-1.3b,kgw,kgw,typo_10,23,6.634888026970371,1.6237448241688475e-11,1
opt-1.3b,kgw,kgw,typo_10,24,8.632907598026236,2.9905876219938265e-18,1
opt-1.3b,kgw,kgw,typo_10,25,5.943753454527293,1.392842431451692e-09,1
opt-1.3b,kgw,kgw,typo_10,26,5.336995079959928,4.724980160417156e-08,1
opt-1.3b,kgw,kgw,typo_10,27,2.7852424952911656,0.0026743852602410154,0
opt-1.3b,kgw,kgw,typo_10,28,7.880292500979269,1.6330779471699503e-15,1
opt-1.3b,kgw,kgw,typo_10,29,5.723364926103181,5.221730232957428e-09,1
opt-1.3b,kgw,kgw,typo_10,30,5.834599659915782,2.6959936079786234e-09,1
opt-1.3b,kgw,kgw,typo_10,31,7.4256676831474575,5.610620401892115e-14,1
opt-1.3b,kgw,kgw,typo_10,32,4.788143250726077,8.416573880276136e-07,1
opt-1.3b,kgw,kgw,typo_10,33,5.98769229473204,1.0641961814061393e-09,1
opt-1.3b,kgw,kgw,typo_10,34,5.513619500836088,1.7576407886634774e-08,1
opt-1.3b,kgw,kgw,typo_10,35,7.866796456403742,1.819189460057373e-15,1
opt-1.3b,kgw,kgw,typo_10,36,2.116950987028628,0.01713200386743457,0
opt-1.3b,kgw,kgw,typo_10,37,5.816546635685188,3.0037893850066217e-09,1
opt-1.3b,kgw,kgw,typo_10,38,4.723677731718297,1.1580867658435437e-06,1
opt-1.3b,kgw,kgw,typo_10,39,5.858449331643022,2.3360455671592144e-09,1
opt-1.3b,kgw,kgw,typo_10,40,6.226072209288895,2.3913684975960916e-10,1
opt-1.3b,kgw,kgw,typo_10,41,7.375983202606159,8.156829194177346e-14,1
opt-1.3b,kgw,kgw,typo_10,42,4.789801303999145,8.347327139406116e-07,1
opt-1.3b,kgw,kgw,typo_10,43,5.982326913009489,1.099861067223953e-09,1
opt-1.3b,kgw,kgw,typo_10,44,8.263378392636577,7.080322737613785e-17,1
opt-1.3b,kgw,kgw,typo_10,45,7.035989954453833,9.892559619316565e-13,1
opt-1.3b,kgw,kgw,typo_10,46,6.05599924897232,6.977432626983523e-10,1
opt-1.3b,kgw,kgw,typo_10,47,6.135536548922954,4.243612478224187e-10,1
opt-1.3b,kgw,kgw,typo_10,48,6.466659072350347,5.009667436542175e-11,1
opt-1.3b,kgw,kgw,typo_10,49,6.892398322730286,2.7429751127318837e-12,1
opt-1.3b,kgw,kgw,typo_10,50,6.340004114660577,1.1487951301881662e-10,1
opt-1.3b,kgw,kgw,typo_10,51,6.215815605080611,2.552936787723579e-10,1
opt-1.3b,kgw,kgw,typo_10,52,5.235403405555072,8.23124517806177e-08,1
