model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,unigram,unigram,clean,0,7.071067811865475,7.687298972140174e-13,1
opt-1.3b,unigram,unigram,clean,1,7.919595949289332,1.1914181422915142e-15,1
opt-1.3b,unigram,unigram,clean,2,9.9498743710662,1.2625088312013694e-23,1
opt-1.3b,unigram,unigram,clean,3,3.2796489996607274,0.0005196815495667614,0
opt-1.3b,unigram,unigram,clean,4,9.146768081493795,2.9331139018002837e-20,1
opt-1.3b,unigram,unigram,clean,5,9.758073580374356,8.518020964828397e-23,1
opt-1.3b,unigram,unigram,clean,6,8.76812408671319,9.083378086190543e-19,1
opt-1.3b,unigram,unigram,clean,7,5.5154328932550705,1.739612429861589e-08,1
opt-1.3b,unigram,unigram,clean,8,5.4,3.332044848542845e-08,1
opt-1.3b,unigram,unigram,clean,9,9.002791303605866,1.1002518953143255e-19,1
opt-1.3b,unigram,unigram,clean,10,9.192388155425117,1.9210741635603234e-20,1
opt-1.3b,unigram,unigram,clean,11,6.929646455628165,2.10946826200288e-12,1
opt-1.3b,unigram,unigram,clean,12,5.79827560572969,3.35001382704243e-09,1
opt-1.3b,unigram,unigram,clean,13,9.333809511662427,5.106625839287897e-21,1
opt-1.3b,unigram,unigram,clean,14,7.636753236814713,1.1138393397338932e-14,1
opt-1.3b,unigram,unigram,clean,15,9.002791303605866,1.1002518953143255e-19,1
opt-1.3b,unigram,unigram,clean,16,5.9941491941228415,1.0227675814286492e-09,1
opt-1.3b,unigram,unigram,clean,17,8.061017305526642,3.783105810931244e-16,1
opt-1.3b,unigram,unigram,clean,18,9.616652224137045,3.4004302826656326e-22,1
opt-1.3b,unigram,unigram,clean,19,6.094000500924098,5.506165742165644e-10,1
opt-1.3b,unigram,unigram,clean,20,8.76812408671319,9.083378086190543e-19,1
opt-1.3b,unigram,unigram,clean,21,10.606601717798213,1.3883246930152643e-26,1
opt-1.3b,unigram,unigram,clean,22,9.192388155425117,1.9210741635603234e-20,1
opt-1.3b,unigram,unigram,clean,23,6.788225099390856,5.676071792460946e-12,1
opt-1.3b,unigram,unigram,clean,24,8.061017305526642,3.783105810931244e-16,1
opt-1.3b,unigram,unigram,clean,25,6.505382386916237,3.874799798720929e-11,1
opt-1.3b,unigram,unigram,clean,26,9.475230867899736,1.3308572881882963e-21,1
opt-1.3b,unigram,unigram,clean,27,5.65685424949238,7.70862895014001e-09,1
opt-1.3b,unigram,unigram,clean,28,9.333809511662427,5.106625839287897e-21,1
opt-1.3b,unigram,unigram,clean,29,9.192388155425117,1.9210741635603234e-20,1
opt-1.3b,unigram,unigram,clean,30,6.929646455628165,2.10946826200288e-12,1
opt-1.3b,unigram,unigram,clean,31,8.202438661763951,1.1777946875782176e-16,1
opt-1.3b,unigram,unigram,clean,32,8.48528137423857,1.0759868356249456e-17,1
opt-1.3b,unigram,unigram,clean,33,8.909545442950499,2.562110843697821e-19,1
opt-1.3b,unigram,unigram,clean,34,6.929646455628165,2.10946826200288e-12,1
opt-1.3b,unigram,unigram,clean,35,10.182337649086284,1.1888972831631503e-24,1
opt-1.3b,unigram,unigram,clean,36,9.899494936611665,2.0919128038896777e-23,1
opt-1.3b,unigram,unigram,clean,37,2.545584412271571,0.005454749182134642,0
opt-1.3b,unigram,unigram,clean,38,9.569896267612535,5.350649436017691e-22,1
opt-1.3b,unigram,unigram,clean,39,9.758073580374356,8.518020964828397e-23,1
opt-1.3b,unigram,unigram,clean,40,6.788225099390856,5.676071792460946e-12,1
opt-1.3b,unigram,unigram,clean,41,8.48528137423857,1.0759868356249456e-17,1
opt-1.3b,unigram,unigram,clean,42,7.353910524340094,9.624530549986154e-14,1
opt-1.3b,unigram,unigram,clean,43,9.758073580374356,8.518020964828397e-23,1
opt-1.3b,unigram,unigram,clean,44,7.7781745930520225,3.678923958987199e-15,1
opt-1.3b,unigram,unigram,clean,45,10.562329954624204,2.2273263137785582e-26,1
opt-1.3b,unigram,unigram,clean,46,8.34386001800126,3.5952048917752465e-17,1
opt-1.3b,unigram,unigram,clean,47,10.323759005323593,2.7512868753459563e-25,1
opt-1.3b,unigram,unigram,clean,48,9.616652224137045,3.4004302826656326e-22,1
opt-1.3b,unigram,unigram,clean,49,10.182337649086284,1.1888972831631503e-24,1
opt-1.3b,unigram,unigram,clean,50,9.475230867899736,1.3308572881882963e-21,1
opt-1.3b,unigram,unigram,clean,51,8.48528137423857,1.0759868356249456e-17,1
opt-1.3b,unigram,unigram,clean,52,7.919595949289332,1.1914181422915142e-15,1
opt-1.3b,unigram,unigram,clean,53,9.758073580374356,8.518020964828397e-23,1
opt-1.3b,unigram,unigram,clean,54,5.368754921931592,3.964103412954217e-08,1
opt-1.3b,unigram,unigram,clean,55,7.7781745930520225,3.678923958987199e-15,1
opt-1.3b,unigram,unigram,clean,56,9.333809511662427,5.106625839287897e-21,1
opt-1.3b,unigram,unigram,clean,57,10.182337649086284,1.1888972831631503e-24,1
opt-1.3b,unigram,unigram,clean,58,9.899494936611665,2.0919128038896777e-23,1
opt-1.3b,unigram,unigram,clean,59,9.333809511662427,5.106625839287897e-21,1
opt-1.3b,unigram,unigram,clean,60,8.909545442950499,2.562110843697821e-19,1
opt-1.3b,unigram,unigram,clean,61,10.465180361560902,6.241928231766698e-26,1
opt-1.3b,unigram,unigram,clean,62,8.48528137423857,1.0759868356249456e-17,1
opt-1.3b,unigram,unigram,clean,63,9.758073580374356,8.518020964828397e-23,1
opt-1.3b,unigram,unigram,clean,64,8.48528137423857,1.0759868356249456e-17,1
opt-1.3b,unigram,unigram,clean,65,8.76812408671319,9.083378086190543e-19,1
opt-1.3b,unigram,unigram,clean,66,8.34386001800126,3.5952048917752465e-17,1
opt-1.3b,unigram,unigram,clean,67,6.092717958449424,5.550477317542801e-10,1
opt-1.3b,unigram,unigram,clean,68,8.76812408671319,9.083378086190543e-19,1
opt-1.3b,unigram,unigram,clean,69,7.919595949289332,1.1914181422915142e-15,1
