model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,unigram,unigram,copypaste_50,0,0.2786932057166471,0.3902401385347492,0
opt-1.3b,unigram,unigram,copypaste_50,1,1.4605934866804429,0.07206351740800766,0
opt-1.3b,unigram,unigram,copypaste_50,2,3.2071349029490928,0.0006703205586147392,0
opt-1.3b,unigram,unigram,copypaste_50,3,0.20851441405707477,0.4174136645926196,0
opt-1.3b,unigram,unigram,copypaste_50,4,5.5549205986353085,1.3886899053083803e-08,1
opt-1.3b,unigram,unigram,copypaste_50,5,4.446486458999438,4.364308320135352e-06,1
opt-1.3b,unigram,unigram,copypaste_50,6,2.9481228894719727,0.0015985497239672654,0
opt-1.3b,unigram,unigram,copypaste_50,7,1.334248769989982,0.09106117050474738,0
opt-1.3b,unigram,unigram,copypaste_50,8,2.0554804791094465,0.01991630962237072,0
opt-1.3b,unigram,unigram,copypaste_50,9,4.394802124588286,5.543685104868843e-06,1
opt-1.3b,unigram,unigram,copypaste_50,10,2.6293856820079102,0.004276964317580428,0
opt-1.3b,unigram,unigram,copypaste_50,11,2.1447610589527217,0.015985978088824352,0
opt-1.3b,unigram,unigram,copypaste_50,12,1.7460757394239454,0.040398895910456964,0
opt-1.3b,unigram,unigram,copypaste_50,13,4.084219761941048,2.211258107397701e-05,1
opt-1.3b,unigram,unigram,copypaste_50,14,1.4509525002200234,0.0733965436542855,0
opt-1.3b,unigram,unigram,copypaste_50,15,2.3301026868087695,0.009900362232314908,0
opt-1.3b,unigram,unigram,copypaste_50,16,1.4142135623730951,0.07864960352514251,0
opt-1.3b,unigram,unigram,copypaste_50,17,3.234774816883245,0.0006086935081121378,0
opt-1.3b,unigram,unigram,copypaste_50,18,2.0354009783964297,0.020905271488289405,0
opt-1.3b,unigram,unigram,copypaste_50,19,1.8950284971277105,0.029044313199281628,0
opt-1.3b,unigram,unigram,copypaste_50,20,3.718678720805473,0.00010013378745860479,0
opt-1.3b,unigram,unigram,copypaste_50,21,3.0792939583695613,0.0010374591935854848,0
opt-1.3b,unigram,unigram,copypaste_50,22,0.5261522196019802,0.29939122441435595,0
opt-1.3b,unigram,unigram,copypaste_50,23,1.459992790176863,0.07214602772005257,0
opt-1.3b,unigram,unigram,copypaste_50,24,4.41079242544458,5.149650671825902e-06,1
opt-1.3b,unigram,unigram,copypaste_50,25,0.5659164584181103,0.2857252863524996,0
opt-1.3b,unigram,unigram,copypaste_50,26,2.945838777274635,0.001610401145416645,0
opt-1.3b,unigram,unigram,copypaste_50,27,4.287464628562721,9.036201187114988e-06,1
opt-1.3b,unigram,unigram,copypaste_50,28,3.4156502553198664,0.00031814957062010183,0
opt-1.3b,unigram,unigram,copypaste_50,29,3.5179877236514594,0.0002174162391436962,0
opt-1.3b,unigram,unigram,copypaste_50,30,1.1607348488012053,0.12287487261492525,0
opt-1.3b,unigram,unigram,copypaste_50,31,2.1105794120443453,0.017404239405933563,0
opt-1.3b,unigram,unigram,copypaste_50,32,2.6127890589687235,0.004490335620949407,0
opt-1.3b,unigram,unigram,copypaste_50,33,3.7115374447904514,0.0001030020928207981,0
opt-1.3b,unigram,unigram,copypaste_50,34,2.4748737341529163,0.006664164390408773,0
opt-1.3b,unigram,unigram,copypaste_50,35,2.6848707242039054,0.0036278932509968254,0
opt-1.3b,unigram,unigram,copypaste_50,36,4.310527248642598,8.143287883239745e-06,1
opt-1.3b,unigram,unigram,copypaste_50,37,1.1239029738980328,0.1305270947898287,0
opt-1.3b,unigram,unigram,copypaste_50,38,6.172133998483676,3.368718009466388e-10,1
opt-1.3b,unigram,unigram,copypaste_50,39,6.388991238024046,8.349181291065777e-11,1
opt-1.3b,unigram,unigram,copypaste_50,40,0.8219949365267865,0.20553988936165773,0
opt-1.3b,unigram,unigram,copypaste_50,41,1.9727878476642875,0.02425986914012536,0
opt-1.3b,unigram,unigram,copypaste_50,42,1.9093374820217521,0.028109285013766482,0
opt-1.3b,unigram,unigram,copypaste_50,43,3.2328954364819484,0.0006127120353353549,0
opt-1.3b,unigram,unigram,copypaste_50,44,2.498780190217697,0.006231079147270155,0
opt-1.3b,unigram,unigram,copypaste_50,45,4.461042580036746,4.078094055913017e-06,1
opt-1.3b,unigram,unigram,copypaste_50,46,3.6084391824351614,0.00015402235281387314,0
opt-1.3b,unigram,unigram,copypaste_50,47,4.535573676110727,2.8723559595784297e-06,1
opt-1.3b,unigram,unigram,copypaste_50,48,2.6127890589687235,0.004490335620949407,0
opt-1.3b,unigram,unigram,copypaste_50,49,3.337190750506054,0.00042314921858271453,0
