model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,unigram,unigram,swap_20,0,6.384191000968102,8.615296127012911e-11,1
opt-1.3b,unigram,unigram,swap_20,1,5.339380304485545,4.663241021579902e-08,1
opt-1.3b,unigram,unigram,swap_20,2,9.46903641361726,1.4121850010647378e-21,1
opt-1.3b,unigram,unigram,swap_20,3,3.0424349222966556,0.001173362771940643,0
opt-1.3b,unigram,unigram,swap_20,4,8.571428571428571,5.1104552589616985e-18,1
opt-1.3b,unigram,unigram,swap_20,5,8.946933499675687,1.8274715486230502e-19,1
opt-1.3b,unigram,unigram,swap_20,6,8.335904848585429,3.845387545231822e-17,1
opt-1.3b,unigram,unigram,swap_20,7,4.558520013342256,2.575767814286288e-06,1
opt-1.3b,unigram,unigram,swap_20,8,5.178265442181457,1.1197921202724644e-07,1
opt-1.3b,unigram,unigram,swap_20,9,8.510497719203702,8.659415681891304e-18,1
opt-1.3b,unigram,unigram,swap_20,10,9.0,1.1285884059538324e-19,1
opt-1.3b,unigram,unigram,swap_20,11,6.384191000968102,8.615296127012911e-11,1
opt-1.3b,unigram,unigram,swap_20,12,5.542581280764948,1.490224891262913e-08,1
opt-1.3b,unigram,unigram,swap_20,13,9.048375348464525,7.255560268749565e-20,1
opt-1.3b,unigram,unigram,swap_20,14,6.92820323027551,2.1310957989218146e-12,1
opt-1.3b,unigram,unigram,swap_20,15,8.307925229660027,4.8694929705293666e-17,1
opt-1.3b,unigram,unigram,swap_20,16,5.1237033919420165,1.4979607180785783e-07,1
opt-1.3b,unigram,unigram,swap_20,17,7.293249574894728,1.512834243105606e-13,1
opt-1.3b,unigram,unigram,swap_20,18,8.250565023343546,7.882368581108002e-17,1
opt-1.3b,unigram,unigram,swap_20,19,5.336995079959928,4.724980160417156e-08,1
opt-1.3b,unigram,unigram,swap_20,20,8.328314639965763,4.100066811333688e-17,1
opt-1.3b,unigram,unigram,swap_20,21,9.91881942185683,1.7240517275315056e-23,1
opt-1.3b,unigram,unigram,swap_20,22,7.127670094890412,5.104104307302633e-13,1
opt-1.3b,unigram,unigram,swap_20,23,6.094000500924098,5.506165742165644e-10,1
opt-1.3b,unigram,unigram,swap_20,24,7.131581834309935,4.961096619666526e-13,1
opt-1.3b,unigram,unigram,swap_20,25,5.571524460751647,1.262599509055836e-08,1
opt-1.3b,unigram,unigram,swap_20,26,8.70571500132014,1.5778946210902424e-18,1
opt-1.3b,unigram,unigram,swap_20,27,5.4010848143421315,3.3119548259155914e-08,1
opt-1.3b,unigram,unigram,swap_20,28,8.409632877462002,2.0564801916587875e-17,1
opt-1.3b,unigram,unigram,swap_20,29,7.876709540886306,1.680575142337657e-15,1
opt-1.3b,unigram,unigram,swap_20,30,5.803810000880094,3.2412365507526082e-09,1
opt-1.3b,unigram,unigram,swap_20,31,7.147384583396834,4.4223414358176275e-13,1
opt-1.3b,unigram,unigram,swap_20,32,7.22465585158996,2.51186212192131e-13,1
opt-1.3b,unigram,unigram,swap_20,33,8.371578903249574,2.8425642549223813e-17,1
opt-1.3b,unigram,unigram,swap_20,34,6.062177826491071,6.714530895718628e-10,1
opt-1.3b,unigram,unigram,swap_20,35,8.501044615977587,9.394606642159615e-18,1
opt-1.3b,unigram,unigram,swap_20,36,9.38194187433142,3.238434283948065e-21,1
opt-1.3b,unigram,unigram,swap_20,37,1.382046638161285,0.08347869072210762,0
opt-1.3b,unigram,unigram,swap_20,38,8.646129512999186,2.663782272073055e-18,1
opt-1.3b,unigram,unigram,swap_20,39,8.994650816763707,1.1849216693364756e-19,1
opt-1.3b,unigram,unigram,swap_20,40,6.174440164112548,3.319916064371374e-10,1
opt-1.3b,unigram,unigram,swap_20,41,7.928583345241056,1.1082993687981172e-15,1
opt-1.3b,unigram,unigram,swap_20,42,7.017923929582525,1.1259454103610087e-12,1
opt-1.3b,unigram,unigram,swap_20,43,9.38194187433142,3.238434283948065e-21,1
opt-1.3b,unigram,unigram,swap_20,44,7.623434348706332,1.2350697793320768e-14,1
opt-1.3b,unigram,unigram,swap_20,45,10.103629710818451,2.6617277173453078e-24,1
opt-1.3b,unigram,unigram,swap_20,46,7.857142857142857,1.9649727729559328e-15,1
opt-1.3b,unigram,unigram,swap_20,47,9.760845848343621,8.288340841087227e-23,1
opt-1.3b,unigram,unigram,swap_20,48,9.23869770874312,1.247577371170742e-20,1
opt-1.3b,unigram,unigram,swap_20,49,9.670617008926232,2.0097367449851096e-22,1
opt-1.3b,unigram,unigram,swap_20,50,8.997696884358682,1.1525109696298994e-19,1
opt-1.3b,unigram,unigram,swap_20,51,7.876709540886306,1.680575142337657e-15,1
opt-1.3b,unigram,unigram,swap_20,52,7.505553499465135,3.0584790993258625e-14,1
opt-1.3b,unigram,unigram,swap_20,53,8.358885556217137,3.165674616715115e-17,1
opt-1.3b,unigram,unigram,swap_20,54,4.096418577402744,2.0979548559139326e-05,1
opt-1.3b,unigram,unigram,swap_20,55,7.714285714285714,6.08308274525467e-15,1
opt-1.3b,unigram,unigram,swap_20,56,8.660254037844387,2.353570295070176e-18,1
opt-1.3b,unigram,unigram,swap_20,57,9.725923240890838,1.1688747520549518e-22,1
