model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,unigram,unigram,synonym_30,0,5.114957546028552,1.569057641452489e-07,1
opt-1.3b,unigram,unigram,synonym_30,1,4.692707680683306,1.3480630284919222e-06,1
opt-1.3b,unigram,unigram,synonym_30,2,8.94427190999916,1.872048692101436e-19,1
opt-1.3b,unigram,unigram,synonym_30,3,2.28747855498907,0.011083952876494399,0
opt-1.3b,unigram,unigram,synonym_30,4,7.779240816283111,3.648052977969365e-15,1
opt-1.3b,unigram,unigram,synonym_30,5,9.054025041832395,6.889660391577802e-20,1
opt-1.3b,unigram,unigram,synonym_30,6,6.677755390968688,1.2131477852981861e-11,1
opt-1.3b,unigram,unigram,synonym_30,7,2.986754902199874,0.0014097783667590834,0
opt-1.3b,unigram,unigram,synonym_30,8,4.00977067543335,3.038887317810567e-05,1
opt-1.3b,unigram,unigram,synonym_30,9,6.880975663883467,2.97220035180665e-12,1
opt-1.3b,unigram,unigram,synonym_30,10,7.437014101369,5.149328048553927e-14,1
opt-1.3b,unigram,unigram,synonym_30,11,5.547001962252292,1.4530474100349031e-08,1
opt-1.3b,unigram,unigram,synonym_30,12,4.819794056445128,7.185324552121546e-07,1
opt-1.3b,unigram,unigram,synonym_30,13,7.142749325331829,4.574118607162475e-13,1
opt-1.3b,unigram,unigram,synonym_30,14,5.657285395733584,7.6892962085265e-09,1
opt-1.3b,unigram,unigram,synonym_30,15,7.433738300228161,5.278536871622477e-14,1
opt-1.3b,unigram,unigram,synonym_30,16,4.034466888812335,2.7363203097907746e-05,1
opt-1.3b,unigram,unigram,synonym_30,17,6.0509388846805106,7.200203781504038e-10,1
opt-1.3b,unigram,unigram,synonym_30,18,7.323173217900929,1.2108743508838305e-13,1
opt-1.3b,unigram,unigram,synonym_30,19,4.74950407355585,1.0195804482491303e-06,1
opt-1.3b,unigram,unigram,synonym_30,20,7.385369951491147,7.601503535272791e-14,1
opt-1.3b,unigram,unigram,synonym_30,21,8.975972098740664,1.4043028771906145e-19,1
opt-1.3b,unigram,unigram,synonym_30,22,5.396628160770202,3.3952456162171146e-08,1
opt-1.3b,unigram,unigram,synonym_30,23,5.227100596426406,8.609441374746569e-08,1
opt-1.3b,unigram,unigram,synonym_30,24,6.253887679764573,2.0017949942510606e-10,1
opt-1.3b,unigram,unigram,synonym_30,25,4.35780112235627,6.568783892160726e-06,1
opt-1.3b,unigram,unigram,synonym_30,26,7.5351709896536505,2.4384767060223465e-14,1
opt-1.3b,unigram,unigram,synonym_30,27,3.869412129822145,5.4549045687928615e-05,0
opt-1.3b,unigram,unigram,synonym_30,28,7.038668705292014,9.704260696342146e-13,1
opt-1.3b,unigram,unigram,synonym_30,29,6.355715691503161,1.0372921098977786e-10,1
opt-1.3b,unigram,unigram,synonym_30,30,4.5116671183627775,3.2160038326268287e-06,1
opt-1.3b,unigram,unigram,synonym_30,31,4.584559064750046,2.2747273692501e-06,1
opt-1.3b,unigram,unigram,synonym_30,32,5.244498251001892,7.835409618843477e-08,1
opt-1.3b,unigram,unigram,synonym_30,33,7.246023348632824,2.1459307864929618e-13,1
opt-1.3b,unigram,unigram,synonym_30,34,4.6055411380544555,2.056973221034014e-06,1
opt-1.3b,unigram,unigram,synonym_30,35,7.892262342196234,1.4837854248010643e-15,1
opt-1.3b,unigram,unigram,synonym_30,36,7.468556937120096,4.053951663133772e-14,1
opt-1.3b,unigram,unigram,synonym_30,37,1.3671718540493265,0.08578572264299439,0
opt-1.3b,unigram,unigram,synonym_30,38,7.980238751210129,7.3025255313208665e-16,1
opt-1.3b,unigram,unigram,synonym_30,39,6.9285297781620185,2.1261833483848616e-12,1
opt-1.3b,unigram,unigram,synonym_30,40,5.326201371768775,5.0143972631541916e-08,1
opt-1.3b,unigram,unigram,synonym_30,41,6.680289112475794,1.192356598015202e-11,1
opt-1.3b,unigram,unigram,synonym_30,42,5.2434141616397785,7.881608034227954e-08,1
opt-1.3b,unigram,unigram,synonym_30,43,6.868028197434452,3.2547678352067006e-12,1
