model,watermarker,detector,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,unigram,unigram,typo_10,0,5.713210717191265,5.543213008748695e-09,1
opt-1.3b,unigram,unigram,typo_10,1,5.215909727527336,9.145862399564e-08,1
opt-1.3b,unigram,unigram,typo_10,2,8.643929322032532,2.7156079302477497e-18,1
opt-1.3b,unigram,unigram,typo_10,3,3.0424349222966556,0.001173362771940643,0
opt-1.3b,unigram,unigram,typo_10,4,7.993052538854532,6.581899817218966e-16,1
opt-1.3b,unigram,unigram,typo_10,5,8.285714285714286,5.870116013189356e-17,1
opt-1.3b,unigram,unigram,typo_10,6,7.331519195154589,1.1377911131432986e-13,1
opt-1.3b,unigram,unigram,typo_10,7,4.1615391335657295,1.5805490647838522e-05,1
opt-1.3b,unigram,unigram,typo_10,8,5.099019513592785,1.7070867886487543e-07,1
opt-1.3b,unigram,unigram,typo_10,9,8.142857142857142,1.9302883452205942e-16,1
opt-1.3b,unigram,unigram,typo_10,10,8.360796171499413,3.1148198317079615e-17,1
opt-1.3b,unigram,unigram,typo_10,11,5.854368611626366,2.3941278591812383e-09,1
opt-1.3b,unigram,unigram,typo_10,12,4.692445803528009,1.3497903191485373e-06,1
opt-1.3b,unigram,unigram,typo_10,13,8.42782113087864,1.7608040390476413e-17,1
opt-1.3b,unigram,unigram,typo_10,14,5.488060848896277,2.0318504561112716e-08,1
opt-1.3b,unigram,unigram,typo_10,15,7.089537252990386,6.728058844458479e-13,1
opt-1.3b,unigram,unigram,typo_10,16,4.461042580036746,4.078094055913017e-06,1
opt-1.3b,unigram,unigram,typo_10,17,7.01867367133649,1.1199211288143598e-12,1
opt-1.3b,unigram,unigram,typo_10,18,7.6900482511661234,7.353977412041926e-15,1
opt-1.3b,unigram,unigram,typo_10,19,5.10527470242631,1.651571597158661e-07,1
opt-1.3b,unigram,unigram,typo_10,20,8.021012009925327,5.243873619007224e-16,1
opt-1.3b,unigram,unigram,typo_10,21,9.428120026610868,2.0875231785877282e-21,1
opt-1.3b,unigram,unigram,typo_10,22,6.727767619564244,8.614288610221264e-12,1
opt-1.3b,unigram,unigram,typo_10,23,5.79827560572969,3.35001382704243e-09,1
opt-1.3b,unigram,unigram,typo_10,24,6.262397031513642,1.8955210191930912e-10,1
opt-1.3b,unigram,unigram,typo_10,25,5.149022995767767,1.3092339063881547e-07,1
opt-1.3b,unigram,unigram,typo_10,26,8.132062148225916,2.1102416546117106e-16,1
opt-1.3b,unigram,unigram,typo_10,27,5.049515586222345,2.214658998489151e-07,1
opt-1.3b,unigram,unigram,typo_10,28,6.635087809810993,1.621547059193968e-11,1
opt-1.3b,unigram,unigram,typo_10,29,7.585028893589194,1.6620649010666125e-14,1
opt-1.3b,unigram,unigram,typo_10,30,5.65685424949238,7.70862895014001e-09,1
opt-1.3b,unigram,unigram,typo_10,31,6.198493348948139,2.8503107132553533e-10,1
opt-1.3b,unigram,unigram,typo_10,32,6.51664535375884,3.594856933238078e-11,1
opt-1.3b,unigram,unigram,typo_10,33,7.942756362924442,9.886855358198313e-16,1
opt-1.3b,unigram,unigram,typo_10,34,5.628780357842335,9.074416264366576e-09,1
opt-1.3b,unigram,unigram,typo_10,35,7.6498910667625415,1.0057481977811033e-14,1
opt-1.3b,unigram,unigram,typo_10,36,8.53468195188904,7.027074890970892e-18,1
opt-1.3b,unigram,unigram,typo_10,37,1.4285714285714286,0.07656372550983476,0
opt-1.3b,unigram,unigram,typo_10,38,7.2701390825618155,1.7955877944647446e-13,1
opt-1.3b,unigram,unigram,typo_10,39,8.709770584059203,1.5224521163334794e-18,1
opt-1.3b,unigram,unigram,typo_10,40,5.106485139133421,1.6410320458171933e-07,1
opt-1.3b,unigram,unigram,typo_10,41,7.892262342196234,1.4837854248010643e-15,1
opt-1.3b,unigram,unigram,typo_10,42,6.677755390968688,1.2131477852981861e-11,1
opt-1.3b,unigram,unigram,typo_10,43,9.240027567747637,1.2321686834520217e-20,1
opt-1.3b,unigram,unigram,typo_10,44,7.001400420140048,1.2670825990154872e-12,1
opt-1.3b,unigram,unigram,typo_10,45,9.381876562987665,3.2404412990637732e-21,1
opt-1.3b,unigram,unigram,typo_10,46,7.124658977820569,5.216934854675292e-13,1
opt-1.3b,unigram,unigram,typo_10,47,9.334770004369833,5.060537489691363e-21,1
opt-1.3b,unigram,unigram,typo_10,48,8.388530375486825,2.4612844344263104e-17,1
opt-1.3b,unigram,unigram,typo_10,49,9.381096690919357,3.264501993459076e-21,1
opt-1.3b,unigram,unigram,typo_10,50,7.488452649040593,3.484516009804443e-14,1
opt-1.3b,unigram,unigram,typo_10,51,6.721344403334447,9.002772144154262e-12,1
opt-1.3b,unigram,unigram,typo_10,52,7.212489168102785,2.746910108777636e-13,1
opt-1.3b,unigram,unigram,typo_10,53,7.281456436945651,1.6511764697969203e-13,1
opt-1.3b,unigram,unigram,typo_10,54,3.0323921743156137,0.0012131188033001738,0
opt-1.3b,unigram,unigram,typo_10,55,6.967330142916177,1.6150603516651186e-12,1
opt-1.3b,unigram,unigram,typo_10,56,8.004760488371309,5.984970922881402e-16,1
opt-1.3b,unigram,unigram,typo_10,57,8.905881248488706,2.6481800810137636e-19,1
opt-1.3b,unigram,unigram,typo_10,58,9.291228286772588,7.62589720549215e-21,1
opt-1.3b,unigram,unigram,typo_10,59,7.598853483087153,1.4938290119472655e-14,1
opt-1.3b,unigram,unigram,typo_10,60,7.752576283042318,4.5023344676706546e-15,1
opt-1.3b,unigram,unigram,typo_10,61,7.488452649040593,3.484516009804443e-14,1
opt-1.3b,unigram,unigram,typo_10,62,5.398030041014909,3.3688293974139295e-08,1
opt-1.3b,unigram,unigram,typo_10,63,7.623434348706332,1.2350697793320768e-14,1
opt-1.3b,unigram,unigram,typo_10,64,6.89525593835686,2.6883955371112287e-12,1
opt-1.3b,unigram,unigram,typo_10,65,7.428571428571429,5.488839836893128e-14,1
opt-1.3b,unigram,unigram,typo_10,66,6.835859270246632,4.075746786429639e-12,1
opt-1.3b,unigram,unigram,typo_10,67,5.788544409159491,3.549948943070381e-09,1
opt-1.3b,unigram,unigram,typo_10,68,7.726805134590861,5.513963029695367e-15,1
opt-1.3b,unigram,unigram,typo_10,69,6.897390160878978,2.648328337337734e-12,1
opt-1.3b,unigram,unigram,typo_10,70,3.9207842352784272,4.413063173406091e-05,0
opt-1.3b,unigram,unigram,typo_10,71,3.0,0.0013498980316300933,0
