watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
kgw,clean,0,8.21954053222238,1.0214215595192246e-16,1,12.3984375,30,161
kgw,clean,1,4.667679727932626,1.5231012400212441e-06,1,2.970703125,30,152
kgw,clean,2,4.157609203101499,1.607977781600339e-05,1,-1.0,30,23
kgw,clean,3,7.48554161923727,3.562633663229454e-14,1,13.640625,30,96
kgw,clean,4,5.3716427147145085,3.901129114805226e-08,1,3.17578125,30,146
kgw,clean,5,8.301992346604333,5.118990191247742e-17,1,12.328125,30,114
kgw,clean,6,8.239625511601155,8.637525222033138e-17,1,12.890625,30,145
kgw,clean,7,5.2778235748030635,6.536361672634825e-08,1,8.0859375,30,158
kgw,clean,8,2.82842712474619,0.002338867490523633,0,-1.0,30,32
kgw,clean,9,9.53595439531399,7.425657535962584e-22,1,15.1875,30,150
kgw,clean,10,9.400415740378403,2.7173950218168946e-21,1,10.5625,30,170
kgw,clean,11,7.3513207090743,9.812894489694755e-14,1,9.125,30,159
kgw,clean,12,6.862435664967211,3.384811488011902e-12,1,10.0234375,30,147
kgw,clean,13,8.005492619939893,5.949468400502455e-16,1,13.1171875,30,163
kgw,clean,14,1.6666666666666667,0.0477903522728147,0,-1.0,30,7
kgw,clean,15,6.930264888773836,2.1002666900059396e-12,1,11.3125,30,142
kgw,clean,16,5.489948531973768,2.010254404937261e-08,1,6.1328125,30,160
kgw,clean,17,8.944587733233664,1.86670352108945e-19,1,14.4921875,30,154
kgw,clean,18,6.266171132537927,1.8501683162116876e-10,1,10.15625,30,122
kgw,clean,19,4.649905549752772,1.6604353696736814e-06,1,6.42578125,30,63
kgw,clean,20,8.023774198028779,5.127236135172858e-16,1,10.8125,30,152
kgw,clean,21,5.980464651413677,1.1125100429061195e-09,1,11.4453125,30,148
kgw,clean,22,7.553288946746542,2.1220099918923124e-14,1,7.41796875,30,176
kgw,clean,23,7.453559924999299,4.542735112004174e-14,1,12.3984375,30,149
kgw,clean,24,6.48074069840786,4.563670899644565e-11,1,7.55078125,30,130
kgw,clean,25,8.192941705230835,1.2745882936689985e-16,1,16.953125,30,151
kgw,clean,26,8.696541511091846,1.7107626600968985e-18,1,13.171875,30,162
kgw,clean,27,5.027293925217255,2.487247975527443e-07,1,15.4296875,30,85
kgw,clean,28,9.153846153846153,2.7470895772468327e-20,1,11.46875,30,162
kgw,clean,29,8.648888870168502,2.6001636211464392e-18,1,22.1875,30,160
kgw,clean,30,7.4412956772280054,4.98512517860021e-14,1,10.9609375,30,151
kgw,clean,31,8.510497719203702,8.659415681891304e-18,1,14.578125,30,158
kgw,clean,32,7.715167498104595,6.0411725929080346e-15,1,17.484375,30,163
kgw,clean,33,8.646129512999186,2.663782272073055e-18,1,12.1328125,30,157
kgw,clean,34,8.646129512999186,2.663782272073055e-18,1,12.71875,30,170
kgw,clean,35,7.888934916555407,1.5238820303926086e-15,1,8.7734375,30,151
kgw,clean,36,8.17807754799087,1.4420407265940657e-16,1,14.078125,30,157
kgw,clean,37,8.387593465227736,2.480973263417044e-17,1,11.5078125,30,168
kgw,clean,38,5.4097895323949645,3.154943025214296e-08,1,9.4140625,30,155
kgw,clean,39,9.346851681910673,4.514771997238868e-21,1,11.03125,30,164
kgw,clean,40,8.135059357585849,2.0586828123316772e-16,1,16.75,30,145
kgw,clean,41,8.135059357585849,2.0586828123316772e-16,1,9.90625,30,157
kgw,clean,42,3.299831645537222,0.0004837142251238715,0,1.79296875,30,104
kgw,clean,43,8.109307588519343,2.5454512878375566e-16,1,14.328125,30,163
kgw,clean,44,4.841386618546788,6.446811807420848e-07,1,9.015625,30,145
kgw,clean,45,3.6,0.00015910859015753364,0,3.919921875,30,69
kgw,clean,46,8.094942241155303,2.864576498510184e-16,1,11.3515625,30,164
kgw,clean,47,7.929925657295443,1.0963855666219223e-15,1,12.46875,30,160
kgw,clean,48,6.609222207023923,1.9317222510094454e-11,1,74.3125,30,68
kgw,clean,49,4.076197322920544,2.288908803332395e-05,1,5.953125,30,111
kgw,clean,50,4.963972767957701,3.453281582346863e-07,1,4.921875,30,140
kgw,clean,51,8.221921916437786,1.0013378366918054e-16,1,14.2734375,30,146
kgw,clean,52,6.814365914895229,4.734021722811736e-12,1,8.5859375,30,156
kgw,clean,53,5.911468053322673,1.6953601664303787e-09,1,9.984375,30,108
kgw,clean,54,6.042105779736161,7.605783899316805e-10,1,12.96875,30,167
kgw,clean,55,4.4174102722651325,4.9945257934485066e-06,1,18.828125,30,53
kgw,clean,56,6.092717958449424,5.550477317542801e-10,1,16.71875,30,155
kgw,clean,57,7.175639059928206,3.5985100487695137e-13,1,8.6015625,30,134
kgw,clean,58,5.165514464459439,1.198892418938996e-07,1,41.46875,30,51
kgw,clean,59,7.171804696775816,3.700774196930522e-13,1,10.0,30,170
kgw,clean,60,7.100633381143391,6.209320714497013e-13,1,13.40625,30,157
kgw,clean,61,7.804588535595246,2.9847993204622185e-15,1,9.0,30,152
kgw,clean,62,8.390811300804845,2.413993628220578e-17,1,11.78125,30,156
kgw,clean,63,4.478342947514801,3.761234153816301e-06,1,24.65625,30,86
kgw,clean,64,7.06129438934808,8.247934747040561e-13,1,8.859375,30,154
kgw,clean,65,7.056077897395808,8.563391984844706e-13,1,9.46875,30,156
kgw,clean,66,7.661488934822832,9.189485795046098e-15,1,12.1796875,30,109
kgw,clean,67,6.442528450810767,5.874966447055638e-11,1,8.828125,30,132
kgw,clean,68,7.37537974717874,8.193863026111872e-14,1,11.78125,30,137
kgw,clean,69,5.296677687055155,5.896429079720941e-08,1,14.15625,30,138
kgw,clean,70,4.74464202095129,1.0443769521950939e-06,1,30.09375,30,71
kgw,clean,71,4.427188724235731,4.7734599226190636e-06,1,837.5,30,39
kgw,clean,72,5.489948531973768,2.010254404937261e-08,1,2.560546875,30,149
kgw,clean,73,7.0149342352998145,1.1502857038672575e-12,1,9.6171875,30,154
