watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
gpw_sp_low,clean,0,12.42751211845118,9.265613585266529e-36,1,18.46875,30,181
gpw_sp_low,clean,1,-0.6298623010032615,0.7356076600477996,0,-1.0,30,30
gpw_sp_low,clean,2,7.534202155522164,2.4566479840956203e-14,1,21.640625,30,93
gpw_sp_low,clean,3,1.5441622592560464,0.06127451461539724,0,48.09375,30,47
gpw_sp_low,clean,4,11.932085286198381,4.026527817899167e-33,1,18.9375,30,129
gpw_sp_low,clean,5,11.246299043295735,1.2075735878133262e-29,1,22.140625,30,180
gpw_sp_low,clean,6,12.053146510973368,9.334243647582806e-34,1,18.828125,30,174
gpw_sp_low,clean,7,10.770483551853204,2.3725124688213527e-27,1,12.6640625,30,185
gpw_sp_low,clean,8,3.973693243901059,3.5383346425184854e-05,0,64.0625,30,49
gpw_sp_low,clean,9,12.380997152930133,1.6560101100506918e-35,1,21.21875,30,190
gpw_sp_low,clean,10,3.2478462543262383,0.0005814104226913383,0,62.59375,30,46
gpw_sp_low,clean,11,5.059383299794939,2.1030730319065348e-07,1,29.921875,30,96
gpw_sp_low,clean,12,9.87665756340309,2.627837188179337e-23,1,16.59375,30,149
gpw_sp_low,clean,13,12.75349422617999,1.4903943798693334e-37,1,14.609375,30,187
gpw_sp_low,clean,14,3.4477767421613232,0.0002826105174749078,0,27.40625,30,73
gpw_sp_low,clean,15,11.69332115922594,6.894351033043173e-32,1,19.09375,30,188
gpw_sp_low,clean,16,7.941165647776382,1.0014498815562839e-15,1,23.203125,30,113
gpw_sp_low,clean,17,8.252453568190054,7.758759773875974e-17,1,27.78125,30,112
gpw_sp_low,clean,18,10.492568905914077,4.672619816413774e-26,1,21.890625,30,161
gpw_sp_low,clean,19,5.023220231104359,2.54061109011244e-07,1,14.5546875,30,74
gpw_sp_low,clean,20,10.31405064221941,3.043999786190995e-25,1,19.625,30,163
gpw_sp_low,clean,21,10.956581745719438,3.089467037691709e-28,1,17.515625,30,165
gpw_sp_low,clean,22,6.05976137259667,6.81618195699668e-10,1,47.71875,30,58
gpw_sp_low,clean,23,10.58347311355383,1.7776493314857227e-26,1,14.8984375,30,190
gpw_sp_low,clean,24,11.35648481836735,3.442998350889985e-30,1,17.375,30,164
gpw_sp_low,clean,25,10.693276791609287,5.471744892861286e-27,1,17.078125,30,174
gpw_sp_low,clean,26,9.409936744867005,2.4821779006084936e-21,1,9.3203125,30,172
gpw_sp_low,clean,27,12.334380960407875,2.9570849231085225e-35,1,11.2890625,30,170
gpw_sp_low,clean,28,6.349867599145581,1.0775016045171066e-10,1,15.1328125,30,119
gpw_sp_low,clean,29,12.755730436401107,1.4482349533479988e-37,1,21.046875,30,170
gpw_sp_low,clean,30,9.684935955601814,1.7471373254690859e-22,1,13.484375,30,148
gpw_sp_low,clean,31,11.516273066285592,5.4617138159893e-31,1,15.859375,30,189
gpw_sp_low,clean,32,11.75569783778254,3.3006550532588e-32,1,9.546875,30,175
gpw_sp_low,clean,33,11.097860052054902,6.424168494531086e-29,1,20.515625,30,189
gpw_sp_low,clean,34,10.526832827064041,3.249212456431907e-26,1,14.2734375,30,178
gpw_sp_low,clean,35,12.514012589433342,3.129062506030701e-36,1,27.453125,30,170
gpw_sp_low,clean,36,13.504542436596244,7.351217800656439e-42,1,23.203125,30,181
gpw_sp_low,clean,37,13.138272834460642,9.935532019868063e-40,1,30.6875,30,194
gpw_sp_low,clean,38,10.307075038335965,3.2731707174399685e-25,1,19.578125,30,163
gpw_sp_low,clean,39,8.91182565736157,2.509951350048353e-19,1,10.8984375,30,203
gpw_sp_low,clean,40,11.619290498038039,1.6442794132130203e-31,1,24.234375,30,187
gpw_sp_low,clean,41,13.517249534343145,6.185768413219512e-42,1,22.453125,30,171
gpw_sp_low,clean,42,11.334314377309791,4.436208663834201e-30,1,17.859375,30,188
gpw_sp_low,clean,43,12.517173014102621,3.00695957261746e-36,1,20.5625,30,182
gpw_sp_low,clean,44,12.479633692822352,4.821462430200696e-36,1,19.8125,30,191
gpw_sp_low,clean,45,11.6809526835151,7.974889519833545e-32,1,20.171875,30,174
gpw_sp_low,clean,46,13.056498517850713,2.9175228444887826e-39,1,22.71875,30,188
gpw_sp_low,clean,47,8.130212649439528,2.1426899922078574e-16,1,12.9453125,30,122
gpw_sp_low,clean,48,12.697160644417158,3.065705972226565e-37,1,26.765625,30,196
gpw_sp_low,clean,49,3.2959044762212404,0.0004905268337786571,0,53.21875,30,61
gpw_sp_low,clean,50,11.273452505216712,8.873582721232826e-30,1,14.296875,30,157
gpw_sp_low,clean,51,12.625043754168066,7.682801081720721e-37,1,17.6875,30,183
gpw_sp_low,clean,52,0.16369263147482754,0.4349865592671238,0,-1.0,30,31
gpw_sp_low,clean,53,7.811609123719992,2.8231217029516813e-15,1,50.40625,30,92
gpw_sp_low,clean,54,8.07923836332112,3.258626382537934e-16,1,20.6875,30,107
gpw_sp_low,clean,55,11.932327692555447,4.014817688480012e-33,1,20.765625,30,162
gpw_sp_low,clean,56,14.753360469308053,1.4635937637685864e-49,1,2.666015625,30,145
gpw_sp_low,clean,57,7.8415198150430125,2.225628340465424e-15,1,16.78125,30,106
gpw_sp_low,clean,58,4.6012390224449,2.099925700852704e-06,1,173.5,30,48
gpw_sp_low,clean,59,11.801824104511775,1.9097056873647454e-32,1,13.3828125,30,177
gpw_sp_low,clean,60,11.377973847952095,2.6917989623111392e-30,1,17.6875,30,193
gpw_sp_low,clean,61,10.509408333747688,3.909124774585255e-26,1,32.53125,30,151
gpw_sp_low,clean,62,11.942037203720552,3.572570568132077e-33,1,15.765625,30,108
gpw_sp_low,clean,63,12.26250566964436,7.198895288082995e-35,1,6.296875,30,169
gpw_sp_low,clean,64,7.396842715994839,6.973028459457892e-14,1,14.2734375,30,123
gpw_sp_low,clean,65,4.323957755066773,7.662732782349547e-06,1,47.0625,30,70
gpw_sp_low,clean,66,11.561903426079605,3.2134101963708413e-31,1,16.078125,30,171
gpw_sp_low,clean,67,2.2330286411682767,0.012773527845559858,0,73.75,30,36
gpw_sp_low,clean,68,12.726029242773134,2.1192625608617127e-37,1,20.0,30,181
gpw_sp_low,clean,69,12.408768937235589,1.171132019328756e-35,1,22.109375,30,194
gpw_sp_low,clean,70,6.40058316450076,7.739230658819983e-11,1,22.453125,30,93
gpw_sp_low,clean,71,2.24469054308377,0.012394002785723982,0,37.375,30,91
gpw_sp_low,clean,72,6.915939477012307,2.323864045749836e-12,1,24.328125,30,93
gpw_sp_low,clean,73,10.64105189489815,9.597498402324806e-27,1,11.9453125,30,174
gpw_sp_low,clean,74,9.491698195388098,1.1365032207256437e-21,1,19.125,30,121
gpw_sp_low,clean,75,10.990177289059021,2.1304415452211176e-28,1,18.046875,30,170
gpw_sp_low,clean,76,12.585574566161796,1.2674580521506491e-36,1,23.203125,30,195
gpw_sp_low,clean,77,12.793460590088783,8.917581575812047e-38,1,21.296875,30,199
gpw_sp_low,clean,78,12.254689499028792,7.927773784062689e-35,1,15.1015625,30,190
gpw_sp_low,clean,79,12.208560891068686,1.3989717011632117e-34,1,25.140625,30,178
gpw_sp_low,clean,80,5.8610615238858035,2.2995876094262045e-09,1,45.0,30,83
gpw_sp_low,clean,81,12.585900084948985,1.2622437858178888e-36,1,15.765625,30,177
gpw_sp_low,clean,82,11.503656299068423,6.3221628667316644e-31,1,14.8359375,30,195
