watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
unigram,clean,0,7.045638767423834,9.230631110870817e-13,1,5.880402565002441,30,106
unigram,clean,1,11.737972567696689,4.0707391765124334e-32,1,17.275859832763672,30,167
unigram,clean,2,11.31370849898476,5.612148586491464e-30,1,21.330713272094727,30,141
unigram,clean,3,9.616652224137045,3.4004302826656326e-22,1,13.22237777709961,30,139
unigram,clean,4,9.475230867899736,1.3308572881882963e-21,1,8.711064338684082,30,123
unigram,clean,5,10.748023074035522,3.0272675902446236e-27,1,19.82567596435547,30,166
unigram,clean,6,11.455129855222069,1.1081542860328712e-30,1,16.58287239074707,30,162
unigram,clean,7,12.020815280171307,1.3811620356668856e-33,1,13.405752182006836,30,161
unigram,clean,8,5.897678246195885,1.8432597073164084e-09,1,210.15684509277344,30,35
unigram,clean,9,12.445079348883237,7.43682444622122e-36,1,1.9407051801681519,30,77
unigram,clean,10,10.889444430272832,6.47137003385855e-28,1,13.66423511505127,30,166
unigram,clean,11,10.323759005323593,2.7512868753459563e-25,1,10.817815780639648,30,154
unigram,clean,12,12.445079348883237,7.43682444622122e-36,1,13.267714500427246,30,163
unigram,clean,13,10.748023074035522,3.0272675902446236e-27,1,13.259113311767578,30,165
unigram,clean,14,11.879393923933998,7.573076763986536e-33,1,16.045854568481445,30,176
unigram,clean,15,5.735393346764043,4.864314812237414e-09,1,19.426481246948242,30,46
unigram,clean,16,11.030865786510141,1.3562056647183062e-28,1,16.25548553466797,30,167
unigram,clean,17,11.17228714274745,2.786359028476278e-29,1,10.460868835449219,30,152
unigram,clean,18,10.323759005323593,2.7512868753459563e-25,1,16.208703994750977,30,159
unigram,clean,19,10.323759005323593,2.7512868753459563e-25,1,12.867330551147461,30,156
unigram,clean,20,12.020815280171307,1.3811620356668856e-33,1,19.061532974243164,30,168
unigram,clean,21,10.323759005323593,2.7512868753459563e-25,1,14.225912094116211,30,172
unigram,clean,22,12.162236636408617,2.469384785387105e-34,1,6.576742649078369,30,150
unigram,clean,23,10.704106195625872,4.868285630574622e-27,1,14.125327110290527,30,160
unigram,clean,24,10.465180361560902,6.241928231766698e-26,1,16.945253372192383,30,149
unigram,clean,25,12.162236636408617,2.469384785387105e-34,1,16.491710662841797,30,137
unigram,clean,26,12.162236636408617,2.469384785387105e-34,1,13.407110214233398,30,160
unigram,clean,27,4.841386618546788,6.446811807420848e-07,1,-1.0,30,32
unigram,clean,28,13.576450198781712,2.761972299687433e-42,1,1.2724233865737915,30,197
unigram,clean,29,10.889444430272832,6.47137003385855e-28,1,9.942604064941406,30,157
unigram,clean,30,11.737972567696689,4.0707391765124334e-32,1,12.910006523132324,30,152
unigram,clean,31,12.547197328647545,2.0591494165672446e-36,1,14.221784591674805,30,162
unigram,clean,32,11.59655121145938,2.145106011381415e-31,1,13.90799617767334,30,159
unigram,clean,33,9.333456062030596,5.123690062809027e-21,1,2.094569683074951,30,94
unigram,clean,34,11.17228714274745,2.786359028476278e-29,1,16.735977172851562,30,149
unigram,clean,35,11.030865786510141,1.3562056647183062e-28,1,10.749768257141113,30,162
unigram,clean,36,11.17228714274745,2.786359028476278e-29,1,15.072059631347656,30,154
unigram,clean,37,11.59655121145938,2.145106011381415e-31,1,15.518539428710938,30,165
unigram,clean,38,9.475230867899736,1.3308572881882963e-21,1,2.0354726314544678,30,58
unigram,clean,39,12.586500705120546,1.2526787490169158e-36,1,7.9511518478393555,30,115
unigram,clean,40,11.030865786510141,1.3562056647183062e-28,1,18.864248275756836,30,155
unigram,clean,41,10.748023074035522,3.0272675902446236e-27,1,14.691206932067871,30,166
unigram,clean,42,10.748023074035522,3.0272675902446236e-27,1,7.1574482917785645,30,164
unigram,clean,43,13.25607853365588,2.0804577859877983e-40,1,1.465730905532837,30,71
unigram,clean,44,4.318004318006477,7.872317549081389e-06,1,9.694379806518555,30,41
unigram,clean,45,12.020815280171307,1.3811620356668856e-33,1,12.591208457946777,30,147
unigram,clean,46,11.31370849898476,5.612148586491464e-30,1,11.659746170043945,30,166
unigram,clean,47,10.845882436627539,1.0430645560607285e-27,1,19.775123596191406,30,153
unigram,clean,48,12.303657992645926,4.328161737706463e-35,1,17.49993896484375,30,160
unigram,clean,49,11.129434918630873,4.510276336076869e-29,1,14.12812614440918,30,155
unigram,clean,50,10.465180361560902,6.241928231766698e-26,1,15.107691764831543,30,139
unigram,clean,51,11.879393923933998,7.573076763986536e-33,1,14.88458251953125,30,144
unigram,clean,52,11.030865786510141,1.3562056647183062e-28,1,11.87097454071045,30,150
unigram,clean,53,11.455129855222069,1.1081542860328712e-30,1,12.075899124145508,30,151
unigram,clean,54,9.050966799187808,7.085401738342e-20,1,11.44880199432373,30,141
unigram,clean,55,10.889444430272832,6.47137003385855e-28,1,11.556190490722656,30,128
unigram,clean,56,12.020815280171307,1.3811620356668856e-33,1,13.677410125732422,30,176
unigram,clean,57,11.455129855222069,1.1081542860328712e-30,1,18.0146484375,30,159
unigram,clean,58,10.182337649086284,1.1888972831631503e-24,1,7.102107048034668,30,152
unigram,clean,59,11.17228714274745,2.786359028476278e-29,1,11.22762680053711,30,147
unigram,clean,60,11.17228714274745,2.786359028476278e-29,1,20.33736801147461,30,166
unigram,clean,61,13.539631015659216,4.562304664113604e-42,1,1.405218482017517,30,117
unigram,clean,62,12.020815280171307,1.3811620356668856e-33,1,23.078588485717773,30,136
unigram,clean,63,10.889444430272832,6.47137003385855e-28,1,10.893119812011719,30,149
unigram,clean,64,11.030865786510141,1.3562056647183062e-28,1,17.88770866394043,30,158
