watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
unigram,clean,0,5.65685424949238,7.70862895014001e-09,1,10.296875,30,165
unigram,clean,1,5.5154328932550705,1.739612429861589e-08,1,7.63671875,30,119
unigram,clean,2,8.239625511601155,8.637525222033138e-17,1,16.71875,30,143
unigram,clean,3,8.34386001800126,3.5952048917752465e-17,1,10.2578125,30,165
unigram,clean,4,3.904344047215152,4.724064695745071e-05,0,-1.0,30,27
unigram,clean,5,7.8685813755925285,1.793426066025988e-15,1,9.984375,30,153
unigram,clean,6,8.121624487362457,2.2999233817844936e-16,1,8.96875,30,145
unigram,clean,7,6.788225099390856,5.676071792460946e-12,1,8.1171875,30,164
unigram,clean,8,9.758073580374356,8.518020964828397e-23,1,3.08984375,30,141
unigram,clean,9,8.202438661763951,1.1777946875782176e-16,1,14.578125,30,157
unigram,clean,10,9.758073580374356,8.518020964828397e-23,1,16.015625,30,157
unigram,clean,11,7.919595949289332,1.1914181422915142e-15,1,12.5703125,30,138
unigram,clean,12,6.081118318204308,5.967358968610217e-10,1,11.5078125,30,153
unigram,clean,13,8.061017305526642,3.783105810931244e-16,1,11.46875,30,161
unigram,clean,14,6.929646455628165,2.10946826200288e-12,1,8.625,30,131
unigram,clean,15,9.333809511662427,5.106625839287897e-21,1,17.1875,30,151
unigram,clean,16,7.919595949289332,1.1914181422915142e-15,1,6.3125,30,145
unigram,clean,17,7.495331880577403,3.3065409251704e-14,1,9.375,30,155
unigram,clean,18,9.333809511662427,5.106625839287897e-21,1,14.8359375,30,119
unigram,clean,19,8.48528137423857,1.0759868356249456e-17,1,5.765625,30,153
unigram,clean,20,7.064764050490923,8.044456673488052e-13,1,26.5625,30,80
unigram,clean,21,8.202438661763951,1.1777946875782176e-16,1,14.5546875,30,121
unigram,clean,22,5.79827560572969,3.35001382704243e-09,1,5.43359375,30,133
unigram,clean,23,7.726805134590861,5.513963029695367e-15,1,13.015625,30,140
unigram,clean,24,7.636753236814713,1.1138393397338932e-14,1,15.25,30,158
unigram,clean,25,7.353910524340094,9.624530549986154e-14,1,15.3125,30,151
unigram,clean,26,8.010357616594195,5.718768234206742e-16,1,11.375,30,151
unigram,clean,27,5.505585837114527,1.8397131279285382e-08,1,60.65625,30,37
unigram,clean,28,9.050966799187808,7.085401738342e-20,1,11.1328125,30,166
unigram,clean,29,9.616652224137045,3.4004302826656326e-22,1,16.203125,30,169
unigram,clean,30,6.363961030678928,9.830802207714439e-11,1,7.3671875,30,158
unigram,clean,31,9.050966799187808,7.085401738342e-20,1,13.1953125,30,164
unigram,clean,32,10.040916292848975,5.0367012604291404e-24,1,10.0390625,30,148
unigram,clean,33,8.626702730475879,3.157301075096865e-18,1,12.9921875,30,155
unigram,clean,34,7.636753236814713,1.1138393397338932e-14,1,13.8828125,30,152
unigram,clean,35,6.505382386916237,3.874799798720929e-11,1,14.21875,30,136
unigram,clean,36,8.064122716574316,3.688181754077587e-16,1,24.46875,30,113
unigram,clean,37,4.458963213705229,4.117852637514795e-06,1,-1.0,30,27
unigram,clean,38,8.010357616594195,5.718768234206742e-16,1,8.8984375,30,130
unigram,clean,39,10.889444430272832,6.47137003385855e-28,1,14.2421875,30,158
unigram,clean,40,6.646803743153546,1.497629893189825e-11,1,17.90625,30,147
unigram,clean,41,9.333809511662427,5.106625839287897e-21,1,14.9296875,30,174
unigram,clean,42,8.76812408671319,9.083378086190543e-19,1,13.1171875,30,145
unigram,clean,43,7.726805134590861,5.513963029695367e-15,1,8.34375,30,149
unigram,clean,44,8.202438661763951,1.1777946875782176e-16,1,11.6484375,30,142
unigram,clean,45,8.34386001800126,3.5952048917752465e-17,1,7.94140625,30,147
unigram,clean,46,8.061017305526642,3.783105810931244e-16,1,17.546875,30,166
unigram,clean,47,8.387593465227736,2.480973263417044e-17,1,11.8046875,30,105
unigram,clean,48,7.30147641158586,1.4231349155868592e-13,1,11.421875,30,155
unigram,clean,49,10.748023074035522,3.0272675902446236e-27,1,9.25,30,161
unigram,clean,50,10.323759005323593,2.7512868753459563e-25,1,7.40234375,30,137
unigram,clean,51,10.465180361560902,6.241928231766698e-26,1,13.1171875,30,145
unigram,clean,52,6.0254902425708545,8.429889484520799e-10,1,6.5859375,30,140
unigram,clean,53,10.748023074035522,3.0272675902446236e-27,1,10.28125,30,149
unigram,clean,54,5.038928913737635,2.3407215355969248e-07,1,31.65625,30,81
unigram,clean,55,8.909545442950499,2.562110843697821e-19,1,12.2265625,30,171
unigram,clean,56,10.606601717798213,1.3883246930152643e-26,1,10.8359375,30,169
unigram,clean,57,7.7781745930520225,3.678923958987199e-15,1,15.3125,30,154
unigram,clean,58,10.465180361560902,6.241928231766698e-26,1,11.7578125,30,157
unigram,clean,59,7.353910524340094,9.624530549986154e-14,1,8.3046875,30,160
unigram,clean,60,9.333809511662427,5.106625839287897e-21,1,8.671875,30,151
unigram,clean,61,10.748023074035522,3.0272675902446236e-27,1,8.40625,30,91
unigram,clean,62,10.465180361560902,6.241928231766698e-26,1,11.8984375,30,161
unigram,clean,63,10.606601717798213,1.3883246930152643e-26,1,12.328125,30,170
unigram,clean,64,9.475230867899736,1.3308572881882963e-21,1,7.98828125,30,154
unigram,clean,65,7.117410641980364,5.498673545368372e-13,1,16.65625,30,111
unigram,clean,66,9.192388155425117,1.9210741635603234e-20,1,13.9140625,30,151
unigram,clean,67,8.061017305526642,3.783105810931244e-16,1,8.484375,30,141
unigram,clean,68,8.76812408671319,9.083378086190543e-19,1,20.640625,30,145
unigram,clean,69,8.202438661763951,1.1777946875782176e-16,1,10.8984375,30,154
unigram,clean,70,3.8183766184073566,6.71663699702621e-05,0,9.265625,30,155
unigram,clean,71,2.82842712474619,0.002338867490523633,0,11.6015625,30,83
unigram,clean,72,10.889444430272832,6.47137003385855e-28,1,5.7890625,30,149
unigram,clean,73,8.48528137423857,1.0759868356249456e-17,1,13.09375,30,138
unigram,clean,74,10.606601717798213,1.3883246930152643e-26,1,10.140625,30,150
unigram,clean,75,6.788225099390856,5.676071792460946e-12,1,15.4609375,30,145
unigram,clean,76,10.680979980008077,6.2472818363510455e-27,1,15.0703125,30,161
unigram,clean,77,9.436285193913417,1.9311497458757814e-21,1,15.5234375,30,144
unigram,clean,78,7.212489168102785,2.746910108777636e-13,1,5.29296875,30,128
unigram,clean,79,8.310424651889749,4.76800997449827e-17,1,11.3515625,30,62
unigram,clean,80,6.6996452071463715,1.0446308526011457e-11,1,19.578125,30,76
unigram,clean,81,8.48528137423857,1.0759868356249456e-17,1,12.4921875,30,142
unigram,clean,82,6.929646455628165,2.10946826200288e-12,1,8.96875,30,157
unigram,clean,83,9.522165814091077,8.480337211908265e-22,1,10.5234375,30,139
unigram,clean,84,10.323759005323593,2.7512868753459563e-25,1,12.5234375,30,167
unigram,clean,85,9.333809511662427,5.106625839287897e-21,1,18.21875,30,149
unigram,clean,86,9.333809511662427,5.106625839287897e-21,1,9.7734375,30,148
unigram,clean,87,10.987658677629206,2.1907229833189605e-28,1,2.853515625,30,93
unigram,clean,88,6.929646455628165,2.10946826200288e-12,1,9.84375,30,150
unigram,clean,89,10.562329954624204,2.2273263137785582e-26,1,4.9609375,30,121
unigram,clean,90,7.7781745930520225,3.678923958987199e-15,1,14.78125,30,158
unigram,clean,91,7.919595949289332,1.1914181422915142e-15,1,9.109375,30,154
unigram,clean,92,5.939696961966999,1.427747089796094e-09,1,13.8828125,30,166
unigram,clean,93,9.758073580374356,8.518020964828397e-23,1,16.296875,30,158
unigram,clean,94,7.919595949289332,1.1914181422915142e-15,1,7.5625,30,117
unigram,clean,95,8.909545442950499,2.562110843697821e-19,1,10.4609375,30,138
unigram,clean,96,8.76812408671319,9.083378086190543e-19,1,13.3515625,30,161
unigram,clean,97,9.758073580374356,8.518020964828397e-23,1,4.484375,30,123
unigram,clean,98,9.333809511662427,5.106625839287897e-21,1,15.765625,30,151
unigram,clean,99,7.7781745930520225,3.678923958987199e-15,1,8.3046875,24,151
unigram,clean,100,12.020815280171307,1.3811620356668856e-33,1,8.7734375,30,151
unigram,clean,101,7.483832703767803,3.6092918055133765e-14,1,11.7578125,30,105
unigram,clean,102,11.17228714274745,2.786359028476278e-29,1,10.21875,30,135
unigram,clean,103,8.48528137423857,1.0759868356249456e-17,1,12.8671875,30,147
unigram,clean,104,6.646803743153546,1.497629893189825e-11,1,15.015625,30,157
unigram,clean,105,9.899494936611665,2.0919128038896777e-23,1,7.03515625,18,125
unigram,clean,106,8.202438661763951,1.1777946875782176e-16,1,17.109375,30,137
unigram,clean,107,7.7781745930520225,3.678923958987199e-15,1,9.6953125,30,153
unigram,clean,108,7.212489168102785,2.746910108777636e-13,1,12.1328125,30,159
unigram,clean,109,8.34386001800126,3.5952048917752465e-17,1,17.6875,30,156
unigram,clean,110,9.333809511662427,5.106625839287897e-21,1,20.328125,30,147
unigram,clean,111,10.465180361560902,6.241928231766698e-26,1,10.3828125,30,144
unigram,clean,112,3.1304951684997055,0.0008725593497644525,0,382.0,30,41
unigram,clean,113,8.34386001800126,3.5952048917752465e-17,1,17.421875,30,145
unigram,clean,114,8.76812408671319,9.083378086190543e-19,1,11.7421875,30,163
unigram,clean,115,11.879393923933998,7.573076763986536e-33,1,12.5703125,30,161
unigram,clean,116,8.626702730475879,3.157301075096865e-18,1,8.1015625,30,127
unigram,clean,117,7.495331880577403,3.3065409251704e-14,1,10.5859375,30,153
unigram,clean,118,8.34386001800126,3.5952048917752465e-17,1,10.3359375,30,156
unigram,clean,119,8.34386001800126,3.5952048917752465e-17,1,11.875,30,163
unigram,clean,120,8.48528137423857,1.0759868356249456e-17,1,8.8984375,30,163
unigram,clean,121,8.76812408671319,9.083378086190543e-19,1,13.9375,30,149
unigram,clean,122,9.333809511662427,5.106625839287897e-21,1,10.921875,30,159
unigram,clean,123,8.202438661763951,1.1777946875782176e-16,1,10.9609375,30,167
unigram,clean,124,9.899494936611665,2.0919128038896777e-23,1,11.8046875,30,171
unigram,clean,125,7.7781745930520225,3.678923958987199e-15,1,8.0703125,30,150
unigram,clean,126,6.929646455628165,2.10946826200288e-12,1,11.7421875,30,154
unigram,clean,127,7.212489168102785,2.746910108777636e-13,1,12.71875,30,134
unigram,clean,128,7.495331880577403,3.3065409251704e-14,1,11.1796875,30,132
unigram,clean,129,8.48528137423857,1.0759868356249456e-17,1,13.328125,30,158
unigram,clean,130,8.626702730475879,3.157301075096865e-18,1,8.34375,30,154
unigram,clean,131,8.061017305526642,3.783105810931244e-16,1,10.0,30,148
unigram,clean,132,9.899494936611665,2.0919128038896777e-23,1,11.7578125,30,151
unigram,clean,133,9.050966799187808,7.085401738342e-20,1,11.5546875,30,167
unigram,clean,134,7.443252652587526,4.91179742466948e-14,1,4.08203125,30,126
unigram,clean,135,6.363961030678928,9.830802207714439e-11,1,11.203125,30,105
unigram,clean,136,8.76812408671319,9.083378086190543e-19,1,16.015625,30,136
unigram,clean,137,7.495331880577403,3.3065409251704e-14,1,15.796875,30,159
unigram,clean,138,7.353910524340094,9.624530549986154e-14,1,13.40625,30,157
unigram,clean,139,6.929646455628165,2.10946826200288e-12,1,10.296875,30,123
unigram,clean,140,11.030865786510141,1.3562056647183062e-28,1,15.578125,30,167
unigram,clean,141,7.919595949289332,1.1914181422915142e-15,1,6.26953125,30,148
unigram,clean,142,11.31370849898476,5.612148586491464e-30,1,12.765625,28,150
unigram,clean,143,9.192388155425117,1.9210741635603234e-20,1,16.390625,30,157
unigram,clean,144,9.475230867899736,1.3308572881882963e-21,1,10.9609375,30,161
unigram,clean,145,8.202438661763951,1.1777946875782176e-16,1,6.3515625,30,144
unigram,clean,146,6.552780424957784,2.823776418630097e-11,1,14.7265625,30,92
unigram,clean,147,8.626702730475879,3.157301075096865e-18,1,13.4609375,30,160
unigram,clean,148,10.040916292848975,5.0367012604291404e-24,1,11.6484375,30,153
unigram,clean,149,8.061017305526642,3.783105810931244e-16,1,6.08984375,30,152
unigram,clean,150,9.616652224137045,3.4004302826656326e-22,1,11.3984375,30,148
unigram,clean,151,8.061017305526642,3.783105810931244e-16,1,5.8984375,30,148
unigram,clean,152,8.76812408671319,9.083378086190543e-19,1,8.984375,30,169
unigram,clean,153,6.929646455628165,2.10946826200288e-12,1,23.90625,30,162
unigram,clean,154,5.65685424949238,7.70862895014001e-09,1,9.8828125,30,155
