experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
19d7551ac867,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,91,16.234375,1.091089451179962,0.13761676203741713,0,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," [the service],” according to a Google spokesperson.  It will not be shutting down Allo’s operations, either.  The spokesperson did not explain why the service was being shut down, and Allo itself was unable to comment on the development, nor did the company provide  any further clarification. 

Allo has been seen as an unexpected challenger to Google’s own instant messaging system, Allo, and, in light of this  latest announcement, it now looks more like a casualty of Google’s focus on its core ",
f8159daab29c,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,114,8.390625,-0.5345224838248488,0.7035099509912867,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.","

This web site is published for residents of the United States only. 
If you are a US resident and wish to access any of the contents of this site, you must register for an account with REAL TRUST ID : 430114. 

Please verify that you have read and agree to the following:

You will not use this site to publish or distribute any material which is  covered by any existing or future legal obligations you may have, including without limitation the confidentiality obligations associated with persona",
65140b4a2426,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,69,23.578125,-0.7559289460184544,0.7751541010155545,0,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years," old. 
Yes, we do work on the drivers frequently for our UL30VT models. 
If you still have not received a response from our support email after 24hrs, then please email us and let us know which model you have .   Please include your order number if you are emailing or writing us. 
I will respond shortly and will also provide you with the download link for the latest drivers.",
eb37e6620af3,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,45,21.640625,-0.6546536707079772,0.7436546198690384,0,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it"," was Super Mario Maker.  It's an awesome game.  The first one came out on the GameCube and the Wii, though the Wii version had a major flaw that prevented it from being finished (as evidenced  by the WiiU version.) 
It's definitely Super Mario Maker .",
b9f18c999695,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,102,15.1328125,-0.6546536707079772,0.7436546198690384,0,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS"," A PACKAGE. 

The City of Oakville's Community Plan is under review and we are collecting input from residents about the City's core development principles.  As a part of this process, we are now exploring the possibilities of converting existing municipal parks.   To date, we are planning for three properties:   *  Lot 5, 6 & 7 of the City of Oakville's Parkland  Division  *  Lot 6 of the Municipal Centre (Northwest corner)  *  Lot 7 of the  Municipal Centre (East Corner)   The potential benefi",
d55859743d41,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,79,15.796875,0.7559289460184544,0.22484589898444546,0,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and"," Frieda Runde; brother Richard Krause (Ursula); and sister Barbara Krause (Peter).  He is preceded in death by siblings: Horst and Christian.   He had an outstanding military service, working in Germany as an air traffic controller for the German Air Force.  He was a skilled driver for Oahu Transit System buses in both Waikiki and on Oahu. 

Services
A celebration of his life is scheduled for 3 p.m. Sunday, November 13 at the First United Methodist Church, 808 N .",
5a4e4e2b1c5f,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,108,15.3984375,1.6035674514745464,0.05440471502027284,0,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a"," the Revolutionary Anti-Imperialist Network and the Center for Popular International Studies spoke out against imperialist violence and the criminalization of popular protest against the imperialist  war machine.  On May 17, 2017 at 10 AM, at the San Francisco Bay Area headquarters of the Antiwar.com, the groups issued a statement and delivered  a press conference in support of mass antiwar protests occurring in the United States and around the world against the war on Yemen, US-led military act",
ac260d4a9022,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,51,11.6953125,-0.6546536707079772,0.7436546198690384,0,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST. The Rams advanced to," the Super Bowl by defeating the Atlanta Falcons in the NFC Championship Game. 

New England has been a part of the NFC Championship since 2011.  Their last appearance in the Super Bowl was in 2008. 

References 

External links
 Super Bowl

Super Bowl 
Super Bowl LIII
Super Bowl LIII
Super Bowl LIII",
5b23d3270cf0,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,80,16.484375,1.091089451179962,0.13761676203741713,0,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the"," studio for a big edition of the latest edition of Football Weekly.  We look back at the weekend's football, plus the latest rumours, opinions and analysis. 

This week the team is joined by three of the most colourful characters in British football, who do a wonderful version of The Three Stooges  impressions.  Barry Glendenning, Sean Ingle and Philippe Auclair tackle all the latest stories from the world of football and look ahead to the next round  of the Europa League.",
0a3d28b9de0e,facebook/opt-1.3b,SEMSTAMP,"lsh_dim=3, max_rej=1",generated_watermarked,Clean,N/A,55,18.21875,-0.7559289460184544,0.7751541010155545,0,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more. The hotel"," a spa and pool in the back garden, with the outdoor spaces offering stunning views.  You’ll find several rooms featuring open fireplaces. 

Hotel Policies

Check-in

Check-out

By 11:00 AM

Available only for select dates during  the dates indicated above. 

Special Offers

Check-In.  The following specials apply to the first night of arrival at this hotel.",
