Model,Watermarker,Variant,Alpha,Omega,Z_Threshold,Attack,Detection_Rate,Detection_Count,Total_Samples,Mean_Z_Score,Perplexity,Notes
OPT-1.3B,No Watermark,Control,-,-,-,clean,0.0,0,200,0.50,-,Baseline - 0% false positive rate
OPT-1.3B,No Watermark,Control,-,-,-,synonym_30,0.0,0,200,0.53,-,Baseline - 0% false positive rate
OPT-1.3B,No Watermark,Control,-,-,-,swap_20,0.0,0,200,0.55,-,Baseline - 0% false positive rate
OPT-1.3B,No Watermark,Control,-,-,-,typo_10,0.0,0,200,0.47,-,Baseline - 0% false positive rate
OPT-1.3B,No Watermark,Control,-,-,-,copypaste_50,0.0,0,200,0.46,-,Baseline - 0% false positive rate
OPT-1.3B,GPW,GPW (non-salted),3.0,50.0,4.0,clean,100.0,200,200,13.37,9.56,BEST: Near-perfect detection with high omega
OPT-1.3B,GPW,GPW (non-salted),3.0,50.0,4.0,synonym_30,99.0,198,200,11.12,9.56,Excellent robustness to synonym substitution
OPT-1.3B,GPW,GPW (non-salted),3.0,50.0,4.0,swap_20,100.0,200,200,12.70,9.56,Perfect robustness to word swapping
OPT-1.3B,GPW,GPW (non-salted),3.0,50.0,4.0,typo_10,99.5,199,200,11.64,9.56,Excellent robustness to typos
OPT-1.3B,GPW,GPW (non-salted),3.0,50.0,4.0,copypaste_50,73.0,146,200,5.32,9.56,Good copypaste robustness - best among all methods
OPT-1.3B,GPW-SP,GPW-SP (salted),3.0,50.0,4.0,clean,81.0,162,200,8.98,117.63,Salted phase hurts detection significantly; high perplexity
OPT-1.3B,GPW-SP,GPW-SP (salted),3.0,50.0,4.0,synonym_30,64.5,129,200,4.84,117.63,Poor synonym robustness with salted phase
OPT-1.3B,GPW-SP,GPW-SP (salted),3.0,50.0,4.0,swap_20,67.0,134,200,4.86,117.63,Poor swap robustness with salted phase
OPT-1.3B,GPW-SP,GPW-SP (salted),3.0,50.0,4.0,typo_10,74.5,149,200,6.21,117.63,Moderate typo robustness
OPT-1.3B,GPW-SP,GPW-SP (salted),3.0,50.0,4.0,copypaste_50,38.0,76,200,3.04,117.63,Weak copypaste robustness
OPT-1.3B,GPW-SP-LOW,GPW-SP (salted low-omega),3.0,2.0,4.0,clean,90.5,181,200,9.75,35.42,Lower omega improves salted variant detection
OPT-1.3B,GPW-SP-LOW,GPW-SP (salted low-omega),3.0,2.0,4.0,synonym_30,75.0,150,200,5.16,35.42,Better than high-omega salted
OPT-1.3B,GPW-SP-LOW,GPW-SP (salted low-omega),3.0,2.0,4.0,swap_20,75.5,151,200,5.18,35.42,Better than high-omega salted
OPT-1.3B,GPW-SP-LOW,GPW-SP (salted low-omega),3.0,2.0,4.0,typo_10,84.5,169,200,6.68,35.42,Good typo robustness
OPT-1.3B,GPW-SP-LOW,GPW-SP (salted low-omega),3.0,2.0,4.0,copypaste_50,36.0,72,200,3.13,35.42,Similar copypaste as high-omega salted
OPT-1.3B,GPW-SP-SR,GPW-SP+SR (salted+SR coupling),3.0,50.0,4.0,clean,94.0,47,50,10.16,-,Excellent clean detection with SR coupling
